book_id,scrape_id,title,subtitle,author,isbn_source,isbn_normalized,isbn_13,isbn_status,publisher,publication_date,publication_year,format,page_count,edition_note,cover_url,external_book_url,release_pages,source_metadata_conflict,source,openlibrary_key,match_method,match_confidence
BOOK00951,306,Crisis Capable,Building Your Capacity to Survive and Succeed in Every Environment,Fabiana Lacerca-Allen,9708891880115,9708891880115,9708891880115,Invalid prefix,Advantage Media Group,2024-10-15,2024,Hardcover,160.0,,https://www.leadershipnow.com/leadershop/images/9708891880115.jpg,https://amzn.to/3NSXJFb,['2024 Releases'],False,LeadershipNow,,,
BOOK00952,733,An Ordinary Man,The Surprising Life and Historic Presidency of Gerald R. Ford,Richard Norton Smith,9780062684165,9780062684165,9780062684165,Valid ISBN-13,Harper,2023-04-11,2023,Hardcover,848.0,,https://www.leadershipnow.com/leadershop/images/9780062684165.jpg,https://amzn.to/3rIwC4M,['2023 Releases'],False,LeadershipNow,,,
BOOK00953,1011,Don't Trust Your Gut,Using Data to Get What You Really Want in Life,Seth Stephens-Davidowitz,9780062880918,9780062880918,9780062880918,Valid ISBN-13,Dey Street Books,2022-05-10,2022,Hardcover,320.0,,https://www.leadershipnow.com/leadershop/images/9780062880918.jpg,https://amzn.to/3F6nrAX,['2022 Releases'],False,LeadershipNow,,,
BOOK00954,936,Inventor of the Future,The Visionary Life of Buckminster Fuller,Alec Nevala-Lee,9780062947222,9780062947222,9780062947222,Valid ISBN-13,Dey Street Books,2022-08-02,2022,Hardcover,672.0,,https://www.leadershipnow.com/leadershop/images/9780062947222.jpg,https://amzn.to/3AYOj4a,['2022 Releases'],False,LeadershipNow,,,
BOOK00955,1048,The Way Forward,Master Life's Toughest Battles and Create Your Lasting Legacy,Robert O'Neill and Dakota Meyer,9780062994073,9780062994073,9780062994073,Valid ISBN-13,Dey Street Books,2022-03-01,2022,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9780062994073.jpg,https://amzn.to/3LbsKl2,['2022 Releases'],False,LeadershipNow,,,
BOOK00956,1113,Jump,My Secret Journey from the Streets to the Boardroom,Larry Miller with Laila Lacy,9780062999818,9780062999818,9780062999818,Valid ISBN-13,William Morrow,2022-01-18,2022,Hardcover,304.0,,https://www.leadershipnow.com/leadershop/images/9780062999818.jpg,https://amzn.to/34md9OY,['2022 Releases'],False,LeadershipNow,,,
BOOK00957,998,After Steve,How Apple Became a Trillion-Dollar Company and Lost Its Soul,Tripp Mickle,9780063009813,9780063009813,9780063009813,Valid ISBN-13,William Morrow,2022-05-03,2022,Hardcover,512.0,,https://www.leadershipnow.com/leadershop/images/9780063009813.jpg,https://amzn.to/3rThguY,['2022 Releases'],False,LeadershipNow,,,
BOOK00958,758,The Kingdom of Prep,The Inside Story of the Rise and (Near) Fall of J.Crew,Maggie Bullock,9780063042643,9780063042643,9780063042643,Valid ISBN-13,Dey Street Books,2023-03-07,2023,Hardcover,368.0,,https://www.leadershipnow.com/leadershop/images/9780063042643.jpg,https://amzn.to/3FKVHnv,['2023 Releases'],False,LeadershipNow,,,
BOOK00959,1001,Build,An Unorthodox Guide to Making Things Worth Making,Tony Fadell,9780063046061,9780063046061,9780063046061,Valid ISBN-13,Harper Business,2022-05-03,2022,Hardcover,416.0,,https://www.leadershipnow.com/leadershop/images/9780063046061.jpg,https://amzn.to/3EY4Jve,['2022 Releases'],False,LeadershipNow,,,
BOOK00960,993,Leading with Heart,"Five Conversations That Unlock Creativity, Purpose, and Results",John Baird and Edward Sullivan,9780063052932,9780063052932,9780063052932,Valid ISBN-13,Harper Business,2022-06-21,2022,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9780063052932.jpg,https://amzn.to/3DNO1OA,['2022 Releases'],False,LeadershipNow,,,
BOOK00961,1005,Future Tense,Why Anxiety Is Good for You (Even Though It Feels Bad),Tracy Dennis-Tiwary,9780063062108,9780063062108,9780063062108,Valid ISBN-13,Harper Wave,2022-05-03,2022,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780063062108.jpg,https://amzn.to/3vvwzfk,['2022 Releases'],False,LeadershipNow,,,
BOOK00962,945,Longpath,Becoming the Great Ancestors Our Future Needs  An Antidote for Short-Termism,Ari Wallach,9780063068735,9780063068735,9780063068735,Valid ISBN-13,HarperOne,2022-08-16,2022,Hardcover,208.0,,https://www.leadershipnow.com/leadershop/images/9780063068735.jpg,https://amzn.to/3Pw5cIV,['2022 Releases'],False,LeadershipNow,,,
BOOK00963,773,Next!,The Power of Reinvention in Life and Work,Joanne Lipman,9780063073487,9780063073487,9780063073487,Valid ISBN-13,Mariner Books,2023-03-21,2023,Hardcover,352.0,,https://www.leadershipnow.com/leadershop/images/9780063073487.jpg,https://amzn.to/3nPLejP,['2023 Releases'],False,LeadershipNow,,,
BOOK00964,1081,The President's Man,The Memoirs of Nixon's Trusted Aide,Dwight Chapin,9780063074774,9780063074774,9780063074774,Valid ISBN-13,William Morrow,2022-02-15,2022,Hardcover,480.0,,https://www.leadershipnow.com/leadershop/images/9780063074774.jpg,https://amzn.to/3AXmton,['2022 Releases'],False,LeadershipNow,,,
BOOK00965,802,Burn the Boats,Toss Plan B Overboard and Unleash Your Full Potential,Matt Higgins,9780063088863,9780063088863,9780063088863,Valid ISBN-13,William Morrow,2023-02-14,2023,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9780063088863.jpg,https://amzn.to/3FbtgP7,['2023 Releases'],False,LeadershipNow,,,
BOOK00966,1078,Deep Purpose,The Heart and Soul of High-Performance Companies,Ranjay Gulati,9780063088917,9780063088917,9780063088917,Valid ISBN-13,Harper Business,2022-02-08,2022,Hardcover,304.0,,https://www.leadershipnow.com/leadershop/images/9780063088917.jpg,https://amzn.to/3KRbLo2,['2022 Releases'],False,LeadershipNow,,,
BOOK00967,989,Do Hard Things,Why We Get Resilience Wrong and the Surprising Science of Real Toughness,Steve Magness,9780063098619,9780063098619,9780063098619,Valid ISBN-13,HarperOne,2022-06-14,2022,Hardcover,320.0,,https://www.leadershipnow.com/leadershop/images/9780063098619.jpg,https://amzn.to/3LYGzU7,['2022 Releases'],False,LeadershipNow,,,
BOOK00968,1119,Getting to Neutral,How to Conquer Negativity and Thrive in a Chaotic World,Trevor Moawad and Andy Staples,9780063111905,9780063111905,9780063111905,Valid ISBN-13,HarperOne,2022-01-25,2022,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780063111905.jpg,https://amzn.to/3poFLyR,['2022 Releases'],False,LeadershipNow,,,
BOOK00969,1006,The Power of Conflict,Speak Your Mind and Get the Results You Want,Jon Taffer,9780063141094,9780063141094,9780063141094,Valid ISBN-13,William Morrow,2022-05-03,2022,Hardcover,224.0,,https://www.leadershipnow.com/leadershop/images/9780063141094.jpg,https://amzn.to/3EZaJUH,['2022 Releases'],False,LeadershipNow,,,
BOOK00970,563,Reunion,Leadership and the Longing to Belong,Jerry Colonna,9780063142138,9780063142138,9780063142138,Valid ISBN-13,Harper Business,2023-11-14,2023,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9780063142138.jpg,https://amzn.to/43fxuy3,['2023 Releases'],False,LeadershipNow,,,
BOOK00971,756,Magic Words,,Jonah Berger,9780063204935,9780063204935,9780063204935,Valid ISBN-13,Harper Business,2023-03-07,2023,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780063204935.jpg,https://amzn.to/3IPkF6p,['2023 Releases'],False,LeadershipNow,,,
