book_id,split
BOOK01676,train
BOOK00114,train
BOOK01032,train
BOOK02066,train
BOOK00631,train
BOOK00181,train
BOOK00581,train
BOOK01584,train
BOOK00287,train
BOOK00168,train
BOOK00039,train
BOOK01919,train
BOOK00915,train
BOOK01495,train
BOOK00318,train
BOOK00938,train
BOOK00014,train
BOOK00045,train
BOOK01969,train
BOOK00518,train
BOOK00430,train
BOOK01878,train
BOOK00019,train
BOOK01136,train
BOOK00420,train
BOOK01419,train
BOOK02058,train
BOOK01212,train
BOOK00672,train
BOOK00116,train
BOOK01433,train
BOOK00093,train
BOOK00492,train
BOOK01850,train
BOOK00558,train
BOOK01938,train
BOOK00804,train
BOOK00058,train
BOOK00101,train
BOOK01682,train
BOOK00227,train
BOOK00989,train
BOOK01349,train
BOOK00655,train
BOOK00284,train
BOOK02014,train
BOOK00928,train
BOOK00738,train
BOOK00021,train
BOOK00822,train
BOOK01380,train
BOOK00259,train
BOOK01034,train
BOOK00945,train
BOOK01468,train
BOOK01981,train
BOOK00632,train
BOOK01743,train
BOOK00863,train
BOOK01949,train
BOOK00747,train
BOOK00184,train
BOOK01554,train
BOOK01598,train
BOOK01989,train
BOOK01793,train
BOOK00820,train
BOOK00192,train
BOOK01507,train
BOOK00007,train
BOOK01948,train
BOOK01255,train
BOOK01516,train
BOOK01078,train
BOOK01417,train
BOOK01007,train
BOOK01809,train
BOOK00683,train
BOOK00663,train
BOOK01221,train
BOOK01223,train
BOOK00107,train
BOOK00867,train
BOOK00228,train
BOOK00082,train
BOOK00591,train
BOOK00642,train
BOOK00898,train
BOOK00412,train
BOOK01813,train
BOOK01428,train
BOOK01828,train
BOOK00634,train
BOOK01700,train
BOOK00023,train
BOOK01542,train
BOOK01646,train
BOOK01232,train
BOOK01945,train
BOOK01669,train
BOOK00211,train
BOOK01116,train
BOOK00196,train
BOOK00015,train
BOOK01590,train
BOOK01840,train
BOOK01792,train
BOOK01886,train
BOOK00650,train
BOOK00776,train
BOOK01658,train
BOOK00667,train
BOOK02034,train
BOOK00433,train
BOOK01069,train
BOOK00755,train
BOOK00873,train
BOOK00374,train
BOOK00762,train
BOOK01675,train
BOOK00840,train
BOOK01933,train
BOOK01001,train
BOOK00450,train
BOOK01452,train
BOOK00400,train
BOOK00862,train
BOOK01309,train
BOOK00740,train
BOOK01717,train
BOOK01226,train
BOOK00687,train
BOOK01690,train
BOOK01272,train
BOOK00451,train
BOOK01832,train
BOOK00841,train
BOOK01121,train
BOOK00307,train
BOOK00937,train
BOOK00780,train
BOOK00745,train
BOOK01960,train
BOOK01823,train
BOOK00416,train
BOOK01191,train
BOOK01207,train
BOOK00495,train
BOOK01532,train
BOOK00189,train
BOOK01138,train
BOOK00834,train
BOOK02000,train
BOOK00097,train
BOOK00281,train
BOOK02054,train
BOOK01470,train
BOOK01812,train
BOOK00463,train
BOOK00797,train
BOOK00207,train
BOOK00437,train
BOOK01307,train
BOOK01755,train
BOOK00666,train
BOOK00369,train
BOOK01256,train
BOOK00080,train
BOOK00175,train
BOOK00419,train
BOOK01274,train
BOOK01019,train
BOOK01328,train
BOOK01280,train
BOOK00838,train
BOOK01064,train
BOOK00795,train
BOOK01539,train
BOOK01579,train
BOOK01706,train
BOOK01520,train
BOOK01995,train
BOOK00568,train
BOOK01198,train
BOOK01540,train
BOOK01558,train
BOOK00204,train
BOOK01177,train
BOOK01199,train
BOOK00291,train
BOOK01696,train
BOOK01225,train
BOOK02043,train
BOOK01293,train
BOOK01482,train
BOOK00679,train
BOOK00490,train
BOOK00852,train
BOOK00257,train
BOOK01158,train
BOOK01458,train
BOOK01133,train
BOOK00615,train
BOOK01027,train
BOOK00364,train
BOOK01061,train
BOOK00702,train
BOOK00923,train
BOOK02032,train
BOOK00347,train
BOOK00295,train
BOOK00341,train
BOOK01923,train
BOOK01856,train
BOOK00879,train
BOOK01441,train
BOOK00828,train
BOOK00782,train
BOOK00121,train
BOOK01777,train
BOOK00919,train
BOOK02050,train
BOOK00532,train
BOOK00421,train
BOOK00418,train
BOOK01427,train
BOOK01287,train
BOOK00886,train
BOOK00657,train
BOOK00528,train
BOOK01395,train
BOOK00857,train
BOOK00223,train
BOOK00373,train
BOOK00188,train
BOOK01044,train
BOOK01127,train
BOOK00027,train
BOOK00054,train
BOOK01426,train
BOOK00722,train
BOOK00483,train
BOOK01161,train
BOOK00357,train
BOOK01660,train
BOOK00086,train
BOOK00887,train
BOOK01839,train
BOOK01142,train
BOOK01892,train
BOOK00784,train
BOOK00791,train
BOOK00222,train
BOOK00312,train
BOOK00707,train
BOOK01409,train
BOOK00623,train
BOOK00461,train
BOOK01218,train
BOOK00920,train
BOOK00701,train
BOOK00760,train
BOOK01023,train
BOOK00256,train
BOOK01901,train
BOOK02053,train
BOOK01870,train
BOOK01763,train
BOOK00607,train
BOOK01273,train
BOOK00798,train
