book_id,AE_01,AE_02,AE_03,AE_04,AE_05,AE_06,AE_07,AE_08,AE_09,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32
BOOK00001,0.09640521,-0.22272664,-0.058100853,0.057918757,0.1701605,-0.10493106,-0.14956649,-0.110060394,-0.07125198,-0.23197603,0.3172231,0.09468064,0.1987522,-0.23740444,0.29502326,0.1765674,-0.05078215,-0.17092198,0.22659439,-0.008531556,0.019234039,0.09556495,0.030248256,0.06359794,-0.087197974,-0.024422616,0.076906905,-0.028443784,0.17982313,-0.05860232,-0.028524976,0.086880825
BOOK00002,-0.0775195,-0.20906106,0.15835911,0.20540234,0.20013894,-0.04271713,-0.34636492,-0.17004737,-0.05946452,-0.18144387,0.23108742,0.044880867,0.17128184,-0.20930517,0.06848879,0.33336118,-0.04898443,-0.40690264,0.22118273,0.11879095,-4.8965216e-05,-0.14171389,0.011860391,0.068943076,0.034287136,0.06369597,0.05869454,-0.120297715,-0.10837219,0.0009520184,-0.11064568,0.2485683
BOOK00003,-0.10066333,-0.22107258,-0.3146572,0.48625663,0.33864358,0.122189716,-0.032687902,-0.2291527,-0.49705297,-0.15914431,0.21840215,0.0069694407,0.2172535,-0.17804697,0.5862782,0.32414782,0.14302433,-0.57710546,-0.26523378,-0.5214869,-0.15872324,0.10877609,0.44312915,-0.042254765,-0.19793077,-0.049887717,0.2511282,-0.28195116,0.12950987,0.24624108,0.00057252496,-0.17637944
BOOK00004,-0.35361764,-0.08442204,-0.18153304,0.06000139,0.5644967,0.08294626,-0.4167403,-0.5079199,-0.17334864,0.10324646,0.21482298,0.1110196,0.397214,-0.07902492,0.2889518,0.07810694,0.18409342,-0.33051243,-0.066226766,-0.19953594,-0.35128257,-0.078039266,0.22100952,-0.44896594,-0.0683714,0.20092075,0.45060867,-0.042085305,0.46442208,0.08073974,-0.13174419,-0.35960653
BOOK00005,0.010342229,-0.34517545,-0.01208077,0.20887321,0.31231755,0.08581157,-0.05071956,-0.27961367,-0.031277202,-0.27850172,0.23597875,0.1301508,0.073708184,-0.017150253,0.14268214,0.29613137,0.050884113,-0.1166563,-0.040129345,-0.15012321,-0.01892367,0.01756785,0.18512829,-0.11778715,0.040175516,0.15128885,-0.019723013,-0.0071294233,-0.15333158,0.12454203,0.019613884,0.004664477
BOOK00006,-0.14613485,-0.5213319,-0.06608483,0.21053742,0.10113564,-0.38149428,-0.1105846,-0.59348106,-0.15647566,-0.27494028,0.3026122,0.115726456,0.06949804,0.2757024,0.29739785,0.20742989,0.05854771,-0.22845238,0.19542775,-0.16195525,0.055180952,0.36894816,0.26100656,0.017462268,-0.02498971,-0.31706038,-0.05477923,0.15802632,0.00394354,0.06825116,-0.30474785,0.08939251
BOOK00007,0.03525222,-0.17315602,-0.00032280758,0.19184992,0.37961054,0.05886465,-0.0330638,-0.28833735,-0.06948643,-0.24400106,0.17989,0.15019757,0.09376291,-0.2572966,0.17658573,0.26475918,-0.0056372657,-0.17533751,0.02267813,-0.14874993,-0.03847456,-0.10943979,0.14844528,-0.037660144,0.012837108,0.110104516,0.10926725,-0.049191356,-0.11384792,0.09162454,-0.058663577,-0.0035245456
BOOK00008,-0.19369647,-0.18230942,-0.049706567,0.0097765075,0.13789298,0.014359895,-0.060520127,0.0018525049,-0.23838004,-0.2259103,0.04529281,0.071396165,0.3319252,-0.14712232,0.2919972,0.16278327,-0.099036224,-0.43944085,-0.010586321,-0.123410955,-0.033405676,0.013944905,0.2092927,-0.026354868,-0.049633175,0.1323326,-0.060009778,-0.08576916,-0.011639081,0.052966833,-0.001554504,-0.025263809
BOOK00009,-0.17142984,-0.4359526,0.04544788,0.19067766,0.04098477,-0.20297155,-0.11118251,-0.056535874,-0.2183977,-0.20290612,-0.0037627667,0.06278803,0.2391991,-0.18111843,0.16657996,0.17455487,-0.100397356,-0.32587454,-0.17340362,-0.31316411,-0.06342864,0.0034448132,0.14334503,0.0961253,0.15666094,-0.12528701,-0.1277272,-0.16586217,-0.193266,0.03579682,-0.24683583,0.065970674
BOOK00010,0.18503177,-0.21080881,0.0808316,0.1783998,0.23120984,0.014879206,-0.15537445,-0.15995872,-0.09154845,-0.2787727,0.2710601,0.2792962,0.059495144,-0.44269174,0.21316159,0.2029282,-0.069963954,-0.1649492,-0.023770608,-0.061180644,-0.051471606,0.0056652874,0.024572572,0.10843036,0.0355492,0.1061521,0.090340406,-0.03537953,-0.06579917,-0.024886483,-0.113157496,0.09270486
BOOK00011,0.08973972,-0.4234877,-0.021316815,0.4184245,0.20265487,0.19139192,-0.27559626,-0.11764427,-0.32245606,-0.17050244,0.30905163,0.09047663,0.48918745,-0.48815453,0.5828502,0.20073321,0.061580334,-0.38923627,0.11879928,-0.06750599,-0.32374722,0.07908291,-0.035802174,-0.04317303,0.09500733,0.15575702,-0.24111076,-0.13977093,-0.39186463,0.12783456,-0.2870346,0.13488755
BOOK00012,-0.22829267,-0.03488835,0.07794641,0.2571443,0.2499423,0.11986344,-0.13294901,-0.18720946,-0.37966213,-0.11183731,0.12305197,0.4344643,0.1429295,-0.35809624,0.5994412,-0.28990886,0.14040352,-0.45746088,0.21962991,-0.108143866,-0.07881841,0.31504467,0.29371923,-0.009019658,0.026376538,0.14478326,-0.2046491,0.021978408,-0.4603409,0.033288427,-0.2789368,-0.35106227
BOOK00013,-0.014687151,-0.2243065,0.009878622,0.15756443,-0.04457825,-0.04604394,-0.10401714,-0.08337474,-0.14214763,-0.15398744,0.0639644,0.124323815,0.13610262,-0.12169757,0.115476266,0.19008608,0.013674013,-0.1936061,-0.13364059,-0.21153572,-0.07246162,0.082240075,0.08591376,0.026833266,0.017086599,-0.07295576,-0.040172428,-0.109625086,0.09571225,-0.018253742,-0.18629293,0.07207394
BOOK00014,-0.048958845,-0.33199704,-0.040251967,0.12335679,0.029528227,0.04953658,-0.0921749,-0.1899766,-0.14746734,-0.1811665,0.17845494,0.14142826,0.1346741,-0.0858024,0.16118589,0.12587231,-0.08091814,-0.23508829,0.04316447,-0.088537335,-0.09971,-0.014544185,0.2589515,-0.099760965,0.06589923,-0.051639065,0.08987817,-0.10687433,0.06426263,-0.04404953,-0.13923827,-0.12838566
BOOK00015,0.038432665,-0.020144843,-0.21219045,0.10159897,0.6591909,-0.33679557,0.13499375,0.31236178,-0.012593769,-0.37627563,0.41036347,-0.112462774,0.21956906,-0.5228206,0.53714955,0.2987084,-0.2793889,-0.36876136,-0.23330137,-0.6061497,-0.1288948,-0.17950694,-0.06633897,-0.11126648,-0.20383574,-0.14092916,-0.16488259,0.036592737,-0.11713522,-0.10086543,0.24851406,0.13640605
BOOK00016,0.034682967,-0.20969626,0.089660674,0.13040671,0.25093463,-0.100480676,-0.16854216,-0.1982995,-0.12959716,-0.20095864,0.2578845,0.051250413,0.12396171,-0.33673766,0.24744582,0.2821382,-0.18249524,-0.1765276,0.20377555,-0.10552389,-0.05916287,-0.12760125,0.09564716,-0.005257316,-0.06950973,0.05735862,0.07411738,0.028297737,-0.07878702,0.030320842,-0.117415935,0.16235977
BOOK00017,-0.12554798,-0.42571098,0.050322738,0.09399835,0.26495874,-0.08792344,-0.319287,-0.21912658,-0.0685704,-0.12644887,0.13468784,0.06835822,0.22830385,-0.14396131,0.12577975,0.30247116,-0.08305209,-0.12602773,0.27581438,-0.23224664,-0.017386377,-0.28497073,0.13635133,-0.12457323,0.14957502,-0.12004191,-0.05028753,-0.0008246079,-0.181763,0.101586156,0.0197419,0.043849997
BOOK00018,-0.421444,0.10244666,0.03654504,0.30632055,0.49783432,0.1824214,-0.083101824,-0.44644952,-0.34939814,-0.028763466,0.19133317,0.41839126,-0.037509657,-0.06363221,0.5157242,-0.18207638,0.2115001,-0.78621656,0.0041330084,-0.18116052,-0.07128869,0.32563454,0.40517908,0.10436497,-0.19880463,0.020932503,0.25096548,-0.02219136,-0.09680603,0.15963052,-0.16109052,-0.27125302
BOOK00019,-0.026414648,-0.47252738,0.086578816,0.14316724,0.040125508,-0.14663391,-0.14132325,-0.0618312,-0.12357966,-0.19275256,0.06468472,0.08701279,0.1485073,-0.15735084,0.14733914,0.18675798,-0.070390366,-0.15825236,-0.17785104,-0.35069925,-0.032621205,0.034534913,0.0647673,0.14238799,0.125118,-0.12537116,-0.0725421,-0.07781471,-0.1134034,0.055519834,-0.105671264,0.14940841
BOOK00020,0.12126258,-0.2301566,0.10121624,0.18350537,0.1693345,-0.019109696,-0.33099973,-0.11248502,-0.12141129,-0.09921606,0.15442759,0.28743294,0.31910643,-0.53911906,0.36191204,0.19610208,0.07086739,-0.12427723,0.037147187,-0.22137336,-0.16626799,0.10245,0.019152218,0.00422848,0.15784001,0.077876285,-0.092130885,-0.03501311,-0.021400683,-0.064851105,-0.22911638,0.03011262
BOOK00021,-0.34313446,-0.10137747,0.14844976,0.07177174,0.18477485,-0.06515305,-0.39756233,-0.046372406,-0.6017374,-0.006825652,-0.2669269,-0.10071845,0.6131919,-0.11878755,0.38978842,0.01751257,-0.2941641,-0.1077978,-0.1356931,-0.15941489,0.07516091,-0.19246566,0.5880774,-0.07174847,-0.1524325,0.507357,-0.07104941,-0.2879728,-0.07267108,-0.051417865,0.0008094311,-0.0620742
BOOK00022,-0.068698615,-0.37888473,0.12021907,0.071532175,0.35913876,-0.26227456,-0.117535874,-0.11543459,0.015267663,-0.31481916,0.22948745,-0.10994227,0.12479698,-0.27538896,0.31992078,0.2615284,-0.19445822,-0.20312034,0.19409645,-0.19145945,0.14211057,-0.29140383,0.06966244,0.036449492,0.0399769,-0.13474181,0.03405378,0.18081251,-0.35957474,-0.0077131446,0.10989652,0.2084916
BOOK00023,-0.17368138,-0.29872513,-0.19260114,0.09380573,0.13396111,0.15373835,-0.21468912,-0.2636453,-0.34969166,-0.3502694,0.2993912,0.07494153,0.18584761,-0.12496906,0.25432983,0.28893533,-0.09591692,-0.63717127,-0.15447515,-0.06669274,-0.11017388,-0.040031105,0.116568014,-0.10913701,-0.16120586,0.08062391,0.2884127,-0.042155802,0.20088527,0.19879304,-0.051111907,-0.05375517
BOOK00024,-0.20625949,-0.45610946,-0.106272876,0.18072882,0.16095674,0.08473913,0.015507273,-0.21687609,-0.1889891,-0.31229842,0.23624972,0.10410929,0.2580276,0.05586657,0.26052007,0.21032533,-0.09983186,-0.5004038,-0.05721105,-0.054547116,-0.1208359,-0.027800761,0.3316487,-0.14217126,0.06111033,-0.01606153,0.004489504,-0.14166948,-0.07632776,0.009021673,-0.12268271,-0.13281792
BOOK00025,-0.068894766,-0.27347827,0.04582118,0.15218256,0.011631254,-0.085083276,-0.13484655,-0.10021062,-0.216151,-0.14893875,0.049428284,0.07954909,0.10051254,-0.15381601,0.092947066,0.20324028,-0.048143543,-0.169067,-0.08902514,-0.13729413,-0.07743043,-0.049897507,0.01951052,0.08588622,-0.07667437,-0.007816166,0.055370606,-0.043955237,0.017208733,0.09191887,-0.15766114,0.19488022
BOOK00026,-0.2988592,-0.19253647,0.12227367,0.15488376,0.1051794,-0.13079074,-0.3533774,0.0001026988,-0.39379165,0.14146657,-0.1002377,0.020538174,0.6853461,-0.21627954,0.5549903,-0.0037220726,0.038837783,-0.3742174,0.1029525,0.015553413,-0.11921382,0.08939007,0.28889465,0.037127554,0.008382052,0.22234286,-0.089975074,-0.13855028,-0.016375042,-0.08732304,-0.20239148,0.11908795
BOOK00027,0.046711177,-0.18026535,-0.022619132,0.04405193,0.4708426,-0.2745849,-0.010939233,0.14576241,0.08903759,-0.3286499,0.34168544,-0.18380676,0.18598461,-0.28970125,0.33230284,0.25609145,-0.32776713,-0.21921736,-0.108429275,-0.39720818,-0.016101971,-0.24111307,-0.072548255,-0.07856951,-0.08568312,-0.111423,-0.17138563,0.042054594,-0.19372475,-0.09062873,0.16425121,0.21242297
BOOK00028,0.048261918,-0.41081324,-0.29966715,0.042793084,0.0756039,-0.16538125,-0.1669117,-0.23238319,-0.17219612,-0.3820878,0.42222896,-0.008860124,0.2942411,-0.16776323,0.41643426,0.26737246,-0.10894134,-0.43024293,0.22654381,-0.09219208,0.011454225,0.16646443,0.09203555,-0.10973182,-0.010467291,-0.24805385,0.085575104,-0.00903973,0.27461842,-0.011159776,-0.08692096,-0.062806964
BOOK00029,-0.05600232,-0.2922013,0.015912144,0.06374944,0.2568775,-0.15357365,-0.056738675,-0.21451902,-0.17573631,-0.34455752,0.20871401,0.09833497,0.19936052,-0.1319049,0.115964055,0.19503358,-0.0956439,-0.058503605,0.020123608,-0.15007211,0.013001591,0.01899425,0.18227415,0.07571148,-0.071582675,0.0870364,0.09758876,-0.11060113,0.08333542,-0.09976391,-0.08689502,0.043775573
BOOK00030,-0.23542708,-0.22594684,0.16993031,0.0104524195,0.27397865,-0.103065506,-0.18759115,-0.08631449,-0.22324276,-0.37589607,0.1302113,0.035980687,0.4510329,-0.2748099,0.32700637,0.27756763,-0.24045736,-0.2974965,0.3002037,-0.15710874,0.060067542,-0.20607357,0.19379891,0.10882848,-0.1374077,0.059638828,-0.21198566,-0.12671787,-0.24633902,-0.088424355,-0.08362569,0.16158149
BOOK00031,-0.004726786,-0.2567182,-0.04641073,0.05191323,0.17066862,0.03839955,-0.061760873,-0.29112384,0.05237635,-0.2511025,0.27882168,0.04340809,0.18489859,-0.14334193,0.40284404,0.12945648,0.017269187,-0.3352887,0.15515056,-0.106516115,-0.017817423,0.03512054,0.059441496,-0.14586195,0.08049443,-0.220397,0.022669248,0.05727424,-0.006360762,-0.06533435,-0.14113805,-0.0349409
BOOK00032,0.14370453,-0.20736256,0.11404498,0.21428554,0.047755983,0.018965121,-0.17188157,-0.13304439,-0.20261547,-0.0952579,0.09740847,0.15234725,0.19565722,-0.33896413,0.47350386,-0.048390202,0.02453795,-0.007082507,0.004546538,-0.09857384,-0.05803685,0.19868751,0.13404542,-0.09862394,0.11734493,0.18058866,-0.23370568,0.05900318,-0.3232625,0.00013083592,-0.2288605,0.0403426
BOOK00033,-0.33469486,-0.0908616,-0.1623385,0.09873548,0.2616433,-0.26906908,0.009482235,-0.07931643,-0.34864536,-0.2612104,0.07572165,-0.033138826,0.27981022,-0.25874475,0.2454837,0.22863883,0.066893995,-0.36931282,0.045671202,-0.10765068,-0.12914401,-0.1044012,0.14222467,-0.045132354,-0.24027623,0.108061075,0.26018298,0.03477279,0.14117737,0.0013096537,-0.13701761,0.016954899
BOOK00034,-0.038678616,-0.32766604,-0.11166979,0.34215033,0.025877435,0.13799404,-0.11985731,-0.08374514,-0.3294367,-0.21997193,0.24965131,0.12647794,0.18388635,-0.18042937,0.36233246,0.12999128,0.10115732,-0.48295262,-0.15044051,-0.0048860516,-0.21970421,0.059287176,0.047314864,-0.018995315,-0.06623262,0.04825535,-0.053567976,-0.13251767,-0.21853381,0.2017678,-0.18115792,0.1396413
BOOK00035,-0.09444105,-0.19476426,0.13647379,0.2312005,-0.057373174,-0.054696478,-0.30045933,-0.21571827,-0.23181719,0.027075488,-0.027192183,0.262969,0.14962664,-0.31399143,0.38764814,0.27435395,0.1506035,-0.1503945,-0.04667211,-0.27667636,-0.14187965,0.016066194,0.08640369,-0.115617976,-0.0036477149,-0.076420516,-0.12938102,0.1194986,-0.08559642,0.1587348,-0.33754414,0.17490923
BOOK00036,-0.105752565,-0.2753321,0.06018444,0.16181955,-0.0040730126,-0.04988888,-0.13478531,-0.13820812,-0.27998915,-0.19374703,0.040247053,0.12882774,0.0628893,-0.16513193,0.14268774,0.17124328,0.01567161,-0.16166271,-0.1288282,-0.19095045,-0.042044282,-0.061429657,0.056819264,0.08562378,-0.104090795,-0.012687273,0.04685387,-0.02885285,-0.06351865,0.1390548,-0.16747144,0.16531312
BOOK00037,-0.22839552,-0.10140014,0.11147706,-0.02612315,0.22069341,0.03990731,-0.58329237,0.1448111,-0.44221115,0.033500552,-0.15374197,-0.13914758,0.7235751,-0.24311888,0.31215206,0.1348362,-0.49990302,-0.5094294,-0.13764137,-0.06844864,0.037922733,-0.46523347,0.41759926,0.030403674,-0.041604288,0.3745147,0.032496214,-0.5402585,0.013958104,0.010206303,0.19485173,0.061554812
BOOK00038,-0.056751944,-0.27996585,-0.17423832,0.4020456,0.5033277,0.08063306,-4.29675e-05,-0.28858238,-0.13062781,-0.2722394,0.34121647,0.14383827,0.05257597,0.03204427,0.25433117,0.33021116,0.043565027,-0.29400754,-0.17244151,-0.22645593,-0.099839225,0.05679901,0.20365916,-0.22724864,-0.036526114,0.10600426,-0.08666606,-0.0015779436,-0.18622813,0.12088676,0.015103705,-0.11128863
BOOK00039,-0.21904892,-0.16405274,-0.12955064,0.16004656,0.2796874,-0.14342925,-0.055372074,-0.083101146,-0.30823946,-0.21077207,0.15355447,-0.04591557,0.19603327,-0.27904886,0.2135225,0.26241788,0.08503494,-0.3899496,-0.13043791,-0.13084579,-0.13167068,0.0137505345,-0.0036905806,-0.08979088,-0.10041471,0.19345984,0.27741048,0.15261042,0.121521056,0.010498518,-0.103694275,0.01905837
BOOK00040,-0.02745583,-0.07233861,0.0776359,0.15747224,0.32973683,-0.16721949,-0.18314801,-0.17428084,0.005916938,-0.089094535,0.17379117,0.11482164,0.17116868,-0.2032688,0.30466044,0.21254414,-0.0850999,-0.22690864,0.09632998,-0.12923709,0.010316417,-0.05779977,0.14999063,-0.05949927,-0.0077958032,-0.016713701,-0.052227363,0.055948656,-0.046699278,-0.076812826,-0.084203675,0.070122145
BOOK00041,-0.22486916,-0.096841216,-0.05212992,0.10847913,0.040976863,-0.03616488,-0.042124346,-0.011887997,-0.3072712,-0.19147897,0.023700684,-0.010006968,0.17282027,-0.021507569,0.14994463,0.13066229,-0.13266787,-0.35172245,0.14616275,-0.033016037,0.050389275,0.0075550526,0.23613839,-0.0148669295,-0.15932567,0.11423518,-0.05913347,-0.09110209,-0.022779353,0.024588235,-0.071065344,-0.06457452
BOOK00042,-0.11166989,-0.4920897,0.1192244,0.019837199,0.29390204,0.16933654,-0.32336593,-0.121198654,-0.14015505,-0.21161298,0.14564848,-0.026115041,0.42734805,-0.20653006,0.1257582,0.21876965,-0.18344477,-0.27241176,0.36001375,-0.07514445,-0.029221594,-0.36852664,0.10475699,0.04109148,0.14501289,0.07480828,0.018866673,-0.21542221,-0.26598424,0.09977707,0.14059767,0.079400524
BOOK00043,0.021873914,-0.08738232,0.090031356,0.13488795,0.23005947,0.017132498,-0.004787229,-0.123205684,-0.035588987,-0.27827156,0.11823836,0.093994275,0.067979656,-0.30568597,0.1885877,0.2813868,-0.0017929599,-0.25436175,0.10936243,-0.15026246,0.03970339,0.008799346,0.017796425,0.054324396,-0.012747131,0.12602034,-0.078223854,0.042040765,-0.22629002,0.08797549,-0.10516073,0.12501746
BOOK00044,-0.7285819,-0.27849752,0.043842446,0.20614363,0.53543323,-0.39131147,-0.21225081,-0.21844909,-0.60158414,-0.27490136,0.006432116,-0.1915381,0.32872567,-0.35589734,0.3488228,0.2642671,-0.013398103,-0.69668245,0.011118248,-0.382419,-0.023678944,0.018262386,0.069650285,0.08543334,-0.12362288,0.24289313,0.20988224,0.20924652,-0.2605057,0.106331035,-0.25291577,-0.0075801723
BOOK00045,0.044254344,-0.80626863,-0.24772577,0.32634392,0.14502011,-0.01763137,-0.17495285,-0.16396894,-0.19542998,-0.04317256,0.35303366,-0.00572969,0.14547813,-0.061611988,0.28885436,0.121382296,0.26080734,-0.07807353,-0.1809324,-0.0905152,-0.25152978,0.15891135,0.18478242,-0.2853492,0.26424807,0.15023352,0.38770932,0.160678,0.0679345,0.13277845,0.0876806,-0.2205807
BOOK00046,0.12250856,-0.29330656,-0.043987494,0.23978707,0.11004199,0.012456838,-0.12676875,-0.14099072,-0.12634364,-0.18403587,0.16314638,0.004838288,0.11480845,-0.2058824,0.26506343,0.17136897,0.059294343,-0.15743063,-0.04552216,-0.15395872,0.04049947,0.075257376,0.1750753,-0.027371466,0.10452415,0.07435475,0.08971493,-0.058964133,-0.060086645,0.042695202,-0.031229127,-0.061208896
BOOK00047,0.06746441,-0.22750613,-0.06858741,0.20779212,-0.00012637302,0.03770706,-0.14937188,-0.17250398,-0.2173154,-0.24305668,0.18801373,0.12259039,0.11267962,-0.13544434,0.25083122,0.14407152,0.024646625,-0.20351113,0.024528444,-0.06483198,-0.024855092,0.09902978,0.06759187,-0.00016420335,-0.06959133,0.0091438815,-0.07180028,-0.07973401,-0.058363788,0.08641125,-0.15923223,0.06739084
BOOK00048,0.10246121,-0.01939702,0.06255809,0.19431612,0.17037252,0.24481018,-0.075448856,-0.009039842,-0.06829467,-0.22565809,0.29572523,0.029875979,-0.013338149,-0.21187791,0.4358876,0.21740401,-0.1387994,-0.28260022,0.04596614,-0.076741636,0.069051206,0.017064748,0.26854944,-0.042096026,-0.22209157,0.13643508,0.060168147,-0.06235051,-0.03205698,-0.0983062,0.13933799,0.037690356
BOOK00049,0.23706079,-0.103904426,-0.15169829,0.27271307,0.21828252,0.072079495,-0.013621062,-0.114572816,-0.08665309,-0.15970555,0.34089905,0.06285099,0.03936491,-0.23925316,0.33373392,0.20860279,-0.04036986,-0.28247127,0.10757261,-0.11034605,-0.14493674,-0.054327182,0.19012377,-0.026720911,-0.15832892,-0.026569456,0.124141306,-0.19726327,0.01662609,0.20553209,0.0375819,0.08639319
BOOK00050,0.070890024,-0.22484335,0.07928637,0.18398644,0.34288952,0.041086398,-0.11008479,-0.26303792,-0.039402448,-0.23489061,0.18348184,0.17502137,0.13093838,-0.17590287,0.15732464,0.29894873,-0.039809935,-0.10665333,0.037712254,-0.14180489,0.03847693,-0.011558965,0.1881403,0.003863357,0.049409173,0.15804368,-0.033818632,-0.06417322,-0.13137174,0.053564206,-0.027438253,0.05532372
BOOK00051,-0.43625283,-0.34490275,-0.10812397,0.16499898,0.38022974,-0.3830067,-0.17174731,-0.14690876,-0.5033765,-0.207717,0.042120606,-0.2207176,0.3331255,-0.31713673,0.2746238,0.11640458,-0.008110851,-0.37090972,-0.18074802,-0.30748776,-0.14066684,-0.030198738,-0.060229726,-0.034010407,-0.07052432,0.19320728,0.2252064,0.1436145,-0.103184454,0.1005693,-0.22285283,0.016174708
BOOK00052,-0.09750446,-0.054584906,0.020197827,0.040252633,0.12552233,-0.054657258,-0.32619816,0.010058068,-0.49252534,-0.03887388,-0.088235855,-0.031742897,0.35628077,-0.2840881,0.32171053,-0.008182715,-0.3787322,-0.056894846,-0.17408437,-0.14359291,-0.06056139,-0.16779551,0.38796362,-0.1568695,-0.1836512,0.4742162,0.0030790716,-0.1767801,-0.005454771,0.06979759,-0.00046221912,-0.10816487
BOOK00053,0.29274502,-0.09705457,-0.23196174,0.05683422,0.0012962334,0.1741469,-0.23010276,0.06701554,-0.38879794,-0.15991436,0.2033832,0.049675986,0.19140217,-0.7535005,0.4282547,0.06404176,-0.189199,-0.30843532,-0.40694106,-0.21114293,-0.32294956,-0.19258454,-0.08835662,-0.06306084,-0.1754941,0.17671713,0.41774023,-0.11068225,0.28067508,0.21649435,-0.018506184,-0.0007607378
