epoch,training_mse,validation_mse
1,0.0026690639987201835,0.0021750652748677465
2,0.002059119006785817,0.002149759651788699
3,0.002024689384055238,0.00210709777185876
4,0.0019531280499509945,0.002032569577625277
5,0.0018481717576045824,0.0019344977419701666
6,0.0017468973013366304,0.0018393125193303123
7,0.0016633374655634916,0.0017752147339028762
8,0.0015979948589260004,0.001725370033181522
9,0.0015428230265567616,0.0016800699652069146
10,0.001494916720727996,0.0016414360995434857
11,0.0014554142710004076,0.001607357633902746
12,0.00141973008828222,0.0015817326455517045
13,0.0013846810535379068,0.0015632145561801354
14,0.0013605065562916237,0.0015537452152047575
15,0.001333249839810597,0.0015283876077387653
16,0.0013054094667982112,0.0015088600567633322
17,0.0012821343121528416,0.0014919357388006413
18,0.0012592847973593518,0.0014762349055434754
19,0.001235322379481037,0.0014584361654675865
20,0.0012157987376038475,0.0014460388269713696
21,0.001195065222265778,0.001428491094307913
22,0.0011769900827587735,0.001420322082802848
23,0.0011582131786480629,0.001402085790033239
24,0.0011391233071079607,0.0013907642698743278
25,0.0011241013433325106,0.0013807414927416379
26,0.0011101974763304873,0.0013719859618230973
27,0.0010943870658201038,0.0013653789471920117
28,0.0010788475834381055,0.0013513258632479443
29,0.0010628712413107313,0.001345215807364511
30,0.0010477744984630944,0.0013339715215432294
31,0.0010357732145658352,0.001328336430281352
32,0.0010233304185495408,0.0013226099682095297
33,0.0010126984478639705,0.0013150479005394028
34,0.0010003858785267595,0.0013054883924732898
35,0.0009926083052259574,0.0013025530410041802
36,0.0009830860331059754,0.001297645913771798
37,0.0009724836045203088,0.0012917719298998027
38,0.0009626527947858915,0.0012848057717182277
39,0.000954645943628358,0.001284093405059204
40,0.0009465659577242967,0.0012784966129164388
41,0.000939082758336821,0.0012739461175549555
42,0.0009321618690846764,0.0012711805764743997
43,0.0009235783065317058,0.0012686796238329384
44,0.0009159526157685939,0.0012595661979753012
45,0.0009066855478823101,0.0012563223915564175
46,0.0008977614773609558,0.00125083454665454
47,0.0008925667240646999,0.0012503189530856664
48,0.0008866570921580852,0.0012452773463735784
49,0.0008821795072996107,0.0012425677029087262
50,0.0008760453514879992,0.0012403903863837126
