book_id,canonical_title,source_group,core_text_boundary,enriched_text_boundary,core_active_features_final,enriched_active_features_final,core_zero_vector_final,enriched_zero_vector_final
BOOK00001,Principle-Centered Leadership,Open Library only,principle-centered leadership zzfieldboundaryzz stephen r covey,principle-centered leadership zzfieldboundaryzz stephen r covey zzfieldboundaryzz leadership psychological aspects of success success psychological aspects commerce success in business aptitude pour la direction achievement success-- zzfieldboundaryzz how do we as individuals and organizations survive and thrive amid tremendous change why are efforts to improve falling so short in real results despite the millions of dollars in time capital and human effort being spent on them how do we unleash the creativity talent and energy within ourselves and others in the midst of pressure is it realistic to believe that balance among personal family and professional life is possible the answer to these and other dilemmas is principle-centered leadership a long-term inside-out approach to developing people and organizations the key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations dr covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced more rewarding more effective life,4,95,False,False
BOOK00002,Leadership in Organizations,Open Library only,leadership in organizations zzfieldboundaryzz gary a yukl,leadership in organizations zzfieldboundaryzz gary a yukl zzfieldboundaryzz organisation prise de décision entscheidungsfindung leadership organizational sociology organization decision making management entscheidungstheorie politische wissenschaft economic development fu hrung prise de decision 85 08 organizational sociology and psychology führung organisationsverhalten leiderschap armies executive ability organizational decision making manuel organisation organisme ledarskap organisationssociologi organisationsteori organisationsutveckling beslutsfattande organization theory,5,49,False,False
BOOK00003,Kepemimpinan =,Open Library only,kepemimpinan zzfieldboundaryzz karjadi m,kepemimpinan zzfieldboundaryzz karjadi m zzfieldboundaryzz leadership,0,1,True,False
BOOK00004,Spiritual leadership,Open Library only,spiritual leadership zzfieldboundaryzz j oswald sanders,spiritual leadership zzfieldboundaryzz j oswald sanders zzfieldboundaryzz christian leadership leadership spiritual directors,2,7,False,False
BOOK00005,Leadership,Open Library only,leadership zzfieldboundaryzz peter guy northouse,leadership zzfieldboundaryzz peter guy northouse zzfieldboundaryzz cas études de leiderschap leadership case studies führung leadership--case studies hm141 n67 1997 303 3 4,6,21,False,False
BOOK00006,The 21 Irrefutable Laws of Leadership,Open Library only,the 21 irrefutable laws of leadership zzfieldboundaryzz john c maxwell,the 21 irrefutable laws of leadership zzfieldboundaryzz john c maxwell zzfieldboundaryzz leadership industrial management dirección y administración liderazgo industria gestion d'entreprise,5,16,False,False
BOOK00007,Leadership,Open Library only,leadership zzfieldboundaryzz peter g northouse,leadership zzfieldboundaryzz peter g northouse zzfieldboundaryzz leadership case studies sociology führung leadership--case studies hm1261 n67 2018 303 3 4 zzfieldboundaryzz the third edition of this bestselling text reviews and analyzes the foremost leadership theories giving special attention to how each theoretical approach can be applied in real-world organizations for anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced leadership theory and practice is an indispensable tool adopted as a textbook at over 250 colleges and universities this bestselling volume is equally useful for private-sector leadership development training programs --jacket,4,63,False,False
BOOK00008,Leadership and performance beyond expectations,Open Library only,leadership and performance beyond expectations zzfieldboundaryzz bernard m bass,leadership and performance beyond expectations zzfieldboundaryzz bernard m bass zzfieldboundaryzz leadership liderazgo,5,7,False,False
BOOK00009,A Higher Loyalty,Open Library only,a higher loyalty zzfieldboundaryzz james comey james b comey james comey,a higher loyalty zzfieldboundaryzz james comey james b comey james comey zzfieldboundaryzz politics and government officials and employees united states federal bureau of investigation united states leadership biography political leadership political ethics war on terrorism 2001-2009 united states department of justice election presidents large type books personal narratives united states federal bureau of investigation united states politics and government 2009-2017 united states politics and government 2017- united states politics and government 2001-2009 lawyers biography united states politics and government biography nyt combined-print-and-e-book-nonfiction 2018-05-06 new york times bestseller new york times reviewed united states politics and government 2017-2021 biography autobiography political political science american government national history united states 21st century united states federal bureau of investigation zzfieldboundaryzz the former fbi director shares his experiences over the past two decades working in the american government and explores ethical leadership and how it drives sound decision-making,2,71,False,False
BOOK00010,Leadership and Self Deception,Open Library only,leadership and self deception zzfieldboundaryzz the arbinger institute dick ruhe,leadership and self deception zzfieldboundaryzz the arbinger institute dick ruhe zzfieldboundaryzz berrett koehler business nonfiction leadership self-deception déception de soi business economics management management styles communication economics zzfieldboundaryzz this phenomenal bestseller over 700 000 copies sold changes readers lives and helps them transform their organizations in this new edition the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book,3,46,False,False
