cluster,cluster_size,rank,book_id,title,authors,distance_to_centroid,cluster_label
0,82,1,BOOK02062,A Platform Mindset,['Marcus Fontoura'],0.379655207798998,Entrepreneurial and Growth Mindset
0,82,2,BOOK01663,Unstoppable Mindset,['Alden Mills'],0.379655207798998,Entrepreneurial and Growth Mindset
0,82,3,BOOK01664,The Hacker Mindset,['Garrett Gee'],0.379655207798998,Entrepreneurial and Growth Mindset
0,82,4,BOOK01631,Aliveness Mindset,['Jack Craven'],0.379655207798998,Entrepreneurial and Growth Mindset
0,82,5,BOOK01670,The Entrepreneurial Mindset Advantage,['Gary G. Schoeniger'],0.5248351718326929,Entrepreneurial and Growth Mindset
1,56,1,BOOK00674,Organizational Behavior,"['Christopher P. Neck', 'Jeffery D. Houghton', 'Emma L. Murray']",0.09183185830361262,Organizational Behavior
1,56,2,BOOK00703,Organizational behavior,"['Afsaneh Nahavandi', 'Ali R. Malekzadeh']",0.09183185830361262,Organizational Behavior
1,56,3,BOOK00688,Organizational Behavior,['Ricky W. Griffin'],0.09183185830361262,Organizational Behavior
1,56,4,BOOK00679,Organizational behavior,"['Angelo Kinicki', 'Robert Kreitner']",0.09183185830361262,Organizational Behavior
1,56,5,BOOK00706,Organizational Behavior,"['Mary Uhl-Bien', 'Ronald F. Piccolo', 'Schermerhorn, John R., Jr.']",0.09885269707012034,Organizational Behavior
2,33,1,BOOK00146,Team leadership,['John Apps'],0.08909729776315745,Team Leadership
2,33,2,BOOK00157,Team Leadership,['Drikus Kriek'],0.08909729776315745,Team Leadership
2,33,3,BOOK00172,Team Leadership,"['Geoff Ribbens', 'Mark Abraham', 'Alistair Cumming']",0.08909729776315745,Team Leadership
2,33,4,BOOK00187,Team Leadership Questionnaire,"['D. Kayes', 'Anna Kayes']",0.13558495177791574,Team Leadership
2,33,5,BOOK00170,Strategic Team Leadership,['Peter Saul'],0.18644288051968672,Team Leadership
3,70,1,BOOK01924,Stewards of the Future,['Helle Bank Jorgensen'],0.46820127572247283,Future Thinking and Personal Development
3,70,2,BOOK00961,Future Tense,['Tracy Dennis-Tiwary'],0.46820127572247283,Future Thinking and Personal Development
3,70,3,BOOK00954,Inventor of the Future,['Alec Nevala-Lee'],0.46820127572247283,Future Thinking and Personal Development
3,70,4,BOOK01444,Be Your Future Self Now,['Dr. Benjamin Hardy'],0.5406086107886696,Future Thinking and Personal Development
3,70,5,BOOK01058,Your Future Self,['Hal Hershfield'],0.5406086107886696,Future Thinking and Personal Development
4,33,1,BOOK00785,DECISION MAKING,['Irving L. Janis'],0.09410263476490477,Decision Making
4,33,2,BOOK00797,Creative decision making,['H. B. Gelatt'],0.23089100062345047,Decision Making
4,33,3,BOOK00767,Judgment and decision making,"['Peter Juslin', 'Henry Montgomery']",0.28014035929960124,Decision Making
4,33,4,BOOK00762,The managerial decision-making process,['E. Frank Harrison'],0.28363046677998915,Decision Making
4,33,5,BOOK00769,The psychology of judgment and decision making,['Scott Plous'],0.3221289641590328,Decision Making
5,33,1,BOOK01859,You're the Leader. Now What?,['Richard Winters'],0.026707788130774457,Leader Identity and Practice
5,33,2,BOOK01285,We the Leader,['Jeffrey Spahn'],0.026707788130774457,Leader Identity and Practice
5,33,3,BOOK01676,Reinventing the Leader,['Gui Loureiro and Carlos E. Marin'],0.026707788130774457,Leader Identity and Practice
5,33,4,BOOK02018,The Relatable Leader,['Rachel DeAlto'],0.026707788130774457,Leader Identity and Practice
5,33,5,BOOK02032,The Secure Leader,['Jaime Goff'],0.026707788130774457,Leader Identity and Practice
6,47,1,BOOK01461,InCredible Communication,['Steven Lewis and Rebecca Weintraub'],0.12102966762791778,Communication
6,47,2,BOOK00832,Communication,"['William J. Seiler', 'Melissa L. Beall']",0.2737052390262482,Communication
6,47,3,BOOK00813,Corporate communication,['Paul A. Argenti'],0.35072183073951035,Communication
6,47,4,BOOK00824,Communication between cultures,"['Larry A. Samovar', 'Portar McDaniel Samovar', 'Richard E. Porter']",0.35765483234113604,Communication
6,47,5,BOOK00830,Business communication today,['Courtland L. Bovée'],0.3638760253915666,Communication
7,185,1,BOOK01820,"Right Leader, Right Time",['Robert Jordan and Olivia Wagner'],0.6013536615674315,Broad Leadership and Success
7,185,2,BOOK01572,Get Pay Right,['Kent Plunkett and Heather Bussing'],0.6997322590027555,Broad Leadership and Success
7,185,3,BOOK01899,The Right Call,['Sally Jenkins'],0.6997322590027555,Broad Leadership and Success
7,185,4,BOOK02058,Left and Right of the Boom,['Rob Campbell'],0.6997322590027555,Broad Leadership and Success
7,185,5,BOOK00240,Servant-leadership across cultures,['Alfons Trompenaars'],0.7176527993487767,Broad Leadership and Success
8,42,1,BOOK00278,Servant Leadership,['John Wallace Whitehead'],0.06413104862046726,Servant Leadership
8,42,2,BOOK00250,Servant Leadership,"['Michael Rucker', 'Holly Spence']",0.06413104862046726,Servant Leadership
8,42,3,BOOK00246,Servant leadership,['Dirk van Dierendonck'],0.09738888608765406,Servant Leadership
8,42,4,BOOK00070,Servant Leadership,"['Dirk van Dierendonck', 'K. Patterson']",0.11630939678308183,Servant Leadership
8,42,5,BOOK00275,The spirit of servant-leadership,['Robert K. Greenleaf Center. International Conference on Servant-Leadership'],0.15609373092033962,Servant Leadership
9,42,1,BOOK00424,Change management,"['Jeffrey M. Hiatt', 'Timothy J. Creasey']",0.14080544519049143,Change Management
9,42,2,BOOK00432,Change Management,"['Klaus Doppler', 'Christoph Lauterburg']",0.15893409272883896,Change Management
9,42,3,BOOK01719,Change,"['Curtis Bateman, Marche Pleshette, Andy Cindrich and Christi Phillips']",0.22457271018056868,Change Management
9,42,4,BOOK01286,Change Proof,['Adam Markel'],0.22457271018056868,Change Management
9,42,5,BOOK00441,Strategic Change Management Strategic Change Management,['Djamel Eddine Laouisset'],0.28576855802687295,Change Management
10,53,1,BOOK00087,Leadership development,['Lee Barr'],0.2219447910584449,Leadership Development
10,53,2,BOOK00081,Leadership Development,['Manuel London'],0.24524952053953397,Leadership Development
10,53,3,BOOK00096,Leadership development,['Abdullahi Sheikh Ali'],0.24524952053953397,Leadership Development
10,53,4,BOOK00093,Leadership Development,['Ideal Curtis'],0.24524952053953397,Leadership Development
10,53,5,BOOK00078,Future of Leadership Development,"['Susan Elaine Murphy', 'Ronald E. Riggio']",0.3253966070616351,Leadership Development
11,184,1,BOOK01245,Culture Is the Way,['Matt Mayberry'],0.5200357285193168,Organizational Culture and Trust
11,184,2,BOOK01989,Curative Culture,['Douglas K Shaw'],0.6155263593221498,Organizational Culture and Trust
11,184,3,BOOK01968,Conquer Your Culture,['David Komar'],0.6155263593221498,Organizational Culture and Trust
11,184,4,BOOK01543,For the Culture,['Marcus Collins'],0.6155263593221498,Organizational Culture and Trust
