matrix_row,book_id,canonical_title,authors,description,subjects,first_publish_year,publication_year_observed,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count,cover_url,source_group,topic_cluster,cluster_label,enriched_zero_vector,openlibrary_key,source_openlibrary,source_leadershipnow,publishers,isbn_10,isbn_13,all_isbns,ebook_access,has_fulltext,public_scan,source_url,subtitle,isbn_normalized,leadershipnow_isbn_13,publisher,publication_date,publication_year,format,page_count,edition_note,external_book_url,observed_edition_count,earliest_observed_year,latest_observed_year,observed_publisher_count,observed_publishers,observed_isbn_10,observed_isbn_10_count,observed_isbn_13,observed_isbn_13_count,observed_physical_formats,observed_format_count,minimum_observed_pages,maximum_observed_pages,earliest_observed_publication_country,earliest_observed_publication_countries,publication_geo_evidence_type,unresolved_geo_codes,publication_geo_provenance,observed_publication_languages,observed_publication_language_count,has_multilingual_publication_evidence,international_language_reach,original_language,original_language_status,verified_translation_count,translation_status,language_evidence_provenance,language_evidence_note,validated_geographic_author_count,validated_geographic_author_names,author_citizenship_evidence,author_birthplace_evidence,author_identity_evidence_tiers,author_geography_provenance,observed_list_price,observed_retail_price,observed_price_currency,observed_price_market,observed_price_isbn,commercial_source,commercial_metadata_status,commercial_metadata_note
0,BOOK00001,Principle-Centered Leadership,['Stephen R. Covey'],"How do we as individuals and organizations survive and thrive amid tremendous change? Why are efforts to improve falling so short in real results despite the millions of dollars in time, capital, and human effort being spent on them? How do we unleash the creativity, talent, and energy within ourselves and others in the midst of pressure? Is it realistic to believe that balance among personal, family, and professional life is possible? The answer to these and other dilemmas is Principle-Centered Leadership, a long-term, inside-out approach to developing people and organizations. The key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations. Dr. Covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity, but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced, more rewarding, more effective life.","['Leadership', 'Psychological aspects of Success', 'Success', 'Psychological aspects', 'Commerce', 'Success in business', 'Aptitude pour la direction', 'Achievement', 'Success--']",1989.0,,4.5,2.0,21.0,145.0,15.0,6.0,https://covers.openlibrary.org/b/id/10858615-L.jpg,Open Library only,7.0,Broad Leadership and Success,False,/works/OL2630041W,True,False,"['Franklin Covey on Brilliance Audio', 'Free Press', 'Covey', 'Coach Series', 'Pocket Books', 'Simon & Schuster Audio', 'Simon Schuster Trade', 'Cedar Fort', 'Simon & Schuster Inc.', 'Covey Leadership Center', 'Simon & Schuster (Trade Division)', 'Simon & Schuster', 'Summit Books']","['002863912X', '0671011138', '068485841X', '0743501551', '1883219248', '1929494610', '0916095312', '1596590084', '0671792806', '155517048X', '0671749102', '0671317032', '145589348X', '188321906X', '0671755455', '0671711350', '0743468600', '0671711164']","['9780671792800', '9780671711351', '9781555170486', '9780028639123', '9781883219062', '9780671317034', '9780671755454', '9780743468602', '9780671711160', '9780743501552', '9781929494613', '9780916095314', '9781883219246', '9780684858418', '9780671749101', '9781596590083', '9780671011130', '9781455893485']","['9780671792800', '9780671711351', '9781555170486', '9780028639123', '9781883219062', '9780671317034', '9780671755454', '002863912X', '9780743468602', '9780671711160', '9780743501552', '0671011138', '9781929494613', '9780916095314', '068485841X', '9781883219246', '0743501551', '1883219248', '9780684858418', '1929494610', '0916095312', '1596590084', '0671792806', '155517048X', '0671749102', '0671317032', '145589348X', '188321906X', '0671755455', '0671711350', '9780671749101', '9781596590083', '0743468600', '9780671011130', '9781455893485', '0671711164']",borrowable,True,False,https://openlibrary.org/works/OL2630041W,,,,,,,,,,,21.0,1989.0,2012.0,13.0,"['Franklin Covey on Brilliance Audio', 'Simon & Schuster Audio', 'Simon & Schuster', 'Simon & Schuster (Trade Division)', 'Summit Books', 'Covey', 'Simon Schuster Trade', 'Free Press', 'Covey Leadership Center', 'Pocket Books', 'Cedar Fort', 'Simon & Schuster Inc.', 'Coach Series']","['145589348X', '0743501551', '068485841X', '0671711350', '0671711164', '0916095312', '188321906X', '1883219248', '0671011138', '0671317032', '0671792806', '0671749102', '1929494610', '0671755455', '002863912X', '0743468600', '155517048X', '1596590084']",18.0,"['9781455893485', '9780743501552', '9780671711351', '9780671711160', '9780916095314', '9781883219062', '9780684858418', '9781883219246', '9780671011130', '9780671317034', '9780671792800', '9781929494613', '9780671755454', '9780028639123', '9781555170486', '9781596590083']",16.0,"['audio cd', 'Audio CD', 'Paperback', 'Hardcover', 'Audio Cassette']",5.0,1.0,336.0,,,no_country_evidence,[],Open Library earliest observed edition year 1989,English,1.0,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,1.0,Stephen R. Covey,United States,Salt Lake City,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
1,BOOK00002,Leadership in Organizations,['Gary A. Yukl'],,"['Organisation', 'Prise de décision', 'Entscheidungsfindung', 'Leadership', 'Organizational sociology', 'Organization', 'Decision making', 'Management', 'Entscheidungstheorie', 'Politische Wissenschaft', 'Economic development', 'Fu\x98hrung', 'Prise de decision', '85.08 organizational sociology and psychology', 'Führung', 'Organisationsverhalten', 'Leiderschap', 'Armies', 'Executive ability', 'Organizational Decision Making', 'Manuel', 'Organisation (organisme)', 'Ledarskap', 'Organisationssociologi', 'Organisationsteori', 'Organisationsutveckling', 'Beslutsfattande', 'Organization theory']",1981.0,,5.0,1.0,26.0,110.0,12.0,0.0,https://covers.openlibrary.org/b/id/87719-L.jpg,Open Library only,4.0,Decision Making,False,/works/OL2731767W,True,False,"['Prentice Hall', 'Prentice-Hall International', 'Prentice-Hall', 'Pearson Education', 'Pearson Higher Education & Professional Group', 'PEARSON EDUCATION', 'Pearson/Prentice Hall', 'Pearson Education, Limited', 'Prentice Hall College Div', 'Pearson', 'Nobel Akademik Yayincilik', 'PEARSON INDIA']","['0138157146', '0132771861', '0536867038', '0135308747', '0138975213', '0131494848', '0138142688', '0132424312', '0130323128', '0139067027', '8129700999', '6053208469', '0134895134', '0135271851', '0132771977', '0136072801', '0273765663', '013527169X', '9332575215', '9332518130', '0135271762', '0130647500']","['9780132424318', '9780130323125', '9780131494848', '9780135308745', '9780536867032', '9780139067020', '9780138975210', '9780138142681', '9780273765660', '9780134895130', '9780136072805', '9780135271698', '9788129700995', '9786053208464', '9780135271766', '9789332518131', '9780138157142', '9780132771863', '9780132771979', '9789332575219', '9780130647504', '9780135271858']","['0138157146', '9780132424318', '0132771861', '9780130323125', '9780131494848', '0536867038', '0135308747', '0138975213', '0131494848', '0138142688', '0132424312', '0130323128', '9780135308745', '9780536867032', '0139067027', '9780139067020', '8129700999', '9780138975210', '9780138142681', '9780273765660', '6053208469', '9780134895130', '9780136072805', '9780135271698', '0134895134', '0135271851', '9788129700995', '0132771977', '9786053208464', '0136072801', '9780135271766', '9789332518131', '9780138157142', '0273765663', '013527169X', '9780132771863', '9332575215', '9332518130', '0135271762', '0130647500', '9780132771979', '9789332575219', '9780130647504', '9780135271858']",borrowable,True,False,https://openlibrary.org/works/OL2731767W,,,,,,,,,,,26.0,1981.0,2020.0,12.0,"['Pearson Education', 'PEARSON EDUCATION', 'PEARSON INDIA', 'Nobel Akademik Yayincilik', 'Pearson Higher Education & Professional Group', 'Pearson Education, Limited', 'Pearson', 'Prentice-Hall International', 'Prentice-Hall', 'Prentice Hall', 'Prentice Hall College Div', 'Pearson/Prentice Hall']","['0132771977', '8129700999', '9332518130', '9332575215', '6053208469', '0135271851', '0130647500', '0139067027', '0134895134', '0132771861', '0135308747', '0536867038', '0135271762', '0130323128', '0132424312', '0138975213', '013527169X', '0131494848']",18.0,"['9780132771979', '9788129700995', '9789332518131', '9789332575219', '9786053208464', '9780273765660', '9780138157142', '9780132771863', '9780138142681', '9780134895130', '9780136072805', '9780536867032', '9780130323125', '9780132424318']",14.0,"['Paperback', 'paperback', 'hardcover', 'Hardcover']",4.0,338.0,648.0,,United Kingdom; United States,multiple_countries,[],Open Library earliest observed edition year 1981,"English, Turkish",2.0,True,Multilingual publication evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,1.0,Gary A. Yukl,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
2,BOOK00003,Kepemimpinan =,['Karjadi M.'],,['Leadership'],1977.0,,1.0,1.0,1.0,41.0,2.0,18.0,https://covers.openlibrary.org/b/id/14420782-L.jpg,Open Library only,25.0,Transformational Leadership,False,/works/OL302757W,True,False,['Politeia'],[],[],[],no_ebook,False,False,https://openlibrary.org/works/OL302757W,,,,,,,,,,,1.0,1977.0,1977.0,1.0,['Politeia'],[],0.0,[],0.0,[],0.0,102.0,102.0,Indonesia,Indonesia,single_country,[],Open Library earliest observed edition year 1977,Indonesian,1.0,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,,,,,,,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
3,BOOK00004,Spiritual leadership,['J. Oswald Sanders'],,"['Christian leadership', 'Leadership', 'Spiritual directors']",1967.0,,5.0,3.0,8.0,74.0,7.0,2.0,https://covers.openlibrary.org/b/id/570509-L.jpg,Open Library only,25.0,Transformational Leadership,False,/works/OL450702W,True,False,"['STL Books', 'Marshall Pickering', 'Moody Press', 'Hovel Audio', 'Lifeway']","['055100651X', '1596441801', '0767394496', '0903843463', '080248221X', '0802482473', '0802482228', '0802467997']","['9780551006515', '9780802482228', '9781596441804', '9780903843461', '9780767394499', '9780802467997', '9780802482471', '9780802482211']","['055100651X', '9780551006515', '1596441801', '9780802482228', '0767394496', '9781596441804', '9780903843461', '0903843463', '080248221X', '9780767394499', '9780802467997', '0802482473', '0802482228', '0802467997', '9780802482471', '9780802482211']",printdisabled,True,False,https://openlibrary.org/works/OL450702W,,,,,,,,,,,8.0,1967.0,2006.0,5.0,"['Moody Press', 'Marshall Pickering', 'STL Books', 'Lifeway', 'Hovel Audio']","['0802482228', '055100651X', '0903843463', '0802482473', '0767394496', '1596441801', '0802467997', '080248221X']",8.0,"['9780802482228', '9780802482471', '9780767394499', '9781596441804']",4.0,"['Hardcover', 'Paperback', 'Unknown Binding', 'Audio CD']",4.0,159.0,255.0,United States,United States,single_country,[],Open Library earliest observed edition year 1967,English,1.0,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,,,,,,,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
4,BOOK00005,Leadership,['Peter Guy Northouse'],,"['Cas, Études de', 'Leiderschap', 'Leadership', 'Case studies', 'Führung', 'Leadership--case studies', 'Hm141 .n67 1997', '303.3/4']",1997.0,,3.6666667,3.0,5.0,67.0,4.0,3.0,https://covers.openlibrary.org/b/id/3859675-L.jpg,Open Library only,25.0,Transformational Leadership,False,/works/OL94176W,True,False,"['SAGE Publications', 'Sage Publications']","['0803957688', '0761919260', '141294161X', '0761919252', '0803957696', '1412974887']","['9780803957688', '9781412941617', '9780803957695', '9781412974882', '9780761919254', '9780761919261']","['0803957688', '9780803957688', '0761919260', '141294161X', '0761919252', '0803957696', '9781412941617', '9780803957695', '9781412974882', '1412974887', '9780761919254', '9780761919261']",printdisabled,True,False,https://openlibrary.org/works/OL94176W,,,,,,,,,,,5.0,1997.0,2010.0,2.0,"['SAGE Publications', 'Sage Publications']","['141294161X', '0761919252', '0761919260', '0803957688', '0803957696']",5.0,"['9781412941617', '9781412974882']",2.0,[],0.0,274.0,395.0,United States,United States,single_country,[],Open Library earliest observed edition year 1997,English,1.0,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,,,,,,,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
5,BOOK00006,The 21 Irrefutable Laws of Leadership,['John C. Maxwell'],,"['Leadership', 'Industrial management', 'Dirección y administración', 'Liderazgo', 'Industria', ""Gestion d'entreprise""]",1998.0,,4.1666665,12.0,12.0,274.0,13.0,14.0,https://covers.openlibrary.org/b/id/1465659-L.jpg,Open Library only,25.0,Transformational Leadership,False,/works/OL28124W,True,False,"['Xinhua Publishing House', 'Thomas Nelson', 'Grupo Nelson', 'Thomas Nelson Publishers', 'Nelson, Thomas@ Publishing Co']","['0785289054', '0881138983', '0785289356', '1602550689', '0785274316', '0785288376', '0881139319', '0785270345', '0785261362', '7501161283', '1602550271']","['9780881138986', '9781602550681', '9780785274315', '9780785288374', '9780785289050', '9787501161287', '9780785289357', '9780785261360', '9780785270348', '9780881139310', '9781602550278']","['0785289054', '0881138983', '9780881138986', '0785289356', '9781602550681', '9780785274315', '1602550689', '9780785288374', '9780785289050', '9787501161287', '0785274316', '0785288376', '0881139319', '9780785289357', '0785270345', '9780785261360', '0785261362', '9780785270348', '7501161283', '9780881139310', '1602550271', '9781602550278']",printdisabled,True,False,https://openlibrary.org/works/OL28124W,,,,,,,,,,,12.0,1998.0,2007.0,5.0,"['Grupo Nelson', 'Xinhua Publishing House', 'Thomas Nelson', 'Nelson, Thomas@ Publishing Co', 'Thomas Nelson Publishers']","['0881138983', '7501161283', '0785288376', '1602550689', '0785270345', '0785261362', '1602550271', '0785289054', '0785289356', '0785274316', '0881139319']",11.0,"['9780881138986', '9780785288374', '9781602550681', '9780785270348', '9780785261360', '9781602550278', '9780785289050', '9780785289357', '9780881139310']",9.0,"['Audio CD', 'Hardcover', 'Paperback']",3.0,180.0,368.0,United States,United States,single_country,[],Open Library earliest observed edition year 1998,"Spanish, Mandarin Chinese, English",3.0,True,Multilingual publication evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,1.0,John C. Maxwell,United States,Garden City,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
6,BOOK00007,Leadership,['Peter G. Northouse'],"""The Third Edition of this bestselling text reviews and analyzes the foremost leadership theories, giving special attention to how each theoretical approach can be applied in real-world organizations. For anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced, Leadership: Theory and Practice is an indispensable tool. Adopted as a textbook at over 250 colleges and universities, this bestselling volume is equally useful for private-sector leadership development training programs.""--Jacket.","['Leadership', 'Case studies', 'Sociology', 'Führung', 'Leadership--case studies', 'Hm1261 .n67 2018', '303.3/4']",2000.0,,5.0,3.0,8.0,50.0,2.0,2.0,https://covers.openlibrary.org/b/id/511761-L.jpg,Open Library only,10.0,Leadership Development,False,/works/OL7956784W,True,False,"['SAGE Publications, Inc', 'SAGE Publications, Incorporated', 'Sage Publications, Inc']","['0761919260', '1544397569', '1506362311', '1544331940', '141294161X', '148339364X', '1544327838', '076192566X']","['9780761919261', '9780761925668', '9781544327839', '9781544397566', '9781483393643', '9781412941617', '9781506362311', '9781544331942']","['0761919260', '1544397569', '9780761919261', '1506362311', '9780761925668', '1544331940', '9781544327839', '9781544397566', '141294161X', '148339364X', '9781483393643', '9781412941617', '1544327838', '9781506362311', '076192566X', '9781544331942']",no_ebook,False,False,https://openlibrary.org/works/OL7956784W,,,,,,,,,,,8.0,2000.0,2021.0,3.0,"['SAGE Publications, Inc', 'SAGE Publications, Incorporated', 'Sage Publications, Inc']","['1544397569', '1506362311', '0761919260', '141294161X', '076192566X']",5.0,"['9781544397566', '9781544331942', '9781544327839', '9781483393643', '9781506362311', '9780761919261', '9781412941617', '9780761925668']",8.0,"['paperback', 'Paperback']",2.0,312.0,600.0,,,no_country_evidence,[],Open Library earliest observed edition year 2000,English,1.0,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,,,,,,,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
7,BOOK00008,Leadership and performance beyond expectations,['Bernard M. Bass'],,"['Leadership', 'Liderazgo']",1985.0,,3.0,2.0,1.0,141.0,14.0,9.0,https://covers.openlibrary.org/b/id/18608-L.jpg,Open Library only,25.0,Transformational Leadership,False,/works/OL2421691W,True,False,"['Collier Macmillan', 'Free Press']",['0029018102'],['9780029018101'],"['0029018102', '9780029018101']",borrowable,True,False,https://openlibrary.org/works/OL2421691W,,,,,,,,,,,1.0,1985.0,1985.0,2.0,"['Free Press', 'Collier Macmillan']",['0029018102'],1.0,[],0.0,[],0.0,256.0,256.0,United States,United States,single_country,[],Open Library earliest observed edition year 1985,English,1.0,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,1.0,Bernard M. Bass,United States,The Bronx,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
8,BOOK00009,A Higher Loyalty,"['James Comey', 'James B. Comey', 'James Comey']",The former FBI director shares his experiences over the past two decades working in the American government and explores ethical leadership and how it drives sound decision-making.,"['Politics and government', 'Officials and employees', 'United States. Federal Bureau of Investigation', 'United States', 'Leadership', 'Biography', 'Political leadership', 'Political ethics', 'War on Terrorism, 2001-2009', 'United States. Department of Justice', 'Election', 'Presidents', 'Large type books', 'Personal narratives', 'United states, federal bureau of investigation', 'United states, politics and government, 2009-2017', 'United states, politics and government, 2017-', 'United states, politics and government, 2001-2009', 'Lawyers, biography', 'United states, politics and government, biography', 'nyt:combined-print-and-e-book-nonfiction=2018-05-06', 'New York Times bestseller', 'New York Times reviewed', 'United states, politics and government, 2017-2021', 'BIOGRAPHY & AUTOBIOGRAPHY / Political', 'POLITICAL SCIENCE / American Government / National', 'HISTORY / United States / 21st Century', 'United States Federal Bureau of Investigation']",2018.0,,4.3,10.0,9.0,20.0,0.0,14.0,https://covers.openlibrary.org/b/id/10597437-L.jpg,Open Library only,3.0,Future Thinking and Personal Development,False,/works/OL18146967W,True,False,"['PAN MACMILLAN', 'Flatiron Books', 'Pan Macmillan', 'Large Print Press']","['1250192455', '1250192463', '1529000823', '1529000831', '1432855832', '1432868284', '1427298297', '1529000866', '1250192471']","['9781250192455', '9781432868284', '9781427298294', '9781529000863', '9781250192479', '9781432855833', '9781529000832', '9781250192462', '9781529000825']","['1250192455', '1250192463', '1529000823', '1529000831', '1432855832', '9781250192455', '9781432868284', '9781427298294', '9781529000863', '1432868284', '1427298297', '9781250192479', '9781432855833', '1529000866', '1250192471', '9781529000832', '9781250192462', '9781529000825']",printdisabled,True,False,https://openlibrary.org/works/OL18146967W,,,,,,,,,,,9.0,2018.0,2019.0,4.0,"['Large Print Press', 'Pan Macmillan', 'Flatiron Books', 'PAN MACMILLAN']","['1432868284', '1529000831', '1432855832', '1427298297', '1250192471', '1250192455']",6.0,"['9781432868284', '9781529000825', '9781250192462', '9781529000832', '9781529000863', '9781432855833', '9781427298294', '9781250192479']",8.0,"['paperback', '[sound recording] :']",2.0,290.0,469.0,United States,United States,single_country,[],Open Library earliest observed edition year 2018,English,1.0,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,3.0,James Comey | James B. Comey,United States,Yonkers,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
9,BOOK00010,Leadership and Self Deception,"['The Arbinger Institute', 'Dick Ruhe']","This phenomenal bestseller * over 700,000 copies sold * changes readers? lives and helps them transform their organizations. In this new edition, the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book.","['Berrett Koehler', 'Business', 'Nonfiction', 'Leadership', 'Self-deception', 'Déception de soi', 'BUSINESS & ECONOMICS', 'Management', 'Management Styles & Communication', 'Economics']",2000.0,,4.1666665,6.0,31.0,65.0,4.0,10.0,https://covers.openlibrary.org/b/id/831276-L.jpg,Open Library only,13.0,General Business and Management,False,/works/OL8921343W,True,False,"['Berrett-Koehler Publishers, Inc.', 'ReadHowYouWant.com, Limited', 'Berrett-Koehler Publishers', 'Berrett-Koehler', 'Penguin Books, Limited', 'Dang dai Zhongguo chu ban she', 'Penguin Books', 'Dreamscape Media', 'Penguin', 'Empresa Activa', 'Ediciones Urano S. A.', 'The Audio Partners', 'Berrett-Koehler Publishers, Incorporated', 'ReadHowYouWant']","['1626566240', '1605095281', '1523006560', '1572704446', '1576755029', '1427087865', '1523097817', '1974922219', '0369304632', '1583763872', '1974922200', '1523097809', '128246714X', '1576759784', '1576759776', '1576751740', '8416997101', '014103632X', '1459626184', '0141030062', '1282299131', '1576750949', '1038701767', '1458769550', '7801703278', '1523097825', '8495787059', '1609946960', '8492921579']","['9781427087867', '9781974922215', '9787801703279', '9781458769558', '9781626566248', '9780141030067', '9781576751749', '9788416997107', '9781282467149', '9781576759783', '9788492921577', '9781583763872', '9780141036328', '9788495787057', '9781572704442', '9781038701763', '9781459626188', '9781282299139', '9781523097807', '9781576755020', '9781974922208', '9781609946968', '9781523006564', '9781523097814', '9781576750940', '9780369304636', '9781605095288', '9781523097821', '9781576759776']","['9781427087867', '9781974922215', '9787801703279', '1626566240', '9781458769558', '1605095281', '9781626566248', '1523006560', '1572704446', '1576755029', '1427087865', '1523097817', '1974922219', '9780141030067', '0369304632', '9781576751749', '1583763872', '9788416997107', '1974922200', '9781282467149', '1523097809', '9781576759783', '9788492921577', '9781583763872', '9780141036328', '128246714X', '1576759784', '9788495787057', '9781572704442', '1576759776', '9781038701763', '1576751740', '8416997101', '014103632X', '9781459626188', '1459626184', '0141030062', '9781282299139', '1282299131', '9781523097807', '9781576755020', '9781974922208', '1576750949', '9781609946968', '1038701767', '9781523006564', '1458769550', '7801703278', '1523097825', '9781523097814', '8495787059', '9781576750940', '1609946960', '9780369304636', '9781605095288', '9781523097821', '8492921579', '9781576759776']",borrowable,True,False,https://openlibrary.org/works/OL8921343W,,,,,,,,,,,31.0,2000.0,2025.0,14.0,"['ReadHowYouWant.com, Limited', 'Empresa Activa', 'Ediciones Urano S. A.', 'Berrett-Koehler Publishers, Incorporated', 'Berrett-Koehler Publishers', 'Penguin Books, Limited', 'ReadHowYouWant', 'Dreamscape Media', 'Dang dai Zhongguo chu ban she', 'Berrett-Koehler', 'Penguin Books', 'Penguin', 'Berrett-Koehler Publishers, Inc.', 'The Audio Partners']","['8495787059', '0369304632', '1974922200', '1974922219', '7801703278', '1576750949', '1459626184', '1523097809', '014103632X', '1576751740', '1609946960', '1576759776', '1572704446']",13.0,"['9781038701763', '9788416997107', '9788492921577', '9788495787057', '9781523006564', '9781282299139', '9781282467149', '9781583763872', '9781576755020', '9781626566248', '9780141030067', '9781427087867', '9781458769558', '9781523097814', '9781523097821', '9780369304636', '9781974922208', '9781974922215', '9787801703279', '9781576750940', '9781459626188', '9781576759776', '9781523097807', '9780141036328', '9781576751749', '9781609946968', '9781576759783', '9781605095288', '9781572704442']",29.0,"['Paperback', 'paperback', 'audio cd', 'Hardcover', 'eBook', 'Audio CD']",6.0,175.0,372.0,,,no_country_evidence,[],Open Library earliest observed edition year 2000,"English, Spanish, Chinese",3.0,True,Multilingual publication evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.,1.0,Dick Ruhe,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
