book_id,validated_geographic_author_count,validated_geographic_author_names,author_citizenship_evidence,author_birthplace_evidence,author_identity_evidence_tiers,author_geography_provenance
BOOK00001,1,Stephen R. Covey,United States,Salt Lake City,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00002,1,Gary A. Yukl,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00006,1,John C. Maxwell,United States,Garden City,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00008,1,Bernard M. Bass,United States,The Bronx,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00009,3,James Comey | James B. Comey,United States,Yonkers,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00010,1,Dick Ruhe,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00012,2,Richard L. Hughes | Richard Hughes,United Kingdom,Weybridge,probable_secondary | identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00013,1,Donald T. Phillips,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00014,1,James MacGregor Burns,United States,Melrose,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00015,1,Robert N. Lussier,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00016,3,James M. Kouzes | Barry Z. Posner | Barry Posner,United States,,identifier_verified | probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00017,1,Peter Schein,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00018,1,Richard L. Hughes,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00019,2,Doris Kearns Goodwin,United States,Brooklyn,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00021,2,Bernard M. Bass | Ronald E. Riggio,United States,The Bronx,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00022,3,Dave Logan | John King | Halee Fischer-Wright,United States | United Kingdom,Slough,strong_secondary | identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00023,1,Joe D. Batten,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00024,1,James MacGregor Burns,United States,Melrose,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00026,2,Bernard M. Bass | Ronald E. Riggio,United States,The Bronx,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00027,1,Patrick Lencioni,United States,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00028,1,John Heider,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00029,2,James M. Kouzes | Barry Z. Posner,United States,,identifier_verified | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00030,1,Lee G. Bolman,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00032,2,David A. Aaker | Erich Joachimsthaler,United States,Fargo,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00033,2,Stephen P. Gordon | Jovita M. Ross-Gordon,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00034,1,Simon Western,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00035,1,Jocko Willink,United States,New England,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00036,1,Henry Kissinger,German Reich | United States,Fürth,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00037,2,Bernard M. Bass | Bruce J. Avolio,United States,The Bronx,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00039,2,Ann Lieberman | Lynne Miller,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00043,1,Kenneth H. Blanchard,United States,Orange,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00044,1,Richard A. Gorton,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00045,1,Max DePree,United States,Zeeland,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00047,1,Robin S. Sharma,Canada | Mauritius,Port Hawkesbury,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00048,1,David Cottrell,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00049,1,Marshall Loeb,United States,Chicago,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00051,1,Allan A. Glatthorn,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00052,1,Bernard M. Bass,United States,The Bronx,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00053,1,Bruce J. Avolio,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00054,1,Bruce J. Avolio,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00057,1,Karen Lawson,United States,East Liverpool,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00059,1,Ellen Van Velsor,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00061,1,Bruce J. Avolio,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00066,1,Terry F. Buss,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00068,1,Ellen Van Velsor,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00070,1,Dirk van Dierendonck,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00072,2,Steve Kempster | Sue Smith,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00074,1,Manuel London,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00076,3,Shuang Ren | Robert Wood | Ying Zhu,United States,Concord,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00077,1,Wendy Wagner,United States,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00078,1,Ronald E. Riggio,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00079,1,Carol A. Mullen,United States,Halifax,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00081,1,Manuel London,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00082,1,Janine Williams,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00083,1,Bruce J. Avolio,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00086,1,Ted Johns,Canada,Seaforth,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00089,1,Marshall Goldsmith,United States,Valley Station,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00092,1,Alma Harris,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00094,1,Christopher Mabey,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00099,1,Albert Ellis,United States,Pittsburgh,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00100,1,Elliott Jaques,Canada | United States,Toronto,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00101,1,Chris Argyris,United States,Newark,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00104,2,Peter F. Drucker | Joseph A. Maciariello,United States | Austria,Vienna,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00105,1,M. Scott Norton,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00109,1,Marvin Bower,United States,Cincinnati,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00110,1,Nathan Axelrod,Israel | Soviet Union,Dubroŭna,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00111,1,abraham holtzman,United States,Detroit,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00113,1,James Frederick Bender,,Dayton,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00114,1,Marvin Bower,United States,Cincinnati,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00119,1,Margaret Jane Wyszomirski,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00127,1,Richard D. Heimovics,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00130,1,Ludger Helms,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00133,1,Marvin Bower,United States,Cincinnati,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00134,1,Stephen J. Zaccaro,United States,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00135,1,Abraham Holtzman,United States,Detroit,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00140,1,Ordway Tead,United States,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00144,1,JAMES FREDERICK BENDER,,Dayton,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00149,1,Graham Kelly,United Kingdom,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00150,1,Doris Kearns Goodwin,United States,Brooklyn,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00158,2,James M. Kouzes | Barry Z. Posner,United States,,identifier_verified | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00160,1,Christine Johnson McPhail,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00166,1,Graham Little,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00167,1,Simon Sinek,United Kingdom,Wimbledon,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00173,1,James M. Kouzes,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00174,1,Richard L. Nolan,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00178,1,Peter Fleming,United Kingdom,London,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00184,1,Patrick Lencioni,United States,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00186,1,David Parkes,United States,Sidcup,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00188,1,Patrick Lencioni,United States,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00189,3,Stanley A. McChrystal | Tantum Collins | Chris Fussell,United States,Fort Leavenworth,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00190,1,Richard L. Nolan,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00193,1,Bernard M. Bass,United States,The Bronx,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00195,1,Carolyn M. Shields,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00196,1,Leighton Ford,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00197,1,Glenn Walter,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00199,1,Carolyn M. Shields,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00200,1,Dennis Tourish,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00204,1,Gary A. Yukl,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00209,1,Karen Sobel Lojeski,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00212,1,Miltiadis D. Lytras,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00223,2,Issa M. Saleh | Myint Swe Khine,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00234,1,Robert K. Greenleaf,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00235,1,Kent M. Keith,United States,Brooklyn,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00236,1,Robert K. Greenleaf,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00239,3,Geoff Watts | Mike Cohn | Esther Derby,United States,Anaheim | Duluth,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00240,1,Alfons Trompenaars,Kingdom of the Netherlands | France,Amsterdam,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00243,1,Larry C. Spears,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00246,1,Dirk van Dierendonck,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00248,1,Larry C. Spears,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00250,1,Holly Spence,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00256,1,James C. Hunter,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00267,1,James C. Hunter,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00281,1,Philip Kotler,United States,Chicago,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00282,2,Kenneth C. Laudon | Jane Price Laudon,,,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00283,2,Philip Kotler | Kevin Lane Keller,United States,Chicago,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00284,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00285,1,Barry Render,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00289,1,John le Carré,United Kingdom | Ireland,Poole,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00290,2,Alan B. Eisner | Seung-Hyun Lee,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00292,1,Andrew S. Grove,United States | Hungary,Budapest | United States,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00293,2,Eugene F. Brigham | Michael C. Ehrhardt,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00294,2,Shane R. Premeaux | Joseph J. Martocchio,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00296,2,Thomas L. Wheelen | J. David Hunger,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00297,1,Peter F. Drucker,United States | Austria,Vienna,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00298,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00301,1,Frederick Winslow Taylor,United States,Germantown,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00302,1,Paul Hersey,United States,Brooklyn,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00304,2,Arthur A. Thompson | Alonzo J. Strickland,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00305,1,Lee J. Krajewski,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00306,2,Gareth R. Jones | Jennifer M. George,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00307,4,David A. Whetten | Kim S. Cameron | DAVID A. WHETTEN,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00308,1,Harold Koontz,United States,Findlay,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00309,1,Project Management Institute,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00311,1,David A. Aaker,United States,Fargo,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00313,1,Barton A. Weitz,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00314,1,Donald J. Bowersox,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00315,2,Kenneth H. Blanchard | Spencer Johnson,United States,Orange | Watertown,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00316,1,Robert D. Hisrich,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00317,1,Eugene F. Brigham,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00318,1,James C. Van Horne,United States,South Bend,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00319,1,James A. O'Brien,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00320,1,Barry Berman,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00322,1,Jerrold S. Greenberg,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00323,2,Harold Koontz | Cyril O'Donnell,United States,Findlay | Lincoln,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00325,4,Philip Kotler | Mairead Brady | Torben Hansen | Kevin Lane Keller,United States | Kingdom of Denmark,Chicago,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00326,1,Eugene F. Brigham,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00327,1,William Cron,United States,New Haven,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00328,1,Charles W. L. Hill,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00330,1,Harold Kerzner,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00331,1,Aaron Antonovsky,United States | Israel,Brooklyn,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00332,1,Mary Kay Ash,United States,Cypress,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00333,1,Stephen R. Covey,United States,Salt Lake City,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00335,1,Anna Sutton,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00336,3,Mick Marchington | Adrian Wilkinson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00337,2,Donald C. Mosley | Leon C. Megginson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00341,1,Evangelia Marinakou,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00346,1,David Farnham,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00348,2,Juani Swart | Bruce Rayton,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00349,1,Pawan S. Budhwar,India,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00350,3,Ricky W. Griffin | Jean M. Phillips | Stanley M. Gully,,,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00351,1,Jack London,United States,San Francisco,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
