matrix_row,book_id,canonical_title,authors,source_group,first_publish_year,publication_year_observed,publishers,isbn_13,subjects,cluster_label,cover_url,qa_major_flag_count,qa_minor_flag_count,qa_review_score,qa_review_priority
1106,BOOK01107,1929,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593296967.jpg,4,2,10,Priority review
713,BOOK00714,Your Next Five Moves,[],Open Library only,,,[],['9781982168964'],[],CEO and Executive Transformation,https://covers.openlibrary.org/b/id/13227022-L.jpg,3,3,9,Priority review
955,BOOK00956,Jump,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780062999818.jpg,3,2,8,Priority review
961,BOOK00962,Longpath,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780063068735.jpg,3,2,8,Priority review
962,BOOK00963,Next!,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780063073487.jpg,3,2,8,Priority review
969,BOOK00970,Reunion,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780063142138.jpg,3,2,8,Priority review
975,BOOK00976,MoneyZen,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780063247963.jpg,3,2,8,Priority review
988,BOOK00989,Uptime,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780063317444.jpg,3,2,8,Priority review
1001,BOOK01002,Unfiltered,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780143461494.jpg,3,2,8,Priority review
1005,BOOK01006,Glad We Met,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780197641873.jpg,3,2,8,Priority review
1006,BOOK01007,Innovators,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780197745618.jpg,3,2,8,Priority review
1010,BOOK01011,More Than Pretty Boxes,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780226832777.jpg,3,2,8,Priority review
1019,BOOK01020,Energize,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780241502761.jpg,3,2,8,Priority review
1029,BOOK01030,Nudging,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780262544443.jpg,3,2,8,Priority review
1030,BOOK01031,Taming Silicon Valley,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780262551069.jpg,3,2,8,Priority review
1032,BOOK01033,Thomas Jefferson,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780300250060.jpg,3,2,8,Priority review
1033,BOOK01034,Adventurers,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780300250725.jpg,3,2,8,Priority review
1036,BOOK01037,Vienna,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780300266535.jpg,3,2,8,Priority review
1047,BOOK01048,Moonshot,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780306832642.jpg,3,2,8,Priority review
1053,BOOK01054,Hangry,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780306925535.jpg,3,2,8,Priority review
1056,BOOK01057,What to Do Next,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780310366072.jpg,3,2,8,Priority review
1061,BOOK01062,Get It Done,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780316538343.jpg,3,2,8,Priority review
1067,BOOK01068,Excessively Obsessed,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780349437927.jpg,3,2,8,Priority review
1070,BOOK01071,This Is for Everyone,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780374612467.jpg,3,2,8,Priority review
1071,BOOK01072,Enshittification,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780374619329.jpg,3,2,8,Priority review
1077,BOOK01078,The Bill of Obligations,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780525560654.jpg,3,2,8,Priority review
1086,BOOK01087,Partnering,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593189542.jpg,3,2,8,Priority review
1091,BOOK01092,Never Enough,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593191866.jpg,3,2,8,Priority review
1093,BOOK01094,You Owe You,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593234983.jpg,3,2,8,Priority review
1095,BOOK01096,Mindreader,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593236185.jpg,3,2,8,Priority review
1098,BOOK01099,Crash Landing,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593239018.jpg,3,2,8,Priority review
1104,BOOK01105,Supercommunicators,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593243916.jpg,3,2,8,Priority review
1112,BOOK01113,How Not to Be a Politician,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593300329.jpg,3,2,8,Priority review
1114,BOOK01115,Same as Ever,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593332702.jpg,3,2,8,Priority review
1118,BOOK01119,Ideaflow,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593420584.jpg,3,2,8,Priority review
1121,BOOK01122,Quit,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593422991.jpg,3,2,8,Priority review
1129,BOOK01130,The Yellow Pad,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593491393.jpg,3,2,8,Priority review
1134,BOOK01135,All In,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593544501.jpg,3,2,8,Priority review
1137,BOOK01138,The Essentialism Planner,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593578414.jpg,3,2,8,Priority review
1145,BOOK01146,Distancing,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593713105.jpg,3,2,8,Priority review
1146,BOOK01147,Playful,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593713402.jpg,3,2,8,Priority review
1150,BOOK01151,Tiny Experiments,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593715130.jpg,3,2,8,Priority review
1155,BOOK01156,Co-Intelligence,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593716717.jpg,3,2,8,Priority review
1167,BOOK01168,Uncompete,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593832158.jpg,3,2,8,Priority review
1169,BOOK01170,Resurface,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780593833117.jpg,3,2,8,Priority review
1172,BOOK01173,G-Man,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780670025374.jpg,3,2,8,Priority review
1178,BOOK01179,The Nineties,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780735217959.jpg,3,2,8,Priority review
1179,BOOK01180,In the Shadow of the Gods,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780735222199.jpg,3,2,8,Priority review
1183,BOOK01184,Leveling Up,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780785261629.jpg,3,2,8,Priority review
1187,BOOK01188,Reagan,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9780871409447.jpg,3,2,8,Priority review
1192,BOOK01193,Redemption,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9781009541190.jpg,3,2,8,Priority review
1201,BOOK01202,ThinkBlink Manifesto,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9781038337979.jpg,3,2,8,Priority review
1202,BOOK01203,We Are Ambiverts Now,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9781041009108.jpg,3,2,8,Priority review
1205,BOOK01206,How to be a Coffee Bean,,LeadershipNow only,,,,,,,https://www.leadershipnow.com/leadershop/images/9781119430283.jpg,3,2,8,Priority review
