matrix_row,book_id,canonical_title,authors,source_group,first_publish_year,publication_year_observed,subjects,cluster_label,cover_url,structural_flag_count,review_category,review_reason
58,BOOK00059,The Center for Creative Leadership handbook of leadership development,"['Cynthia D. McCauley', 'Ellen Van Velsor']",Open Library only,2003.0,,"['Creative ability in business', 'Leadership']",Leadership Development,https://covers.openlibrary.org/b/id/10216345-L.jpg,1,Publication-type review,Potential non-standard publication term
67,BOOK00068,The Center for Creative Leadership handbook of leadership development,['Ellen Van Velsor'],Open Library only,2010.0,,"['Creative ability in business', 'Leadership', 'Führungskräfteentwicklung', 'F?hrungskr?fteentwicklung']",Leadership Development,https://covers.openlibrary.org/b/id/9271912-L.jpg,1,Publication-type review,Potential non-standard publication term
79,BOOK00080,The handbook for student leadership development,['Susan R. Komives'],Open Library only,2011.0,,"['Counseling in higher education', 'College student development programs', 'EDUCATION / Students & Student Life', 'Handbooks, manuals', 'Student affairs services', 'Students & Student Life', 'EDUCATION', 'College students', 'Social service, united states']",Leadership Development,https://covers.openlibrary.org/b/id/9296574-L.jpg,1,Publication-type review,Potential non-standard publication term
103,BOOK00104,Effective Executive,"['Peter F. Drucker', 'Joseph A. Maciariello', 'Jim Collins', 'Tim Andres Pabon', 'Zachary First']",Open Library only,1967.0,,"['Decision making', 'Executives', 'Decision-making', 'Industrial management', 'Administrative Personnel', 'Industry', 'Organization & administration', 'Leadership', 'Executive ability', 'Management', 'Organizational effectiveness', 'United States', 'Decisiones', 'Teoría', ""Gestion d'entreprise"", 'Prise de décision', 'Cadres (personnel)', 'Prise de de cision', 'Economic development', 'Teori a.', 'Business', 'Decision (Psychology)', 'Decision processes', 'Nonfiction', 'U.S.', 'Organization and Administration', 'Qi ye guan li', 'Guan li xue', 'BUSINESS & ECONOMICS / Industrial Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Management Science', 'BUSINESS & ECONOMICS / Organizational Behavior']",General Business and Management,https://covers.openlibrary.org/b/id/4941284-L.jpg,1,Metadata correction,Edition page-count anomaly
107,BOOK00108,Executive Leadership Council Journal,"['The Executive Leadership Council', 'The Executive Leadership Council']",Open Library only,2020.0,,['Business'],Executive Leadership,,1,Publication-type review,Potential non-standard publication term
154,BOOK00155,Team leadership in the game industry,"['Spaulding, Seth II.']",Open Library only,2009.0,,"['Teams in the workplace', 'Leadership', 'Electronic games industry', 'Project management', 'Computer games, programming']",Leadership Development,https://covers.openlibrary.org/b/id/9953222-L.jpg,1,Publication-type review,Potential non-standard publication term
181,BOOK00182,Tim lidŏsip =,['Sŭng-gak Yi'],Open Library only,1996.0,,"['Leadership', 'Social group work']",Workplace and Generational Dynamics,,1,Title review,Trailing cataloging symbol
186,BOOK00187,Team Leadership Questionnaire,"['D. Kayes', 'Anna Kayes']",Open Library only,2011.0,,['Leadership'],Team Leadership,,1,Publication-type review,Potential non-standard publication term
246,BOOK00247,Handbook for secular Franciscan servant leadership,[],Open Library only,1998.0,,"['Secular Franciscan Order', 'Servant leadership', 'Handbooks, manuals', 'Christian leadership', 'Catholic Church']",Servant Leadership,,1,Publication-type review,Potential non-standard publication term
281,BOOK00282,Management information systems,"['Kenneth C. Laudon', 'Jane P. Laudon', 'Jane Price Laudon', 'Jane Laudon']",Open Library only,1945.0,,"['Information technology', 'Management', 'Management information systems', 'Management informatiesystemen', 'Managementinformationssystem', ""Systèmes d'information de gestion"", 'Computadores nos sistemas de suporte a decisoes', 'Gestion des connaissances', 'Entreprises', 'Entreprises virtuelles', 'Informationsmanagement', 'Informacio', ""Sistemes d'informacio per a la gestio ."", 'Gestio .', ""Sistemes d'emmagatzematge i recuperacio"", 'Sistemas de información en administración', 'Information systems', 'Ledningsinformationssystem', 'Information management', 'Informationssystem', 'MIS', 'Textbooks', 'Virtual corporations', 'Business enterprises', 'Knowledge management', 'Management, data processing', 'Business &amp; economics', 'Literary collections', 'T58.6 .l376 1998', '658.4/038', 'Management-Informationssystem', 'USA', 'Programmed instruction']",Information Technology Management,https://covers.openlibrary.org/b/id/1104118-L.jpg,1,Metadata correction,Edition page-count anomaly
