book_id,known_publication_languages_display,observed_publication_language_count,has_multilingual_publication_evidence
BOOK00001,English,1,False
BOOK00002,"English, Turkish",2,True
BOOK00003,Indonesian,1,False
BOOK00004,English,1,False
BOOK00005,English,1,False
BOOK00006,"Spanish, Mandarin Chinese, English",3,True
BOOK00007,English,1,False
BOOK00008,English,1,False
BOOK00009,English,1,False
BOOK00010,"English, Spanish, Chinese",3,True
BOOK00011,English,1,False
BOOK00012,English,1,False
BOOK00013,English,1,False
BOOK00014,English,1,False
BOOK00015,English,1,False
BOOK00016,"English, German",2,True
BOOK00017,English,1,False
BOOK00018,English,1,False
BOOK00019,"English, Spanish",2,True
BOOK00020,English,1,False
BOOK00021,English,1,False
BOOK00022,English,1,False
BOOK00023,English,1,False
BOOK00024,English,1,False
BOOK00025,"Russian, Chinese, English",3,True
BOOK00026,English,1,False
BOOK00027,"English, Spanish",2,True
BOOK00028,"English, Spanish",2,True
BOOK00029,English,1,False
BOOK00030,English,1,False
BOOK00031,English,1,False
BOOK00032,English,1,False
BOOK00033,English,1,False
BOOK00034,English,1,False
BOOK00035,English,1,False
BOOK00036,English,1,False
BOOK00037,English,1,False
BOOK00038,English,1,False
BOOK00039,English,1,False
BOOK00040,English,1,False
BOOK00041,English,1,False
BOOK00042,English,1,False
BOOK00043,"English, Chinese",2,True
BOOK00044,English,1,False
BOOK00045,English,1,False
BOOK00046,English,1,False
BOOK00047,"Spanish, Hebrew, English",3,True
BOOK00048,English,1,False
BOOK00049,English,1,False
BOOK00050,English,1,False
BOOK00051,English,1,False
BOOK00052,English,1,False
BOOK00053,English,1,False
BOOK00054,English,1,False
BOOK00055,English,1,False
BOOK00056,English,1,False
BOOK00057,English,1,False
BOOK00058,English,1,False
BOOK00059,English,1,False
BOOK00060,English,1,False
BOOK00061,English,1,False
BOOK00062,English,1,False
BOOK00063,,0,False
BOOK00064,English,1,False
BOOK00065,English,1,False
BOOK00066,English,1,False
BOOK00067,English,1,False
BOOK00068,English,1,False
BOOK00069,English,1,False
BOOK00070,English,1,False
BOOK00071,English,1,False
BOOK00072,English,1,False
BOOK00073,English,1,False
BOOK00074,English,1,False
BOOK00075,English,1,False
BOOK00076,English,1,False
BOOK00077,English,1,False
BOOK00078,English,1,False
BOOK00079,English,1,False
BOOK00080,English,1,False
BOOK00081,English,1,False
BOOK00082,English,1,False
BOOK00083,English,1,False
BOOK00084,,0,False
BOOK00085,English,1,False
BOOK00086,,0,False
BOOK00087,English,1,False
BOOK00088,English,1,False
BOOK00089,English,1,False
BOOK00090,English,1,False
BOOK00091,English,1,False
BOOK00092,English,1,False
BOOK00093,English,1,False
BOOK00094,English,1,False
BOOK00095,English,1,False
BOOK00096,English,1,False
BOOK00097,English,1,False
BOOK00098,English,1,False
BOOK00099,English,1,False
BOOK00100,English,1,False
BOOK00101,English,1,False
BOOK00102,English,1,False
BOOK00103,English,1,False
BOOK00104,"English, Chinese",2,True
BOOK00105,English,1,False
BOOK00106,English,1,False
BOOK00107,English,1,False
BOOK00108,English,1,False
BOOK00109,,0,False
BOOK00110,English,1,False
BOOK00111,,0,False
BOOK00112,English,1,False
BOOK00113,English,1,False
BOOK00114,English,1,False
BOOK00115,English,1,False
BOOK00116,English,1,False
BOOK00117,English,1,False
BOOK00118,English,1,False
BOOK00119,English,1,False
BOOK00120,English,1,False
BOOK00121,English,1,False
BOOK00122,English,1,False
BOOK00124,English,1,False
BOOK00125,English,1,False
BOOK00126,English,1,False
BOOK00127,English,1,False
BOOK00128,,0,False
BOOK00129,English,1,False
BOOK00130,English,1,False
BOOK00131,English,1,False
BOOK00132,English,1,False
BOOK00133,English,1,False
BOOK00134,English,1,False
BOOK00135,English,1,False
BOOK00136,English,1,False
BOOK00137,English,1,False
BOOK00138,English,1,False
BOOK00139,English,1,False
BOOK00140,English,1,False
BOOK00141,,0,False
