matrix_row,book_id,canonical_title,authors,description,subjects,first_publish_year,publication_year_observed,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count,cover_url,source_group,topic_cluster,cluster_label,enriched_zero_vector
0,BOOK00001,Principle-Centered Leadership,['Stephen R. Covey'],"How do we as individuals and organizations survive and thrive amid tremendous change? Why are efforts to improve falling so short in real results despite the millions of dollars in time, capital, and human effort being spent on them? How do we unleash the creativity, talent, and energy within ourselves and others in the midst of pressure? Is it realistic to believe that balance among personal, family, and professional life is possible? The answer to these and other dilemmas is Principle-Centered Leadership, a long-term, inside-out approach to developing people and organizations. The key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations. Dr. Covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity, but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced, more rewarding, more effective life.","['Leadership', 'Psychological aspects of Success', 'Success', 'Psychological aspects', 'Commerce', 'Success in business', 'Aptitude pour la direction', 'Achievement', 'Success--']",1989.0,,4.5,2.0,21.0,145.0,15.0,6.0,https://covers.openlibrary.org/b/id/10858615-L.jpg,Open Library only,7.0,Broad Leadership and Success,False
1,BOOK00002,Leadership in Organizations,['Gary A. Yukl'],,"['Organisation', 'Prise de décision', 'Entscheidungsfindung', 'Leadership', 'Organizational sociology', 'Organization', 'Decision making', 'Management', 'Entscheidungstheorie', 'Politische Wissenschaft', 'Economic development', 'Fu\x98hrung', 'Prise de decision', '85.08 organizational sociology and psychology', 'Führung', 'Organisationsverhalten', 'Leiderschap', 'Armies', 'Executive ability', 'Organizational Decision Making', 'Manuel', 'Organisation (organisme)', 'Ledarskap', 'Organisationssociologi', 'Organisationsteori', 'Organisationsutveckling', 'Beslutsfattande', 'Organization theory']",1981.0,,5.0,1.0,26.0,110.0,12.0,0.0,https://covers.openlibrary.org/b/id/87719-L.jpg,Open Library only,4.0,Decision Making,False
2,BOOK00003,Kepemimpinan =,['Karjadi M.'],,['Leadership'],1977.0,,1.0,1.0,1.0,41.0,2.0,18.0,https://covers.openlibrary.org/b/id/14420782-L.jpg,Open Library only,25.0,Transformational Leadership,False
3,BOOK00004,Spiritual leadership,['J. Oswald Sanders'],,"['Christian leadership', 'Leadership', 'Spiritual directors']",1967.0,,5.0,3.0,8.0,74.0,7.0,2.0,https://covers.openlibrary.org/b/id/570509-L.jpg,Open Library only,25.0,Transformational Leadership,False
4,BOOK00005,Leadership,['Peter Guy Northouse'],,"['Cas, Études de', 'Leiderschap', 'Leadership', 'Case studies', 'Führung', 'Leadership--case studies', 'Hm141 .n67 1997', '303.3/4']",1997.0,,3.6666667,3.0,5.0,67.0,4.0,3.0,https://covers.openlibrary.org/b/id/3859675-L.jpg,Open Library only,25.0,Transformational Leadership,False
5,BOOK00006,The 21 Irrefutable Laws of Leadership,['John C. Maxwell'],,"['Leadership', 'Industrial management', 'Dirección y administración', 'Liderazgo', 'Industria', ""Gestion d'entreprise""]",1998.0,,4.1666665,12.0,12.0,274.0,13.0,14.0,https://covers.openlibrary.org/b/id/1465659-L.jpg,Open Library only,25.0,Transformational Leadership,False
6,BOOK00007,Leadership,['Peter G. Northouse'],"""The Third Edition of this bestselling text reviews and analyzes the foremost leadership theories, giving special attention to how each theoretical approach can be applied in real-world organizations. For anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced, Leadership: Theory and Practice is an indispensable tool. Adopted as a textbook at over 250 colleges and universities, this bestselling volume is equally useful for private-sector leadership development training programs.""--Jacket.","['Leadership', 'Case studies', 'Sociology', 'Führung', 'Leadership--case studies', 'Hm1261 .n67 2018', '303.3/4']",2000.0,,5.0,3.0,8.0,50.0,2.0,2.0,https://covers.openlibrary.org/b/id/511761-L.jpg,Open Library only,10.0,Leadership Development,False
7,BOOK00008,Leadership and performance beyond expectations,['Bernard M. Bass'],,"['Leadership', 'Liderazgo']",1985.0,,3.0,2.0,1.0,141.0,14.0,9.0,https://covers.openlibrary.org/b/id/18608-L.jpg,Open Library only,25.0,Transformational Leadership,False
8,BOOK00009,A Higher Loyalty,"['James Comey', 'James B. Comey', 'James Comey']",The former FBI director shares his experiences over the past two decades working in the American government and explores ethical leadership and how it drives sound decision-making.,"['Politics and government', 'Officials and employees', 'United States. Federal Bureau of Investigation', 'United States', 'Leadership', 'Biography', 'Political leadership', 'Political ethics', 'War on Terrorism, 2001-2009', 'United States. Department of Justice', 'Election', 'Presidents', 'Large type books', 'Personal narratives', 'United states, federal bureau of investigation', 'United states, politics and government, 2009-2017', 'United states, politics and government, 2017-', 'United states, politics and government, 2001-2009', 'Lawyers, biography', 'United states, politics and government, biography', 'nyt:combined-print-and-e-book-nonfiction=2018-05-06', 'New York Times bestseller', 'New York Times reviewed', 'United states, politics and government, 2017-2021', 'BIOGRAPHY & AUTOBIOGRAPHY / Political', 'POLITICAL SCIENCE / American Government / National', 'HISTORY / United States / 21st Century', 'United States Federal Bureau of Investigation']",2018.0,,4.3,10.0,9.0,20.0,0.0,14.0,https://covers.openlibrary.org/b/id/10597437-L.jpg,Open Library only,3.0,Future Thinking and Personal Development,False
9,BOOK00010,Leadership and Self Deception,"['The Arbinger Institute', 'Dick Ruhe']","This phenomenal bestseller * over 700,000 copies sold * changes readers? lives and helps them transform their organizations. In this new edition, the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book.","['Berrett Koehler', 'Business', 'Nonfiction', 'Leadership', 'Self-deception', 'Déception de soi', 'BUSINESS & ECONOMICS', 'Management', 'Management Styles & Communication', 'Economics']",2000.0,,4.1666665,6.0,31.0,65.0,4.0,10.0,https://covers.openlibrary.org/b/id/831276-L.jpg,Open Library only,13.0,General Business and Management,False
10,BOOK00011,Leadership,['Elesa Zehndorfer'],,"['Leadership', 'Industrial management', ""Gestion d'entreprise"", 'BUSINESS & ECONOMICS / Industrial Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Management Science', 'BUSINESS & ECONOMICS / Organizational Behavior', 'BUSINESS & ECONOMICS / Leadership']",2013.0,,5.0,1.0,12.0,32.0,3.0,1.0,https://covers.openlibrary.org/b/id/13806636-L.jpg,Open Library only,13.0,General Business and Management,False
