publication_geo_code,book_occurrences,marc_geographic_label
nyu,136,New York (State)
enk,75,England
mau,43,Massachusetts
nju,41,New Jersey
ilu,38,Illinois
cau,37,California
xxu,26,United States
xxk,24,United Kingdom
xx,17,"No place, unknown, or undetermined"
pau,9,Pennsylvania
ohu,9,Ohio
txu,8,Texas
inu,6,Indiana
dcu,6,District of Columbia
mnu,6,Minnesota
vau,5,Virginia
flu,5,Florida
ch,3,China (Republic : 1949- )
cou,3,Colorado
vtu,3,Vermont
gw,3,Germany
onc,3,Ontario
tnu,2,Tennessee
miu,2,Michigan
gau,2,Georgia
iau,2,Iowa
oru,2,Oregon
mou,2,Missouri
at,2,Australia
ph,2,Philippines
io,1,Indonesia
meu,1,Maine
ne,1,Netherlands
msu,1,Mississippi
mbc,1,Manitoba
xna,1,New South Wales
ctu,1,Connecticut
ko,1,Korea (South)
nz,1,New Zealand
ug,1,Uganda
aru,1,Arkansas
us,1,
ksu,1,Kansas
mdu,1,Maryland
fr,1,France
quc,1,Québec (Province)
cc,1,China
wau,1,Washington (State)
ii,1,India
nhu,1,New Hampshire
sa,1,South Africa
ja,1,Japan
it,1,Italy
mx,1,Mexico
