matrix_row,book_id,canonical_title,source_group,core_zero_vector,enriched_zero_vector
0,BOOK00001,Principle-Centered Leadership,Open Library only,False,False
1,BOOK00002,Leadership in Organizations,Open Library only,False,False
2,BOOK00003,Kepemimpinan =,Open Library only,True,False
3,BOOK00004,Spiritual leadership,Open Library only,False,False
4,BOOK00005,Leadership,Open Library only,False,False
5,BOOK00006,The 21 Irrefutable Laws of Leadership,Open Library only,False,False
6,BOOK00007,Leadership,Open Library only,False,False
7,BOOK00008,Leadership and performance beyond expectations,Open Library only,False,False
8,BOOK00009,A Higher Loyalty,Open Library only,False,False
9,BOOK00010,Leadership and Self Deception,Open Library only,False,False
10,BOOK00011,Leadership,Open Library only,False,False
11,BOOK00012,Leadership,Open Library only,False,False
12,BOOK00013,Lincoln on Leadership,Open Library only,False,False
13,BOOK00014,Leadership,Open Library only,False,False
14,BOOK00015,Leadership,Open Library only,False,False
15,BOOK00016,The leadership challenge,Both,False,False
16,BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,Open Library only,False,False
17,BOOK00018,Leadership,Open Library only,False,False
18,BOOK00019,Leadership In Turbulent Times,Open Library only,False,False
19,BOOK00020,Leadership,Open Library only,False,False
20,BOOK00021,Transformational Leadership,Open Library only,False,False
21,BOOK00022,Tribal leadership,Open Library only,False,False
22,BOOK00023,Tough Minded Leadership,Open Library only,False,False
23,BOOK00024,Transforming Leadership,Open Library only,False,False
24,BOOK00025,Leadership,Open Library only,False,False
25,BOOK00026,Transformation leadership,Open Library only,False,False
26,BOOK00027,Las cinco disfunciones de un equipo,Open Library only,False,False
27,BOOK00028,The Tao of leadership,Open Library only,False,False
28,BOOK00029,The student leadership challenge,Open Library only,False,False
29,BOOK00030,Reframing Organizations,Open Library only,False,False
30,BOOK00031,Wooden on Leadership,Open Library only,False,False
31,BOOK00032,Brand leadership,Open Library only,False,False
32,BOOK00033,SuperVision and Instructional Leadership,Open Library only,False,False
33,BOOK00034,Leadership,Open Library only,False,False
34,BOOK00035,Leadership Strategy and Tactics,Open Library only,False,False
35,BOOK00036,Leadership,Both,False,False
36,BOOK00037,Improving organizational effectiveness through transformational leadership,Open Library only,False,False
37,BOOK00038,Introduction to Leadership,Open Library only,False,False
38,BOOK00039,Teacher leadership,Open Library only,False,False
39,BOOK00040,HR leadership,Open Library only,False,False
40,BOOK00041,Leadership in health care,Open Library only,False,False
41,BOOK00042,Organizational culture and leadership,Open Library only,False,False
42,BOOK00043,Leadership and the one minute manager,Open Library only,False,False
43,BOOK00044,School leadership and administration,Open Library only,False,False
44,BOOK00045,Leadership Is an Art,Open Library only,False,False
45,BOOK00046,Small unit leadership,Open Library only,False,False
46,BOOK00047,Leadership Wisdom from the Monk Who Sold His Ferrari,Open Library only,False,False
47,BOOK00048,Monday morning leadership,Open Library only,False,False
48,BOOK00049,Leadership for dummies,Open Library only,False,False
