openlibrary_key,title,work_status_code,description,first_sentence,work_subjects,subject_places,subject_people,subject_times,excerpts,lc_classifications,dewey_number,work_covers
/works/OL2630041W,Principle-Centered Leadership,200,"How do we as individuals and organizations survive and thrive amid tremendous change? Why are efforts to improve falling so short in real results despite the millions of dollars in time, capital, and human effort being spent on them? How do we unleash the creativity, talent, and energy within ourselves and others in the midst of pressure? Is it realistic to believe that balance among personal, family, and professional life is possible? The answer to these and other dilemmas is Principle-Centered Leadership, a long-term, inside-out approach to developing people and organizations. The key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations. Dr. Covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity, but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced, more rewarding, more effective life.","I HAVE LONG ADVOCATED a natural, gradual, day-by-day, step-by-step, sequential approach to personal development.","['Leadership', 'Psychological aspects of Success', 'Success', 'Psychological aspects', 'Commerce', 'Success in business', 'Aptitude pour la direction', 'Achievement', 'Success--']",,,,"['I HAVE LONG ADVOCATED a natural, gradual, day-by-day, step-by-step, sequential approach to personal development.']",['BF637.S8 C67 1991'],"['158/.4', '303.34']","[10858615, 876830, 408834, 408292, 8338000, 479673, 10716342]"
/works/OL2731767W,Leadership in Organizations,200,,,"['Organisation', 'Prise de décision', 'Entscheidungsfindung', 'Leadership', 'Organizational sociology', 'Organization', 'Decision making', 'Management', 'Entscheidungstheorie', 'Politische Wissenschaft', 'Economic development', 'Fu\x98hrung', 'Prise de decision', '85.08 organizational sociology and psychology', 'Führung', 'Organisationsverhalten', 'Leiderschap', 'Armies', 'Executive ability', 'Organizational Decision Making', 'Manuel', 'Organisation (organisme)', 'Ledarskap', 'Organisationssociologi', 'Organisationsteori', 'Organisationsutveckling', 'Beslutsfattande', 'Organization theory']",,,,[],,['303.3/4'],"[87719, 1116320, 9752736, 11666429, 12221566, 15156836, 15156838]"
/works/OL302757W,Kepemimpinan =,200,,,['Leadership'],,,,[],['HM141 .K32'],,
/works/OL450702W,Spiritual leadership,200,,,"['Christian leadership', 'Leadership', 'Spiritual directors']",,,,[],,,[570509]
/works/OL94176W,Leadership,200,,,"['Cas, Études de', 'Leiderschap', 'Leadership', 'Case studies', 'Führung', 'Leadership--case studies', 'Hm141 .n67 1997', '303.3/4']",,,,[],,,[3859675]
/works/OL28124W,The 21 Irrefutable Laws of Leadership,200,,,"['Leadership', 'Industrial management', 'Dirección y administración', 'Liderazgo', 'Industria', ""Gestion d'entreprise""]",,,,[],,,[1465659]
/works/OL7956784W,Leadership,200,"""The Third Edition of this bestselling text reviews and analyzes the foremost leadership theories, giving special attention to how each theoretical approach can be applied in real-world organizations. For anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced, Leadership: Theory and Practice is an indispensable tool. Adopted as a textbook at over 250 colleges and universities, this bestselling volume is equally useful for private-sector leadership development training programs.""--Jacket.",,"['Leadership', 'Case studies', 'Sociology', 'Führung', 'Leadership--case studies', 'Hm1261 .n67 2018', '303.3/4']",,,,[],,,[511761]
/works/OL2421691W,Leadership and performance beyond expectations,200,,,"['Leadership', 'Liderazgo']",,,,[],['HM141 .B33 1985'],['303.3/4'],[18608]
/works/OL18146967W,A Higher Loyalty,200,The former FBI director shares his experiences over the past two decades working in the American government and explores ethical leadership and how it drives sound decision-making.,,"['Politics and government', 'Officials and employees', 'United States. Federal Bureau of Investigation', 'United States', 'Leadership', 'Biography', 'Political leadership', 'Political ethics', 'War on Terrorism, 2001-2009', 'United States. Department of Justice', 'Election', 'Presidents', 'Large type books', 'Personal narratives', 'United states, federal bureau of investigation', 'United states, politics and government, 2009-2017', 'United states, politics and government, 2017-', 'United states, politics and government, 2001-2009', 'Lawyers, biography', 'United states, politics and government, biography', 'nyt:combined-print-and-e-book-nonfiction=2018-05-06', 'New York Times bestseller', 'New York Times reviewed', 'United states, politics and government, 2017-2021', 'BIOGRAPHY & AUTOBIOGRAPHY / Political', 'POLITICAL SCIENCE / American Government / National', 'HISTORY / United States / 21st Century', 'United States Federal Bureau of Investigation']",['United States'],"['James B. Comey Jr. (1960-)', 'George W. Bush (1946-)', 'Donald Trump (1946-)']","['2017-', '2001-2009', '2009-2017', '2016', '21st century']",[],,,"[10597437, 9133177, 10423224]"
/works/OL8921343W,Leadership and Self Deception,200,"This phenomenal bestseller * over 700,000 copies sold * changes readers? lives and helps them transform their organizations. In this new edition, the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book.",,"['Berrett Koehler', 'Business', 'Nonfiction', 'Leadership', 'Self-deception', 'Déception de soi', 'BUSINESS & ECONOMICS', 'Management', 'Management Styles & Communication', 'Economics']",,,,[],,,"[831276, 6434403, 9869912, 8355332, 12963094, 831235, 8677546, 9185290, 11162840, 4918288]"
