book_id,canonical_title,author_position,openlibrary_author_key,author_name,first_publish_year,publication_year_observed,subjects,leadwise_book_count
BOOK00001,Principle-Centered Leadership,1,OL383159A,Stephen R. Covey,1989.0,,"['Leadership', 'Psychological aspects of Success', 'Success', 'Psychological aspects', 'Commerce', 'Success in business', 'Aptitude pour la direction', 'Achievement', 'Success--']",2
BOOK00002,Leadership in Organizations,1,OL400156A,Gary A. Yukl,1981.0,,"['Organisation', 'Prise de décision', 'Entscheidungsfindung', 'Leadership', 'Organizational sociology', 'Organization', 'Decision making', 'Management', 'Entscheidungstheorie', 'Politische Wissenschaft', 'Economic development', 'Fu\x98hrung', 'Prise de decision', '85.08 organizational sociology and psychology', 'Führung', 'Organisationsverhalten', 'Leiderschap', 'Armies', 'Executive ability', 'Organizational Decision Making', 'Manuel', 'Organisation (organisme)', 'Ledarskap', 'Organisationssociologi', 'Organisationsteori', 'Organisationsutveckling', 'Beslutsfattande', 'Organization theory']",2
BOOK00003,Kepemimpinan =,1,OL1268A,Karjadi M.,1977.0,,['Leadership'],1
BOOK00004,Spiritual leadership,1,OL25389A,J. Oswald Sanders,1967.0,,"['Christian leadership', 'Leadership', 'Spiritual directors']",1
BOOK00005,Leadership,1,OL32040A,Peter Guy Northouse,1997.0,,"['Cas, Études de', 'Leiderschap', 'Leadership', 'Case studies', 'Führung', 'Leadership--case studies', 'Hm141 .n67 1997', '303.3/4']",2
BOOK00006,The 21 Irrefutable Laws of Leadership,1,OL26423A,John C. Maxwell,1998.0,,"['Leadership', 'Industrial management', 'Dirección y administración', 'Liderazgo', 'Industria', ""Gestion d'entreprise""]",1
BOOK00007,Leadership,1,OL2655012A,Peter G. Northouse,2000.0,,"['Leadership', 'Case studies', 'Sociology', 'Führung', 'Leadership--case studies', 'Hm1261 .n67 2018', '303.3/4']",2
BOOK00008,Leadership and performance beyond expectations,1,OL333669A,Bernard M. Bass,1985.0,,"['Leadership', 'Liderazgo']",6
BOOK00009,A Higher Loyalty,1,OL7442788A,James Comey,2018.0,,"['Politics and government', 'Officials and employees', 'United States. Federal Bureau of Investigation', 'United States', 'Leadership', 'Biography', 'Political leadership', 'Political ethics', 'War on Terrorism, 2001-2009', 'United States. Department of Justice', 'Election', 'Presidents', 'Large type books', 'Personal narratives', 'United states, federal bureau of investigation', 'United states, politics and government, 2009-2017', 'United states, politics and government, 2017-', 'United states, politics and government, 2001-2009', 'Lawyers, biography', 'United states, politics and government, biography', 'nyt:combined-print-and-e-book-nonfiction=2018-05-06', 'New York Times bestseller', 'New York Times reviewed', 'United states, politics and government, 2017-2021', 'BIOGRAPHY & AUTOBIOGRAPHY / Political', 'POLITICAL SCIENCE / American Government / National', 'HISTORY / United States / 21st Century', 'United States Federal Bureau of Investigation']",1
BOOK00009,A Higher Loyalty,2,OL8118723A,James B. Comey,2018.0,,"['Politics and government', 'Officials and employees', 'United States. Federal Bureau of Investigation', 'United States', 'Leadership', 'Biography', 'Political leadership', 'Political ethics', 'War on Terrorism, 2001-2009', 'United States. Department of Justice', 'Election', 'Presidents', 'Large type books', 'Personal narratives', 'United states, federal bureau of investigation', 'United states, politics and government, 2009-2017', 'United states, politics and government, 2017-', 'United states, politics and government, 2001-2009', 'Lawyers, biography', 'United states, politics and government, biography', 'nyt:combined-print-and-e-book-nonfiction=2018-05-06', 'New York Times bestseller', 'New York Times reviewed', 'United states, politics and government, 2017-2021', 'BIOGRAPHY & AUTOBIOGRAPHY / Political', 'POLITICAL SCIENCE / American Government / National', 'HISTORY / United States / 21st Century', 'United States Federal Bureau of Investigation']",1
BOOK00009,A Higher Loyalty,3,OL7964852A,James Comey,2018.0,,"['Politics and government', 'Officials and employees', 'United States. Federal Bureau of Investigation', 'United States', 'Leadership', 'Biography', 'Political leadership', 'Political ethics', 'War on Terrorism, 2001-2009', 'United States. Department of Justice', 'Election', 'Presidents', 'Large type books', 'Personal narratives', 'United states, federal bureau of investigation', 'United states, politics and government, 2009-2017', 'United states, politics and government, 2017-', 'United states, politics and government, 2001-2009', 'Lawyers, biography', 'United states, politics and government, biography', 'nyt:combined-print-and-e-book-nonfiction=2018-05-06', 'New York Times bestseller', 'New York Times reviewed', 'United states, politics and government, 2017-2021', 'BIOGRAPHY & AUTOBIOGRAPHY / Political', 'POLITICAL SCIENCE / American Government / National', 'HISTORY / United States / 21st Century', 'United States Federal Bureau of Investigation']",1
BOOK00010,Leadership and Self Deception,1,OL3080130A,The Arbinger Institute,2000.0,,"['Berrett Koehler', 'Business', 'Nonfiction', 'Leadership', 'Self-deception', 'Déception de soi', 'BUSINESS & ECONOMICS', 'Management', 'Management Styles & Communication', 'Economics']",1
BOOK00010,Leadership and Self Deception,2,OL3010393A,Dick Ruhe,2000.0,,"['Berrett Koehler', 'Business', 'Nonfiction', 'Leadership', 'Self-deception', 'Déception de soi', 'BUSINESS & ECONOMICS', 'Management', 'Management Styles & Communication', 'Economics']",1
BOOK00011,Leadership,1,OL7596247A,Elesa Zehndorfer,2013.0,,"['Leadership', 'Industrial management', ""Gestion d'entreprise"", 'BUSINESS & ECONOMICS / Industrial Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Management Science', 'BUSINESS & ECONOMICS / Organizational Behavior', 'BUSINESS & ECONOMICS / Leadership']",1
BOOK00012,Leadership,1,OL233688A,Richard L. Hughes,1993.0,,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",2
BOOK00012,Leadership,2,OL2635692A,Robert C. Ginnett,1993.0,,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",1
BOOK00012,Leadership,3,OL2639183A,Gordon J Curphy,1993.0,,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",1
BOOK00012,Leadership,4,OL957796A,Richard Hughes,1993.0,,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",1
BOOK00012,Leadership,5,OL2639184A,Robert Ginnett,1993.0,,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",1
BOOK00012,Leadership,6,OL2639185A,Gordon Curphy,1993.0,,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",1
BOOK00012,Leadership,7,OL2635693A,Gordon J. Curphy,1993.0,,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",1
BOOK00013,Lincoln on Leadership,1,OL216820A,Donald T. Phillips,1992.0,,"['Views on political leadership', 'Political leadership', 'Leadership', 'Politische Führung', 'Leiderschap', 'Politische Fu\x98hrung', 'Lincoln, abraham, 1809-1865']",1
BOOK00014,Leadership,1,OL27560A,James MacGregor Burns,1978.0,,"['Leadership', 'Fu\x98hrungspsychologie', 'Fu\x98hrungseigenschaft', 'Politische Fu\x98hrung', 'Politieke aspecten', 'Führung', 'Pouvoir (sciences sociales)', 'Leiderschap', 'Ethische aspecten']",2
BOOK00015,Leadership,1,OL217763A,Robert N. Lussier,2000.0,,"['Teams in the workplace', 'Leadership']",2
BOOK00016,The leadership challenge,1,OL237290A,James M. Kouzes,1987.0,,"['Executive ability', 'Leadership', 'Management', 'Business', 'Nonfiction', 'Leiderschap', 'Aptitude pour la direction', 'Colección Gestión', 'Books and reading', 'Organization and Administration', 'Gestion', 'Sisters of St. Francis of Mary Immaculate', 'Administrative Personnel', 'Organizational Efficiency', 'Manuels', 'Autoformation', 'Ledarskap', 'Personnel Management', 'Führungsstil', 'Führung', 'Management, study and teaching', 'Executives, training of', 'Efficiency, organizational', 'Hd57.7 .k68 2007', 'Hd 57.7 k88l 2007', '658.4/092']",4
BOOK00016,The leadership challenge,2,OL2648679A,Barry Z. Posner,1987.0,,"['Executive ability', 'Leadership', 'Management', 'Business', 'Nonfiction', 'Leiderschap', 'Aptitude pour la direction', 'Colección Gestión', 'Books and reading', 'Organization and Administration', 'Gestion', 'Sisters of St. Francis of Mary Immaculate', 'Administrative Personnel', 'Organizational Efficiency', 'Manuels', 'Autoformation', 'Ledarskap', 'Personnel Management', 'Führungsstil', 'Führung', 'Management, study and teaching', 'Executives, training of', 'Efficiency, organizational', 'Hd57.7 .k68 2007', 'Hd 57.7 k88l 2007', '658.4/092']",3
BOOK00016,The leadership challenge,3,OL218730A,Elaine Biech,1987.0,,"['Executive ability', 'Leadership', 'Management', 'Business', 'Nonfiction', 'Leiderschap', 'Aptitude pour la direction', 'Colección Gestión', 'Books and reading', 'Organization and Administration', 'Gestion', 'Sisters of St. Francis of Mary Immaculate', 'Administrative Personnel', 'Organizational Efficiency', 'Manuels', 'Autoformation', 'Ledarskap', 'Personnel Management', 'Führungsstil', 'Führung', 'Management, study and teaching', 'Executives, training of', 'Efficiency, organizational', 'Hd57.7 .k68 2007', 'Hd 57.7 k88l 2007', '658.4/092']",1
BOOK00016,The leadership challenge,4,OL4148975A,Barry Posner,1987.0,,"['Executive ability', 'Leadership', 'Management', 'Business', 'Nonfiction', 'Leiderschap', 'Aptitude pour la direction', 'Colección Gestión', 'Books and reading', 'Organization and Administration', 'Gestion', 'Sisters of St. Francis of Mary Immaculate', 'Administrative Personnel', 'Organizational Efficiency', 'Manuels', 'Autoformation', 'Ledarskap', 'Personnel Management', 'Führungsstil', 'Führung', 'Management, study and teaching', 'Executives, training of', 'Efficiency, organizational', 'Hd57.7 .k68 2007', 'Hd 57.7 k88l 2007', '658.4/092']",1
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,1,OL228253A,"Schein, Edgar H.",1991.0,,"['Corporate culture', 'Culture', 'Leadership', ""Culture d'entreprise"", 'PSYCHOLOGY', 'Social Psychology', 'Society', 'Hd58.7 .s33 2017', '302.3/5']",2
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,2,OL8082877A,Peter Schein,1991.0,,"['Corporate culture', 'Culture', 'Leadership', ""Culture d'entreprise"", 'PSYCHOLOGY', 'Social Psychology', 'Society', 'Hd58.7 .s33 2017', '302.3/5']",1
BOOK00018,Leadership,1,OL233688A,Richard L. Hughes,2012.0,,['Leadership'],2
BOOK00019,Leadership In Turbulent Times,1,OL222155A,Doris Kearns Goodwin,2018.0,,"['Politics and government', 'Political culture', 'Political leadership', 'Presidents', 'Character', 'Case studies', 'Crisis management', 'History', 'Business & economics', 'leadership', 'political science', 'government', 'executive branch', 'Case Reports', 'Biographies', 'biography', 'political process', 'biography & autobiography', 'presidents & heads of state', 'presidential leadership', 'Presidents, united states', 'United states, politics and government', 'Lincoln, abraham, 1809-1865', 'Roosevelt, theodore, 1858-1919', 'Roosevelt, franklin d. (franklin delano), 1882-1945', 'Johnson, lyndon b. (lyndon baines), 1908-1973', 'nyt:combined-print-and-e-book-nonfiction=2018-10-07', 'New York Times bestseller', 'New York Times reviewed', 'United states, history', 'POLITICAL SCIENCE / Political Process / Leadership', 'BIOGRAPHY & AUTOBIOGRAPHY / Presidents & Heads of State', 'Theodore Roosevelt']",2
BOOK00019,Leadership In Turbulent Times,2,OL9310463A,Doris Kearns Goodwin,2018.0,,"['Politics and government', 'Political culture', 'Political leadership', 'Presidents', 'Character', 'Case studies', 'Crisis management', 'History', 'Business & economics', 'leadership', 'political science', 'government', 'executive branch', 'Case Reports', 'Biographies', 'biography', 'political process', 'biography & autobiography', 'presidents & heads of state', 'presidential leadership', 'Presidents, united states', 'United states, politics and government', 'Lincoln, abraham, 1809-1865', 'Roosevelt, theodore, 1858-1919', 'Roosevelt, franklin d. (franklin delano), 1882-1945', 'Johnson, lyndon b. (lyndon baines), 1908-1973', 'nyt:combined-print-and-e-book-nonfiction=2018-10-07', 'New York Times bestseller', 'New York Times reviewed', 'United states, history', 'POLITICAL SCIENCE / Political Process / Leadership', 'BIOGRAPHY & AUTOBIOGRAPHY / Presidents & Heads of State', 'Theodore Roosevelt']",1
BOOK00020,Leadership,1,OL192352A,Michael Z. Hackman,1991.0,,"['Communication', 'Leadership', 'Politics - Current Events', 'Business & Economics / Management Science', 'Politics / Current Events', 'Business/Economics', 'Political Process - Leadership', 'Business & Economics', 'Management Science', 'Business & Economics / Leadership', 'Fu\x98hrung', 'Fu\x98hrungseigenschaft', 'Language arts', 'Business']",1
BOOK00020,Leadership,2,OL483114A,Craig E. Johnson,1991.0,,"['Communication', 'Leadership', 'Politics - Current Events', 'Business & Economics / Management Science', 'Politics / Current Events', 'Business/Economics', 'Political Process - Leadership', 'Business & Economics', 'Management Science', 'Business & Economics / Leadership', 'Fu\x98hrung', 'Fu\x98hrungseigenschaft', 'Language arts', 'Business']",1
BOOK00021,Transformational Leadership,1,OL333669A,Bernard M. Bass,2005.0,,"['Leadership', 'Organizational change']",6
BOOK00021,Transformational Leadership,2,OL659144A,Ronald E. Riggio,2005.0,,"['Leadership', 'Organizational change']",3
BOOK00022,Tribal leadership,1,OL4929480A,David Logan,2007.0,,"['Teams in the workplace', 'Leadership', 'Organizational behavior', 'Business', 'Management', 'Nonfiction', 'Gestion du personnel', 'Organisation du travail', 'Motivations', ""Travail d'équipe"", 'Associations, institutions', 'Workplace', 'nyt:paperback-advice=2011-06-26', 'New York Times bestseller']",1
BOOK00022,Tribal leadership,2,OL2632097A,Dave Logan,2007.0,,"['Teams in the workplace', 'Leadership', 'Organizational behavior', 'Business', 'Management', 'Nonfiction', 'Gestion du personnel', 'Organisation du travail', 'Motivations', ""Travail d'équipe"", 'Associations, institutions', 'Workplace', 'nyt:paperback-advice=2011-06-26', 'New York Times bestseller']",1
BOOK00022,Tribal leadership,3,OL2632098A,John King,2007.0,,"['Teams in the workplace', 'Leadership', 'Organizational behavior', 'Business', 'Management', 'Nonfiction', 'Gestion du personnel', 'Organisation du travail', 'Motivations', ""Travail d'équipe"", 'Associations, institutions', 'Workplace', 'nyt:paperback-advice=2011-06-26', 'New York Times bestseller']",1
BOOK00022,Tribal leadership,4,OL2632099A,Halee Fischer-Wright,2007.0,,"['Teams in the workplace', 'Leadership', 'Organizational behavior', 'Business', 'Management', 'Nonfiction', 'Gestion du personnel', 'Organisation du travail', 'Motivations', ""Travail d'équipe"", 'Associations, institutions', 'Workplace', 'nyt:paperback-advice=2011-06-26', 'New York Times bestseller']",1
BOOK00022,Tribal leadership,5,OL10000962A,"King, John, III",2007.0,,"['Teams in the workplace', 'Leadership', 'Organizational behavior', 'Business', 'Management', 'Nonfiction', 'Gestion du personnel', 'Organisation du travail', 'Motivations', ""Travail d'équipe"", 'Associations, institutions', 'Workplace', 'nyt:paperback-advice=2011-06-26', 'New York Times bestseller']",1
BOOK00022,Tribal leadership,6,OL302271A,John King (undifferentiated),2007.0,,"['Teams in the workplace', 'Leadership', 'Organizational behavior', 'Business', 'Management', 'Nonfiction', 'Gestion du personnel', 'Organisation du travail', 'Motivations', ""Travail d'équipe"", 'Associations, institutions', 'Workplace', 'nyt:paperback-advice=2011-06-26', 'New York Times bestseller']",1
BOOK00023,Tough Minded Leadership,1,OL386286A,Joe D. Batten,1989.0,,"['Leadership', 'Management', 'Leadership, religious aspects']",1
BOOK00024,Transforming Leadership,1,OL27560A,James MacGregor Burns,2003.0,,"['Empowerment', 'Politieke leiding', 'Leadership', 'Geschichte', 'Führung', 'History', 'Leadership--history', 'Hm1261 .b87 2003', '303.3/4']",2
BOOK00025,Leadership,1,OL54602A,Rudolph W. Giuliani,2002.0,,"['Politics and government', 'September 11 Terrorist Attacks, 2001', 'Biographies', ""Hommes d'État"", 'New York (N.Y.)', 'Administration', 'Attentats du 11 septembre 2001, E tats-Unis', ""Hommes d'E tat"", 'Maires', 'Politicians', 'Leadership', 'Attentats du 11 septembre 2001, États-Unis', 'Mayors', 'Biography', 'Statesmen', 'New York City', 'Terrorist attack', 'September 11, 2001', 'September 11 terrorist attacks, 2001', ""Hommes d'état"", 'New york (n.y.)', 'Attentats du 11 septembre 2001, e tats-unis', ""Hommes d'e tat"", 'Attentats du 11 septembre 2001, états-unis', 'New york city']",1
BOOK00026,Transformation leadership,1,OL333669A,Bernard M. Bass,2005.0,,"['Leadership', 'Organizational change', 'Organizational Innovation', 'Changement organisationnel', 'BUSINESS & ECONOMICS']",6
BOOK00026,Transformation leadership,2,OL659144A,Ronald E. Riggio,2005.0,,"['Leadership', 'Organizational change', 'Organizational Innovation', 'Changement organisationnel', 'BUSINESS & ECONOMICS']",3
BOOK00027,Las cinco disfunciones de un equipo,1,OL219764A,Patrick Lencioni,2002.0,,"['Management', 'Nonfiction', 'Business', 'Teams in the workplace', 'Industrial Psychology', 'Organization & administration', 'Travail de groupe', 'Leadership', 'Teamwork', 'Workplace', 'Institutional Management Teams', 'Équipes de travail', 'Personnel Management', 'Group Processes', 'Employees, training of', 'Self-actualization (psychology)', 'Comic books, strips', 'Teams in the workplace--comic books, strips, etc', 'Hd66 .l456 2008', '658.402', 'Institutional Mangement Teams']",3
BOOK00028,The Tao of leadership,1,OL1236399A,John Heider,1985.0,,"['Taoísmo', 'Psychological aspects of Leadership', 'Leadership', 'Psychological aspects', 'Taoism', 'Liderazgo', 'Dao de jing (Laozi)']",1
BOOK00029,The student leadership challenge,1,OL237290A,James M. Kouzes,2000.0,,"['Leadership', 'College student government', 'Interpersonal relations', 'Student government', 'Education - social & political aspects']",4
BOOK00029,The student leadership challenge,2,OL2648679A,Barry Z. Posner,2000.0,,"['Leadership', 'College student government', 'Interpersonal relations', 'Student government', 'Education - social & political aspects']",3
BOOK00029,The student leadership challenge,3,OL8049138A,Beth High,2000.0,,"['Leadership', 'College student government', 'Interpersonal relations', 'Student government', 'Education - social & political aspects']",1
BOOK00029,The student leadership challenge,4,OL8049139A,Gary M. Morgan,2000.0,,"['Leadership', 'College student government', 'Interpersonal relations', 'Student government', 'Education - social & political aspects']",1
BOOK00029,The student leadership challenge,5,OL9507985A,Martin Tan,2000.0,,"['Leadership', 'College student government', 'Interpersonal relations', 'Student government', 'Education - social & political aspects']",1
BOOK00030,Reframing Organizations,1,OL545889A,Lee G. Bolman,1991.0,,"['Leadership', 'Management', 'Organizational behavior', 'Business', 'Nonfiction', 'Comportement organisationnel', 'Gestion', ""Culture d'entreprise"", 'Management.', 'Organizational behavior.', 'Leadership.', 'Risk Management', 'Organization and Administration', 'Administracao', 'Prise de decision', 'Organisatie', 'Unternehmen', 'Theorie', 'Administracao De Empresas', 'Unternehmensorganisation', 'Prise de décision', 'Job Satisfaction', 'Personnel Management', 'Industrial Psychology', 'Führung', 'Organisationshandeln', 'Associations, institutions, etc.', 'Organizational change', 'BUSINESS & ECONOMICS', 'Structural Adjustment', 'Organisationssoziologie', 'Organisationsverhalten', 'Organisationsutveckling', 'Organisationsförändringar', 'Företagsorganisation', 'Management Service Organizations', 'Organisatiegedrag', 'Leiderschap', 'Organizational Culture', 'Organizational Innovation', 'Institutional Management Teams', 'Management Quality Circles', 'Hd31 .b6135 2003', '658.4/063', 'Hd31 .b6135 2008', 'Psychology, industrial', 'Hd31 .b6135 2013', 'Hd31 .b6135 2017']",1
BOOK00031,Wooden on Leadership,1,OL2637309A,John Wooden,2005.0,,"['Business', 'Nonfiction', 'Leadership', 'Management']",1
BOOK00032,Brand leadership,1,OL220279A,David A. Aaker,2000.0,,"['Brand name products', 'Management', 'Sales & marketing', 'Product Management', 'Business & Economics', 'Business / Economics / Finance', 'Business/Economics', 'United States', 'Marketing - General', 'Advertising & Promotion', 'Business & Economics / Marketing / General', 'Marketing', 'Merken', 'Merkartikelen', 'Merknamen', 'Strategie', 'Marques de commerce']",4
