book_id,canonical_title,author_position,openlibrary_author_key,author_name
BOOK00001,Principle-Centered Leadership,1,OL383159A,Stephen R. Covey
BOOK00002,Leadership in Organizations,1,OL400156A,Gary A. Yukl
BOOK00003,Kepemimpinan =,1,OL1268A,Karjadi M.
BOOK00004,Spiritual leadership,1,OL25389A,J. Oswald Sanders
BOOK00005,Leadership,1,OL32040A,Peter Guy Northouse
BOOK00006,The 21 Irrefutable Laws of Leadership,1,OL26423A,John C. Maxwell
BOOK00007,Leadership,1,OL2655012A,Peter G. Northouse
BOOK00008,Leadership and performance beyond expectations,1,OL333669A,Bernard M. Bass
BOOK00009,A Higher Loyalty,1,OL7442788A,James Comey
BOOK00009,A Higher Loyalty,2,OL8118723A,James B. Comey
BOOK00009,A Higher Loyalty,3,OL7964852A,James Comey
BOOK00010,Leadership and Self Deception,1,OL3080130A,The Arbinger Institute
BOOK00010,Leadership and Self Deception,2,OL3010393A,Dick Ruhe
BOOK00011,Leadership,1,OL7596247A,Elesa Zehndorfer
BOOK00012,Leadership,1,OL233688A,Richard L. Hughes
BOOK00012,Leadership,2,OL2635692A,Robert C. Ginnett
BOOK00012,Leadership,3,OL2639183A,Gordon J Curphy
BOOK00012,Leadership,4,OL957796A,Richard Hughes
BOOK00012,Leadership,5,OL2639184A,Robert Ginnett
BOOK00012,Leadership,6,OL2639185A,Gordon Curphy
BOOK00012,Leadership,7,OL2635693A,Gordon J. Curphy
BOOK00013,Lincoln on Leadership,1,OL216820A,Donald T. Phillips
BOOK00014,Leadership,1,OL27560A,James MacGregor Burns
BOOK00015,Leadership,1,OL217763A,Robert N. Lussier
BOOK00016,The leadership challenge,1,OL237290A,James M. Kouzes
BOOK00016,The leadership challenge,2,OL2648679A,Barry Z. Posner
BOOK00016,The leadership challenge,3,OL218730A,Elaine Biech
BOOK00016,The leadership challenge,4,OL4148975A,Barry Posner
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,1,OL228253A,"Schein, Edgar H."
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,2,OL8082877A,Peter Schein
BOOK00018,Leadership,1,OL233688A,Richard L. Hughes
BOOK00019,Leadership In Turbulent Times,1,OL222155A,Doris Kearns Goodwin
BOOK00019,Leadership In Turbulent Times,2,OL9310463A,Doris Kearns Goodwin
BOOK00020,Leadership,1,OL192352A,Michael Z. Hackman
BOOK00020,Leadership,2,OL483114A,Craig E. Johnson
BOOK00021,Transformational Leadership,1,OL333669A,Bernard M. Bass
BOOK00021,Transformational Leadership,2,OL659144A,Ronald E. Riggio
BOOK00022,Tribal leadership,1,OL4929480A,David Logan
BOOK00022,Tribal leadership,2,OL2632097A,Dave Logan
BOOK00022,Tribal leadership,3,OL2632098A,John King
BOOK00022,Tribal leadership,4,OL2632099A,Halee Fischer-Wright
BOOK00022,Tribal leadership,5,OL10000962A,"King, John, III"
BOOK00022,Tribal leadership,6,OL302271A,John King (undifferentiated)
BOOK00023,Tough Minded Leadership,1,OL386286A,Joe D. Batten
BOOK00024,Transforming Leadership,1,OL27560A,James MacGregor Burns
BOOK00025,Leadership,1,OL54602A,Rudolph W. Giuliani
BOOK00026,Transformation leadership,1,OL333669A,Bernard M. Bass
BOOK00026,Transformation leadership,2,OL659144A,Ronald E. Riggio
BOOK00027,Las cinco disfunciones de un equipo,1,OL219764A,Patrick Lencioni
BOOK00028,The Tao of leadership,1,OL1236399A,John Heider
BOOK00029,The student leadership challenge,1,OL237290A,James M. Kouzes
BOOK00029,The student leadership challenge,2,OL2648679A,Barry Z. Posner
BOOK00029,The student leadership challenge,3,OL8049138A,Beth High
BOOK00029,The student leadership challenge,4,OL8049139A,Gary M. Morgan
BOOK00029,The student leadership challenge,5,OL9507985A,Martin Tan
BOOK00030,Reframing Organizations,1,OL545889A,Lee G. Bolman
BOOK00031,Wooden on Leadership,1,OL2637309A,John Wooden
BOOK00032,Brand leadership,1,OL220279A,David A. Aaker
BOOK00032,Brand leadership,2,OL2762041A,Erich Joachimsthaler
BOOK00033,SuperVision and Instructional Leadership,1,OL383429A,Carl D. Glickman
BOOK00033,SuperVision and Instructional Leadership,2,OL772556A,Stephen P. Gordon
BOOK00033,SuperVision and Instructional Leadership,3,OL2672226A,Jovita M. Ross-Gordon
BOOK00034,Leadership,1,OL3714825A,Simon Western
BOOK00035,Leadership Strategy and Tactics,1,OL7524018A,Jocko Willink
BOOK00036,Leadership,1,OL236243A,Henry Kissinger
BOOK00037,Improving organizational effectiveness through transformational leadership,1,OL333669A,Bernard M. Bass
BOOK00037,Improving organizational effectiveness through transformational leadership,2,OL241136A,Bruce J. Avolio
BOOK00038,Introduction to Leadership,1,OL2655012A,Peter G. Northouse
BOOK00039,Teacher leadership,1,OL770456A,Ann Lieberman
BOOK00039,Teacher leadership,2,OL1862946A,Lynne Miller
BOOK00040,HR leadership,1,OL265995A,Linda Holbeche
BOOK00041,Leadership in health care,1,OL3480923A,Jill Barr
BOOK00041,Leadership in health care,2,OL3714810A,Lesley L Dowding
BOOK00042,Organizational culture and leadership,1,OL228253A,"Schein, Edgar H."
BOOK00043,Leadership and the one minute manager,1,OL21502A,Kenneth H. Blanchard
BOOK00043,Leadership and the one minute manager,2,OL2623346A,Patricia Zigarmi
BOOK00043,Leadership and the one minute manager,3,OL2623347A,Drea Zigarmi
BOOK00044,School leadership and administration,1,OL778253A,Richard A. Gorton
BOOK00044,School leadership and administration,2,OL1478504A,Judy A. Alston
BOOK00044,School leadership and administration,3,OL549296A,Petra E. Snowden
BOOK00045,Leadership Is an Art,1,OL3925630A,Max DePree
BOOK00046,Small unit leadership,1,OL1345371A,Dandridge M. Malone
BOOK00047,Leadership Wisdom from the Monk Who Sold His Ferrari,1,OL221968A,Robin S. Sharma
BOOK00048,Monday morning leadership,1,OL1386640A,David Cottrell
