book_id,canonical_title,authors,observed_edition_count,earliest_observed_year,latest_observed_year,known_publication_languages_display,known_publication_language_count,multilingual_publication_evidence,observed_publication_countries,observed_publication_country_count,observed_publication_places,observed_publication_place_count,observed_publisher_count,observed_isbn_13_count,observed_format_count,minimum_observed_pages,maximum_observed_pages,known_publication_language_codes,observed_publishers,observed_isbn_10,observed_isbn_10_count,observed_isbn_13,observed_physical_formats,known_publication_languages,first_publish_year,earliest_vs_first_difference,year_discrepancy_flag
BOOK00001,Principle-Centered Leadership,['Stephen R. Covey'],21,1989,2012,English,1,False,"['xxk', 'nyu']",2,"['London', 'New York', 'New York, New York']",3,13,16,5,1,336,['eng'],"['Franklin Covey on Brilliance Audio', 'Simon & Schuster Audio', 'Simon & Schuster', 'Simon & Schuster (Trade Division)', 'Summit Books', 'Covey', 'Simon Schuster Trade', 'Free Press', 'Covey Leadership Center', 'Pocket Books', 'Cedar Fort', 'Simon & Schuster Inc.', 'Coach Series']","['145589348X', '0743501551', '068485841X', '0671711350', '0671711164', '0916095312', '188321906X', '1883219248', '0671011138', '0671317032', '0671792806', '0671749102', '1929494610', '0671755455', '002863912X', '0743468600', '155517048X', '1596590084']",18,"['9781455893485', '9780743501552', '9780671711351', '9780671711160', '9780916095314', '9781883219062', '9780684858418', '9781883219246', '9780671011130', '9780671317034', '9780671792800', '9781929494613', '9780671755454', '9780028639123', '9781555170486', '9781596590083']","['audio cd', 'Audio CD', 'Paperback', 'Hardcover', 'Audio Cassette']",['English'],1989.0,0.0,False
BOOK00002,Leadership in Organizations,['Gary A. Yukl'],26,1981,2020,"English, Turkish",2,True,"['nju', 'xxk', 'xxu', 'enk']",4,"['Upper Saddle River, N.J', 'London', 'Englewood Cliffs, NJ', 'Englewood Cliffs, N.J', 'Upper Saddle River, NJ']",5,12,14,4,338,648,"['eng', 'tur']","['Pearson Education', 'PEARSON EDUCATION', 'PEARSON INDIA', 'Nobel Akademik Yayincilik', 'Pearson Higher Education & Professional Group', 'Pearson Education, Limited', 'Pearson', 'Prentice-Hall International', 'Prentice-Hall', 'Prentice Hall', 'Prentice Hall College Div', 'Pearson/Prentice Hall']","['0132771977', '8129700999', '9332518130', '9332575215', '6053208469', '0135271851', '0130647500', '0139067027', '0134895134', '0132771861', '0135308747', '0536867038', '0135271762', '0130323128', '0132424312', '0138975213', '013527169X', '0131494848']",18,"['9780132771979', '9788129700995', '9789332518131', '9789332575219', '9786053208464', '9780273765660', '9780138157142', '9780132771863', '9780138142681', '9780134895130', '9780136072805', '9780536867032', '9780130323125', '9780132424318']","['Paperback', 'paperback', 'hardcover', 'Hardcover']","['English', 'Turkish']",1981.0,0.0,False
BOOK00003,Kepemimpinan =,['Karjadi M.'],1,1977,1977,Indonesian,1,False,['io'],1,['Bogor'],1,1,0,0,102,102,['ind'],['Politeia'],[],0,[],[],['Indonesian'],1977.0,0.0,False
BOOK00004,Spiritual leadership,['J. Oswald Sanders'],8,1967,2006,English,1,False,"['enk', 'ilu']",2,"['Basingstoke', 'Bromley', 'Chicago']",3,5,4,4,159,255,['eng'],"['Moody Press', 'Marshall Pickering', 'STL Books', 'Lifeway', 'Hovel Audio']","['0802482228', '055100651X', '0903843463', '0802482473', '0767394496', '1596441801', '0802467997', '080248221X']",8,"['9780802482228', '9780802482471', '9780767394499', '9781596441804']","['Hardcover', 'Paperback', 'Unknown Binding', 'Audio CD']",['English'],1967.0,0.0,False
BOOK00005,Leadership,['Peter Guy Northouse'],5,1997,2010,English,1,False,['cau'],1,"['Thousand Oaks', 'Thousand Oaks,  Calif', 'Thousand Oaks, CA', 'Thousand Oaks, Calif']",4,2,2,0,274,395,['eng'],"['SAGE Publications', 'Sage Publications']","['141294161X', '0761919252', '0761919260', '0803957688', '0803957696']",5,"['9781412941617', '9781412974882']",[],['English'],1997.0,0.0,False
BOOK00006,The 21 Irrefutable Laws of Leadership,['John C. Maxwell'],12,1998,2007,"Spanish, Mandarin Chinese, English",3,True,['tnu'],1,"['Nashville', 'Nashville, Tenn']",2,5,9,3,180,368,"['spa', 'cmn', 'eng']","['Grupo Nelson', 'Xinhua Publishing House', 'Thomas Nelson', 'Nelson, Thomas@ Publishing Co', 'Thomas Nelson Publishers']","['0881138983', '7501161283', '0785288376', '1602550689', '0785270345', '0785261362', '1602550271', '0785289054', '0785289356', '0785274316', '0881139319']",11,"['9780881138986', '9780785288374', '9781602550681', '9780785270348', '9780785261360', '9781602550278', '9780785289050', '9780785289357', '9780881139310']","['Audio CD', 'Hardcover', 'Paperback']","['Spanish', 'Mandarin Chinese', 'English']",1998.0,0.0,False
BOOK00007,Leadership,['Peter G. Northouse'],8,2000,2021,English,1,False,[],0,[],0,3,8,2,312,600,['eng'],"['SAGE Publications, Inc', 'SAGE Publications, Incorporated', 'Sage Publications, Inc']","['1544397569', '1506362311', '0761919260', '141294161X', '076192566X']",5,"['9781544397566', '9781544331942', '9781544327839', '9781483393643', '9781506362311', '9780761919261', '9781412941617', '9780761925668']","['paperback', 'Paperback']",['English'],2000.0,0.0,False
BOOK00008,Leadership and performance beyond expectations,['Bernard M. Bass'],1,1985,1985,English,1,False,['nyu'],1,"['New York', 'London']",2,2,0,0,256,256,['eng'],"['Free Press', 'Collier Macmillan']",['0029018102'],1,[],[],['English'],1985.0,0.0,False
BOOK00009,A Higher Loyalty,"['James Comey', 'James B. Comey', 'James Comey']",9,2018,2019,English,1,False,"['meu', 'nyu']",2,[],0,4,8,2,290,469,['eng'],"['Large Print Press', 'Pan Macmillan', 'Flatiron Books', 'PAN MACMILLAN']","['1432868284', '1529000831', '1432855832', '1427298297', '1250192471', '1250192455']",6,"['9781432868284', '9781529000825', '9781250192462', '9781529000832', '9781529000863', '9781432855833', '9781427298294', '9781250192479']","['paperback', '[sound recording] :']",['English'],2018.0,0.0,False
BOOK00010,Leadership and Self Deception,"['The Arbinger Institute', 'Dick Ruhe']",31,2000,2025,"English, Spanish, Chinese",3,True,"['cc', 'cau', 'nyu']",3,"['Beijing', 'San Francisco', 'San Francisco, Calif']",3,14,29,6,175,372,"['eng', 'spa', 'chi']","['ReadHowYouWant.com, Limited', 'Empresa Activa', 'Ediciones Urano S. A.', 'Berrett-Koehler Publishers, Incorporated', 'Berrett-Koehler Publishers', 'Penguin Books, Limited', 'ReadHowYouWant', 'Dreamscape Media', 'Dang dai Zhongguo chu ban she', 'Berrett-Koehler', 'Penguin Books', 'Penguin', 'Berrett-Koehler Publishers, Inc.', 'The Audio Partners']","['8495787059', '0369304632', '1974922200', '1974922219', '7801703278', '1576750949', '1459626184', '1523097809', '014103632X', '1576751740', '1609946960', '1576759776', '1572704446']",13,"['9781038701763', '9788416997107', '9788492921577', '9788495787057', '9781523006564', '9781282299139', '9781282467149', '9781583763872', '9781576755020', '9781626566248', '9780141030067', '9781427087867', '9781458769558', '9781523097814', '9781523097821', '9780369304636', '9781974922208', '9781974922215', '9787801703279', '9781576750940', '9781459626188', '9781576759776', '9781523097807', '9780141036328', '9781576751749', '9781609946968', '9781576759783', '9781605095288', '9781572704442']","['Paperback', 'paperback', 'audio cd', 'Hardcover', 'eBook', 'Audio CD']","['English', 'Spanish', 'Chinese']",2000.0,0.0,False
