book_id,earliest_observed_year,earliest_year_edition_records,earliest_country_codes,earliest_country_code_count,earliest_publication_places,earliest_publication_place_count,earliest_publishers,earliest_publisher_count,earliest_geography_status
BOOK00001,1989,1,[],0,[],0,['Cedar Fort'],1,no_geographic_evidence
BOOK00002,1981,2,"['xxk', 'nju']",2,"['London', 'Englewood Cliffs, N.J']",2,"['Prentice-Hall International', 'Prentice-Hall']",2,multiple_country_evidence
BOOK00003,1977,1,['io'],1,['Bogor'],1,['Politeia'],1,single_country_evidence
BOOK00004,1967,1,['ilu'],1,['Chicago'],1,['Moody Press'],1,single_country_evidence
BOOK00005,1997,1,['cau'],1,"['Thousand Oaks, Calif']",1,['Sage Publications'],1,single_country_evidence
BOOK00006,1998,1,['tnu'],1,"['Nashville, Tenn']",1,['Thomas Nelson Publishers'],1,single_country_evidence
BOOK00007,2000,1,[],0,[],0,"['Sage Publications, Inc']",1,no_geographic_evidence
BOOK00008,1985,1,['nyu'],1,"['New York', 'London']",2,"['Free Press', 'Collier Macmillan']",2,single_country_evidence
BOOK00009,2018,6,"['meu', 'nyu']",2,[],0,"['Pan Macmillan', 'Flatiron Books', 'PAN MACMILLAN']",3,multiple_country_evidence
BOOK00010,2000,2,[],0,[],0,"['Berrett-Koehler Publishers, Incorporated', 'Berrett-Koehler Publishers', 'Berrett-Koehler']",3,no_geographic_evidence
BOOK00011,2013,5,[],0,[],0,"['Routledge', 'Taylor & Francis Group']",2,no_geographic_evidence
BOOK00012,1993,1,['ilu'],1,"['Homewood, IL']",1,['Irwin'],1,single_country_evidence
BOOK00013,1992,1,['nyu'],1,['New York'],1,['Warner Books'],1,single_country_evidence
BOOK00014,1978,2,"['nyu', 'xxu']",2,['New York'],1,"['Harper & Row', 'Harper and Row']",2,multiple_country_evidence
BOOK00015,2000,1,[],0,[],0,['South-Western Educational Publishing'],1,no_geographic_evidence
BOOK00016,1987,3,"['cau', 'xxu']",2,['San Francisco'],1,['Jossey-Bass'],1,multiple_country_evidence
