book_id,openlibrary_key,title,authors,isbn,isbn_type,isbn_source,isbn_length,structurally_valid_length,title_compare,authors_compare
BOOK00667,/works/OL2714552W,Organizational behavior,"['John W. Newstrom', 'Keith Davis']",0071127305,ISBN-10,all_isbns,10,True,organizational behavior,john w newstrom keith davis
BOOK00697,/works/OL1267341W,Organizational behavior,['Keith Davis'],0071127305,ISBN-10,all_isbns,10,True,organizational behavior,keith davis
BOOK00708,/works/OL3266746W,Managerial Economics & Business Strategy,"['Michael R. Baye', 'Michael Baye']",0072487933,ISBN-10,all_isbns,10,True,managerial economics business strategy,michael r baye michael baye
BOOK00749,/works/OL15843963W,Managerial economics and business strategy,['Michael R. Baye'],0072487933,ISBN-10,all_isbns,10,True,managerial economics and business strategy,michael r baye
BOOK00663,/works/OL547477W,Organizational behavior,"['Robert Kreitner', 'Angelo Kinicki']",007353045X,ISBN-10,all_isbns,10,True,organizational behavior,robert kreitner angelo kinicki
BOOK00691,/works/OL18648685W,Organizational behavior,['Robert Kreitner'],007353045X,ISBN-10,all_isbns,10,True,organizational behavior,robert kreitner
BOOK00493,/works/OL7942381W,Principles of operations management,['Jay Heizer'],0130271470,ISBN-10,all_isbns,10,True,principles of operations management,jay heizer
BOOK00502,/works/OL1887969W,Principles of operations management,['Jay H. Heizer'],0130271470,ISBN-10,all_isbns,10,True,principles of operations management,jay h heizer
BOOK00298,/works/OL1982791W,Human Resource Management,['Gary Dessler'],0130664928,ISBN-10,all_isbns,10,True,human resource management,gary dessler
BOOK00622,/works/OL15643306W,Human resource management,['Gary Dessler'],0130664928,ISBN-10,all_isbns,10,True,human resource management,gary dessler
BOOK00285,/works/OL1887971W,Operations management,"['Jay H. Heizer', 'Jay Heizer', 'Barry Render']",0131016121,ISBN-10,all_isbns,10,True,operations management,jay h heizer jay heizer barry render
BOOK00485,/works/OL7942382W,Operations management,['Jay Heizer'],0131016121,ISBN-10,all_isbns,10,True,operations management,jay heizer
