book_id,openlibrary_key,title,status,relevant_field_names,relevant_field_values,total_work_fields
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,success,[],{},16
BOOK00002,/works/OL2731767W,Leadership in Organizations,success,[],{},12
BOOK00003,/works/OL302757W,Kepemimpinan =,success,[],{},12
BOOK00004,/works/OL450702W,Spiritual leadership,success,[],{},10
BOOK00005,/works/OL94176W,Leadership,success,[],{},10
BOOK00006,/works/OL28124W,The 21 Irrefutable Laws of Leadership,success,[],{},11
BOOK00007,/works/OL7956784W,Leadership,success,[],{},11
BOOK00008,/works/OL2421691W,Leadership and performance beyond expectations,success,[],{},13
BOOK00009,/works/OL18146967W,A Higher Loyalty,success,[],{},16
BOOK00010,/works/OL8921343W,Leadership and Self Deception,success,[],{},11
BOOK00011,/works/OL19982874W,Leadership,success,[],{},10
BOOK00012,/works/OL1947324W,Leadership,success,[],{},12
BOOK00013,/works/OL1807678W,Lincoln on Leadership,success,[],{},18
BOOK00014,/works/OL30484W,Leadership,success,[],{},13
BOOK00015,/works/OL1815713W,Leadership,success,[],{},14
BOOK00016,/works/OL1974749W,The leadership challenge,success,[],{},13
BOOK00017,/works/OL17628850W,ORGANIZATIONAL CULTURE AND LEADERSHIP,success,[],{},12
BOOK00018,/works/OL16296611W,Leadership,success,[],{},10
BOOK00019,/works/OL17934890W,Leadership In Turbulent Times,success,[],{},15
BOOK00020,/works/OL1693759W,Leadership,success,[],{},12
BOOK00021,/works/OL21002118W,Transformational Leadership,success,[],{},11
BOOK00022,/works/OL11659147W,Tribal leadership,success,[],{},11
BOOK00023,/works/OL2649476W,Tough Minded Leadership,success,[],{},13
BOOK00024,/works/OL30487W,Transforming Leadership,success,[],{},14
BOOK00025,/works/OL694165W,Leadership,success,[],{},13
