tensor_row,book_id,is_zero_vector
0,BOOK00001,False
1,BOOK00002,False
2,BOOK00003,False
3,BOOK00004,False
4,BOOK00005,False
5,BOOK00006,False
6,BOOK00007,False
7,BOOK00008,False
8,BOOK00009,False
9,BOOK00010,False
10,BOOK00011,False
11,BOOK00012,False
12,BOOK00013,False
13,BOOK00014,False
14,BOOK00015,False
15,BOOK00016,False
16,BOOK00017,False
17,BOOK00018,False
18,BOOK00019,False
19,BOOK00020,False
20,BOOK00021,False
21,BOOK00022,False
22,BOOK00023,False
23,BOOK00024,False
24,BOOK00025,False
25,BOOK00026,False
26,BOOK00027,False
27,BOOK00028,False
28,BOOK00029,False
29,BOOK00030,False
30,BOOK00031,False
31,BOOK00032,False
32,BOOK00033,False
33,BOOK00034,False
34,BOOK00035,False
35,BOOK00036,False
36,BOOK00037,False
37,BOOK00038,False
38,BOOK00039,False
39,BOOK00040,False
40,BOOK00041,False
41,BOOK00042,False
42,BOOK00043,False
43,BOOK00044,False
44,BOOK00045,False
45,BOOK00046,False
46,BOOK00047,False
47,BOOK00048,False
48,BOOK00049,False
49,BOOK00050,False
50,BOOK00051,False
51,BOOK00052,False
52,BOOK00053,False
53,BOOK00054,False
54,BOOK00055,False
55,BOOK00056,False
56,BOOK00057,False
57,BOOK00058,False
58,BOOK00059,False
59,BOOK00060,False
60,BOOK00061,False
61,BOOK00062,False
62,BOOK00063,False
63,BOOK00064,False
64,BOOK00065,False
65,BOOK00066,False
66,BOOK00067,False
67,BOOK00068,False
68,BOOK00069,False
69,BOOK00070,False
70,BOOK00071,False
71,BOOK00072,False
72,BOOK00073,False
73,BOOK00074,False
74,BOOK00075,False
75,BOOK00076,False
76,BOOK00077,False
77,BOOK00078,False
78,BOOK00079,False
79,BOOK00080,False
80,BOOK00081,False
81,BOOK00082,False
82,BOOK00083,False
83,BOOK00084,False
84,BOOK00085,False
85,BOOK00086,False
86,BOOK00087,False
87,BOOK00088,False
88,BOOK00089,False
89,BOOK00090,False
90,BOOK00091,False
91,BOOK00092,False
92,BOOK00093,False
93,BOOK00094,False
94,BOOK00095,False
95,BOOK00096,False
96,BOOK00097,False
97,BOOK00098,False
98,BOOK00099,False
99,BOOK00100,False
100,BOOK00101,False
101,BOOK00102,False
102,BOOK00103,False
103,BOOK00104,False
104,BOOK00105,False
105,BOOK00106,False
106,BOOK00107,False
107,BOOK00108,False
108,BOOK00109,False
109,BOOK00110,False
110,BOOK00111,False
111,BOOK00112,False
112,BOOK00113,False
113,BOOK00114,False
114,BOOK00115,False
115,BOOK00116,False
116,BOOK00117,False
117,BOOK00118,False
118,BOOK00119,False
119,BOOK00120,False
120,BOOK00121,False
121,BOOK00122,False
122,BOOK00123,False
123,BOOK00124,False
124,BOOK00125,False
125,BOOK00126,False
126,BOOK00127,False
127,BOOK00128,False
128,BOOK00129,False
129,BOOK00130,False
130,BOOK00131,False
131,BOOK00132,False
132,BOOK00133,False
133,BOOK00134,False
134,BOOK00135,False
135,BOOK00136,False
136,BOOK00137,False
137,BOOK00138,False
138,BOOK00139,False
139,BOOK00140,False
140,BOOK00141,False
141,BOOK00142,False
142,BOOK00143,False
143,BOOK00144,False
144,BOOK00145,False
145,BOOK00146,False
146,BOOK00147,False
147,BOOK00148,False
148,BOOK00149,False
149,BOOK00150,False
150,BOOK00151,False
151,BOOK00152,False
152,BOOK00153,False
153,BOOK00154,False
154,BOOK00155,False
155,BOOK00156,False
156,BOOK00157,False
157,BOOK00158,False
158,BOOK00159,False
159,BOOK00160,False
160,BOOK00161,False
161,BOOK00162,False
162,BOOK00163,False
163,BOOK00164,False
164,BOOK00165,False
165,BOOK00166,False
166,BOOK00167,False
167,BOOK00168,False
168,BOOK00169,False
169,BOOK00170,False
170,BOOK00171,False
171,BOOK00172,False
172,BOOK00173,False
173,BOOK00174,False
174,BOOK00175,False
175,BOOK00176,False
176,BOOK00177,False
177,BOOK00178,False
178,BOOK00179,False
179,BOOK00180,False
180,BOOK00181,False
181,BOOK00182,False
182,BOOK00183,False
183,BOOK00184,False
184,BOOK00185,False
185,BOOK00186,False
186,BOOK00187,False
187,BOOK00188,False
188,BOOK00189,False
189,BOOK00190,False
190,BOOK00191,False
191,BOOK00192,False
192,BOOK00193,False
193,BOOK00194,False
194,BOOK00195,False
195,BOOK00196,False
196,BOOK00197,False
197,BOOK00198,False
198,BOOK00199,False
199,BOOK00200,False
200,BOOK00201,False
201,BOOK00202,False
202,BOOK00203,False
203,BOOK00204,False
204,BOOK00205,False
205,BOOK00206,False
206,BOOK00207,False
207,BOOK00208,False
208,BOOK00209,False
209,BOOK00210,False
210,BOOK00211,False
211,BOOK00212,False
212,BOOK00213,False
