query_book_id,recommended_book_id,recommendation_rank,similarity_score
BOOK00001,BOOK00333,1,0.22066853331192432
BOOK00001,BOOK01916,2,0.20832417952258186
BOOK00001,BOOK00028,3,0.19838343557132998
BOOK00001,BOOK00905,4,0.17745102451498482
BOOK00001,BOOK01902,5,0.16027897768703342
BOOK00001,BOOK00058,6,0.15916202113366856
BOOK00001,BOOK00208,7,0.15643729795249722
BOOK00001,BOOK01966,8,0.1448201023095162
BOOK00001,BOOK00864,9,0.13919507587163932
BOOK00001,BOOK00809,10,0.13381356264784058
BOOK00002,BOOK00787,1,0.35505673035498914
BOOK00002,BOOK00797,2,0.3418896033333792
BOOK00002,BOOK00774,3,0.2532583827771576
BOOK00002,BOOK00104,4,0.22452858728117545
BOOK00002,BOOK00660,5,0.21854780898316042
BOOK00002,BOOK00779,6,0.20999629533505448
BOOK00002,BOOK00767,7,0.20964945601744372
BOOK00002,BOOK01298,8,0.2031453533420703
BOOK00002,BOOK00061,9,0.19897482012229617
BOOK00002,BOOK00772,10,0.1968179090483125
BOOK00003,BOOK01956,1,1.0
BOOK00003,BOOK01390,2,1.0
BOOK00003,BOOK01784,3,1.0
BOOK00003,BOOK00075,4,0.4239498570895637
BOOK00003,BOOK00187,5,0.42120548248829043
BOOK00003,BOOK00157,6,0.38424430864694736
BOOK00003,BOOK00124,7,0.3815403085860151
BOOK00003,BOOK00272,8,0.3795529820494028
BOOK00003,BOOK00018,9,0.37771267644009815
BOOK00003,BOOK00060,10,0.37612289678023675
BOOK00004,BOOK00084,1,0.34917295364134465
BOOK00004,BOOK00201,2,0.34762401994949094
BOOK00004,BOOK00152,3,0.3035200392860899
BOOK00004,BOOK00064,4,0.2991967543493602
BOOK00004,BOOK01390,5,0.29122127721726965
BOOK00004,BOOK00003,6,0.29122127721726965
BOOK00004,BOOK01956,7,0.29122127721726965
BOOK00004,BOOK01784,8,0.29122127721726965
BOOK00004,BOOK01928,9,0.2799015364166317
BOOK00004,BOOK00229,10,0.2506613358914025
BOOK00005,BOOK00007,1,0.3278705533091899
BOOK00005,BOOK00038,2,0.23724555487022925
BOOK00005,BOOK00327,3,0.2224501574490339
BOOK00005,BOOK01193,4,0.16455496612882256
BOOK00005,BOOK00304,5,0.16072716541690615
BOOK00005,BOOK00431,6,0.1597006347261086
BOOK00005,BOOK00200,7,0.15915023055314453
BOOK00005,BOOK01784,8,0.15560611066189978
BOOK00005,BOOK00003,9,0.15560611066189978
BOOK00005,BOOK01390,10,0.15560611066189978
BOOK00006,BOOK01941,1,0.4965450439191015
BOOK00006,BOOK01566,2,0.3652505565700071
BOOK00006,BOOK01943,3,0.3438161751062294
BOOK00006,BOOK01442,4,0.32361861896858035
BOOK00006,BOOK00011,5,0.29773002993972497
BOOK00006,BOOK01435,6,0.25790445239609616
BOOK00006,BOOK00598,7,0.25305921251889074
BOOK00006,BOOK01432,8,0.2502822299488565
BOOK00006,BOOK00286,9,0.23913703869018585
BOOK00006,BOOK01346,10,0.23533057286332237
BOOK00007,BOOK00050,1,0.34735858199333774
BOOK00007,BOOK00038,2,0.2227159328112698
BOOK00007,BOOK00060,3,0.17192987523414516
BOOK00007,BOOK01390,4,0.14776694682875113
BOOK00007,BOOK01784,5,0.14776694682875113
BOOK00007,BOOK00003,6,0.14776694682875113
BOOK00007,BOOK01956,7,0.14776694682875113
BOOK00007,BOOK00063,8,0.13669705645883648
BOOK00007,BOOK00075,9,0.13253446784447678
BOOK00007,BOOK00089,10,0.13140982617273972
BOOK00008,BOOK00193,1,0.5402037787113876
BOOK00008,BOOK00037,2,0.37518619339706966
BOOK00008,BOOK00026,3,0.32207865373601824
BOOK00008,BOOK00052,4,0.3152640330733597
BOOK00008,BOOK01956,5,0.2848374826670778
BOOK00008,BOOK01784,6,0.2848374826670778
BOOK00008,BOOK00003,7,0.2848374826670778
BOOK00008,BOOK01390,8,0.2848374826670778
BOOK00008,BOOK01814,9,0.26056220348102194
BOOK00008,BOOK00021,10,0.21871672328069358
BOOK00009,BOOK00019,1,0.39858499705065115
BOOK00009,BOOK00150,2,0.3618273350212992
BOOK00009,BOOK00036,3,0.30473334671993035
BOOK00009,BOOK00222,4,0.28500574841194315
BOOK00009,BOOK00131,5,0.2662604484470063
BOOK00009,BOOK00025,6,0.22162050464298746
BOOK00009,BOOK00145,7,0.20379874507834592
BOOK00009,BOOK00180,8,0.20326737085638316
BOOK00009,BOOK00220,9,0.1862464819617974
BOOK00009,BOOK00135,10,0.18610797486929903
BOOK00010,BOOK00729,1,0.1745630106209113
BOOK00010,BOOK00055,2,0.17267436703985334
BOOK00010,BOOK00011,3,0.16862204089052657
BOOK00010,BOOK00743,4,0.15965611176812147
BOOK00010,BOOK01951,5,0.15186305949519702
BOOK00010,BOOK00344,6,0.14536190847407632
BOOK00010,BOOK00942,7,0.1447473187318364
BOOK00010,BOOK00646,8,0.13954698682286706
BOOK00010,BOOK00333,9,0.1381775632759401
BOOK00010,BOOK00213,10,0.13782338457002555
BOOK00011,BOOK00055,1,0.7405475143681041
BOOK00011,BOOK00190,2,0.46639066618811814
BOOK00011,BOOK00444,3,0.45337669395009966
BOOK00011,BOOK00056,4,0.4226774902611057
BOOK00011,BOOK00598,5,0.41943350147426717
BOOK00011,BOOK00664,6,0.41862837893724153
BOOK00011,BOOK00743,7,0.4114202452713425
BOOK00011,BOOK00699,8,0.40068107827093424
BOOK00011,BOOK00020,9,0.39460228172817946
BOOK00011,BOOK00065,10,0.39198960132768074
BOOK00012,BOOK00018,1,0.5695853661009085
BOOK00012,BOOK00442,2,0.30835306252225425
BOOK00012,BOOK00200,3,0.2587082282927837
BOOK00012,BOOK00716,4,0.25069412737098046
BOOK00012,BOOK00100,5,0.24861838629585306
BOOK00012,BOOK01544,6,0.24044115696148546
BOOK00012,BOOK01078,7,0.24044115696148546
BOOK00012,BOOK01037,8,0.24044115696148546
BOOK00012,BOOK00743,9,0.22203870481664448
BOOK00012,BOOK00594,10,0.2214168937597957
BOOK00013,BOOK00150,1,0.31926004146214143
BOOK00013,BOOK00014,2,0.22915438114405384
BOOK00013,BOOK01216,3,0.2132827195937072
BOOK00013,BOOK00019,4,0.17683140484776122
BOOK00013,BOOK00061,5,0.17273703627126502
BOOK00013,BOOK00130,6,0.15492576413125572
BOOK00013,BOOK00003,7,0.14537052192667888
BOOK00013,BOOK01390,8,0.14537052192667888
BOOK00013,BOOK01956,9,0.14537052192667888
BOOK00013,BOOK01784,10,0.14537052192667888
BOOK00014,BOOK00061,1,0.3030889819043993
BOOK00014,BOOK00020,2,0.25469657889178027
BOOK00014,BOOK00024,3,0.253190647568899
BOOK00014,BOOK00013,4,0.22915438114405384
BOOK00014,BOOK01060,5,0.17424216839073792
BOOK00014,BOOK00002,6,0.15117111462724078
BOOK00014,BOOK01956,7,0.13864949991642272
BOOK00014,BOOK01390,8,0.13864949991642272
BOOK00014,BOOK01784,9,0.13864949991642272
BOOK00014,BOOK00003,10,0.13864949991642272
BOOK00015,BOOK00156,1,0.4724558507041445
BOOK00015,BOOK00179,2,0.4647892196463638
BOOK00015,BOOK00192,3,0.4612776167250669
