query_book_id,recommendations_returned,recommendations_with_cluster,unique_topic_clusters,cluster_diversity_ratio
BOOK00001,10,10,7,0.7
BOOK00002,10,10,4,0.4
BOOK00003,10,10,5,0.5
BOOK00004,10,9,3,0.3333333333333333
BOOK00005,10,9,4,0.4444444444444444
BOOK00006,10,10,7,0.7
BOOK00007,10,10,3,0.3
BOOK00008,10,10,4,0.4
BOOK00009,10,10,3,0.3
BOOK00010,10,10,5,0.5
BOOK00011,10,10,3,0.3
BOOK00012,10,7,5,0.7142857142857143
BOOK00013,10,10,5,0.5
BOOK00014,10,10,6,0.6
BOOK00015,10,10,3,0.3
BOOK00016,10,10,6,0.6
BOOK00017,10,10,5,0.5
BOOK00018,10,7,3,0.42857142857142855
BOOK00019,10,10,6,0.6
BOOK00020,10,10,5,0.5
BOOK00021,10,10,2,0.2
BOOK00022,10,9,5,0.5555555555555556
BOOK00023,10,10,4,0.4
BOOK00024,10,10,3,0.3
BOOK00025,10,10,6,0.6
BOOK00026,10,10,4,0.4
BOOK00027,10,10,3,0.3
BOOK00028,10,10,4,0.4
BOOK00029,10,10,7,0.7
BOOK00030,10,10,3,0.3
BOOK00031,10,9,4,0.4444444444444444
BOOK00032,10,10,6,0.6
BOOK00033,10,10,3,0.3
BOOK00034,10,8,2,0.25
BOOK00035,10,10,4,0.4
BOOK00036,10,9,6,0.6666666666666666
BOOK00037,10,10,3,0.3
BOOK00038,10,9,5,0.5555555555555556
BOOK00039,10,9,4,0.4444444444444444
BOOK00040,10,10,7,0.7
BOOK00041,10,10,7,0.7
BOOK00042,10,10,4,0.4
BOOK00043,10,10,5,0.5
BOOK00044,10,10,7,0.7
BOOK00045,10,9,4,0.4444444444444444
BOOK00046,10,10,6,0.6
BOOK00047,10,10,5,0.5
BOOK00048,10,10,6,0.6
BOOK00049,10,10,3,0.3
BOOK00050,10,9,7,0.7777777777777778
BOOK00051,10,10,6,0.6
BOOK00052,10,10,5,0.5
BOOK00053,10,10,3,0.3
BOOK00054,10,10,3,0.3
BOOK00055,10,10,5,0.5
BOOK00056,10,10,3,0.3
BOOK00057,10,10,4,0.4
BOOK00058,10,10,4,0.4
BOOK00059,10,10,5,0.5
BOOK00060,10,10,3,0.3
BOOK00061,10,10,4,0.4
BOOK00062,10,10,6,0.6
BOOK00063,10,10,2,0.2
BOOK00064,10,9,5,0.5555555555555556
BOOK00065,10,10,4,0.4
BOOK00066,10,10,7,0.7
BOOK00067,10,10,5,0.5
BOOK00068,10,10,3,0.3
BOOK00069,10,10,2,0.2
BOOK00070,10,10,1,0.1
BOOK00071,10,10,4,0.4
BOOK00072,10,10,6,0.6
BOOK00073,10,10,5,0.5
BOOK00074,10,10,3,0.3
BOOK00075,10,10,3,0.3
BOOK00076,10,10,3,0.3
BOOK00077,10,10,6,0.6
BOOK00078,10,10,4,0.4
BOOK00079,10,10,4,0.4
BOOK00080,10,10,6,0.6
BOOK00081,10,10,2,0.2
BOOK00082,10,10,2,0.2
BOOK00083,10,10,3,0.3
BOOK00084,10,7,5,0.7142857142857143
BOOK00085,10,10,4,0.4
BOOK00086,10,10,5,0.5
BOOK00087,10,10,2,0.2
BOOK00088,10,10,2,0.2
BOOK00089,10,9,5,0.5555555555555556
BOOK00090,10,10,4,0.4
BOOK00091,10,10,6,0.6
BOOK00092,10,10,6,0.6
BOOK00093,10,10,3,0.3
BOOK00094,10,9,3,0.3333333333333333
BOOK00095,10,10,3,0.3
BOOK00096,10,10,3,0.3
BOOK00097,10,10,5,0.5
BOOK00098,10,10,3,0.3
BOOK00099,10,10,2,0.2
BOOK00100,10,10,5,0.5
BOOK00101,10,10,3,0.3
BOOK00102,10,10,3,0.3
BOOK00103,10,10,1,0.1
BOOK00104,10,10,4,0.4
BOOK00105,10,10,2,0.2
BOOK00106,10,10,2,0.2
BOOK00107,10,10,2,0.2
BOOK00108,10,10,1,0.1
BOOK00109,10,10,1,0.1
BOOK00110,10,10,3,0.3
BOOK00111,10,10,1,0.1
BOOK00112,10,10,1,0.1
BOOK00113,10,10,2,0.2
BOOK00114,10,10,2,0.2
BOOK00115,10,10,2,0.2
BOOK00116,10,9,4,0.4444444444444444
BOOK00117,8,8,6,0.75
BOOK00118,10,10,2,0.2
BOOK00119,10,9,5,0.5555555555555556
BOOK00120,10,10,4,0.4
BOOK00121,10,10,1,0.1
BOOK00122,10,9,4,0.4444444444444444
BOOK00123,10,10,6,0.6
BOOK00124,10,10,1,0.1
BOOK00125,10,10,2,0.2
BOOK00126,10,10,2,0.2
BOOK00127,10,10,3,0.3
BOOK00128,10,9,2,0.2222222222222222
BOOK00129,10,9,1,0.1111111111111111
BOOK00130,10,10,6,0.6
BOOK00131,10,10,7,0.7
BOOK00132,10,10,1,0.1
BOOK00133,10,10,2,0.2
BOOK00134,10,10,2,0.2
BOOK00135,10,10,3,0.3
BOOK00136,10,10,2,0.2
BOOK00137,10,10,3,0.3
BOOK00138,10,10,2,0.2
BOOK00139,10,10,2,0.2
BOOK00140,10,10,4,0.4
BOOK00141,10,8,4,0.5
BOOK00142,10,10,1,0.1
BOOK00143,10,10,1,0.1
BOOK00144,10,10,1,0.1
BOOK00145,10,10,4,0.4
BOOK00146,10,9,2,0.2222222222222222
BOOK00147,10,10,3,0.3
BOOK00148,10,10,3,0.3
BOOK00149,10,10,5,0.5
BOOK00150,10,10,4,0.4
BOOK00151,10,9,9,1.0
BOOK00152,10,9,5,0.5555555555555556
BOOK00153,10,10,3,0.3
BOOK00154,10,9,4,0.4444444444444444
BOOK00155,10,10,3,0.3
BOOK00156,10,10,2,0.2
BOOK00157,10,10,2,0.2
BOOK00158,10,10,5,0.5
BOOK00159,10,10,4,0.4
BOOK00160,10,9,6,0.6666666666666666
BOOK00161,10,10,4,0.4
BOOK00162,10,10,3,0.3
BOOK00163,10,10,4,0.4
BOOK00164,10,10,2,0.2
BOOK00165,10,10,1,0.1
BOOK00166,10,10,2,0.2
BOOK00167,10,10,7,0.7
BOOK00168,10,10,4,0.4
BOOK00169,10,10,2,0.2
BOOK00170,10,9,2,0.2222222222222222
BOOK00171,10,10,3,0.3
BOOK00172,10,10,3,0.3
BOOK00173,10,9,2,0.2222222222222222
BOOK00174,10,10,4,0.4
BOOK00175,10,10,1,0.1
BOOK00176,10,10,3,0.3
BOOK00177,10,10,3,0.3
BOOK00178,10,8,6,0.75
BOOK00179,10,10,2,0.2
BOOK00180,10,10,4,0.4
BOOK00181,10,10,2,0.2
BOOK00182,10,9,6,0.6666666666666666
BOOK00183,10,10,6,0.6
BOOK00184,10,10,3,0.3
BOOK00185,10,9,4,0.4444444444444444
BOOK00186,10,9,2,0.2222222222222222
BOOK00187,10,10,2,0.2
BOOK00188,10,10,3,0.3
BOOK00189,10,9,6,0.6666666666666666
BOOK00190,10,10,2,0.2
BOOK00191,10,10,2,0.2
BOOK00192,10,10,2,0.2
BOOK00193,10,10,3,0.3
BOOK00194,10,9,3,0.3333333333333333
BOOK00195,10,10,3,0.3
BOOK00196,10,10,3,0.3
BOOK00197,10,9,1,0.1111111111111111
BOOK00198,10,10,3,0.3
BOOK00199,10,10,1,0.1
BOOK00200,10,10,2,0.2
BOOK00201,10,8,3,0.375
BOOK00202,10,10,2,0.2
BOOK00203,10,9,3,0.3333333333333333
BOOK00204,10,9,1,0.1111111111111111
BOOK00205,10,10,1,0.1
BOOK00206,10,10,4,0.4
BOOK00207,10,10,2,0.2
BOOK00208,10,10,4,0.4
BOOK00209,10,10,6,0.6
BOOK00210,10,10,4,0.4
BOOK00211,10,10,7,0.7
BOOK00212,10,9,2,0.2222222222222222
BOOK00213,10,10,4,0.4
BOOK00214,10,8,4,0.5
BOOK00215,10,10,5,0.5
BOOK00216,10,10,1,0.1
BOOK00217,10,10,1,0.1
BOOK00218,10,10,3,0.3
BOOK00219,10,7,2,0.2857142857142857
BOOK00220,10,10,3,0.3
BOOK00221,10,10,1,0.1
BOOK00222,10,10,3,0.3
BOOK00223,10,10,1,0.1
BOOK00224,10,9,9,1.0
BOOK00225,10,10,5,0.5
BOOK00226,10,10,2,0.2
BOOK00227,10,10,3,0.3
BOOK00228,10,10,4,0.4
BOOK00229,10,9,3,0.3333333333333333
BOOK00230,10,10,7,0.7
BOOK00231,10,9,2,0.2222222222222222
BOOK00232,10,10,6,0.6
BOOK00233,10,10,2,0.2
BOOK00234,10,10,1,0.1
BOOK00235,10,10,2,0.2
BOOK00236,10,10,2,0.2
BOOK00237,10,10,2,0.2
BOOK00238,10,10,2,0.2
BOOK00239,10,6,5,0.8333333333333334
BOOK00240,10,10,5,0.5
BOOK00241,10,10,1,0.1
BOOK00242,10,10,2,0.2
BOOK00243,10,10,6,0.6
BOOK00244,10,10,1,0.1
BOOK00245,10,10,2,0.2
BOOK00246,10,10,1,0.1
BOOK00247,10,10,3,0.3
BOOK00248,10,7,6,0.8571428571428571
BOOK00249,10,10,2,0.2
BOOK00250,10,8,1,0.125
BOOK00251,10,9,2,0.2222222222222222
BOOK00252,10,10,6,0.6
BOOK00253,10,10,4,0.4
BOOK00254,10,10,2,0.2
