openlibrary_author_key,author_name,candidate_rank,wikidata_id,wikidata_label,wikidata_description,wikidata_url,instance_of_qids,citizenship_qids,birthplace_qids,birth_dates,occupation_qids,wikidata_openlibrary_ids,source_ol_author_id,wikidata_ol_author_ids_normalized,exact_openlibrary_id_match,matched_author_identifier
OL383159A,Stephen R. Covey,1,Q313482,Stephen Covey,"American educator, author, businessman and motivational speaker (1932-2012)",http://www.wikidata.org/entity/Q313482,['Q5'],['Q30'],['Q23337'],['+1932-10-24T00:00:00Z'],"['Q121594', 'Q43845', 'Q36180', 'Q1622272']",['OL383159A'],OL383159A,['OL383159A'],True,True
OL26423A,John C. Maxwell,1,Q3304739,John C. Maxwell,"American author, speaker and neopentecostal pastor",http://www.wikidata.org/entity/Q3304739,['Q5'],['Q30'],['Q1013879'],['+1947-02-20T00:00:00Z'],"['Q36180', 'Q15982858', 'Q152002', 'Q6051619', 'Q12859263', 'Q15978655', 'Q955464']",['OL26423A'],OL26423A,['OL26423A'],True,True
OL236243A,Henry Kissinger,1,Q66107,Henry Kissinger,"American diplomat and geopolitical advisor, served as U.S. Secretary of State from 1973 to 1977 (1923–2023)",http://www.wikidata.org/entity/Q66107,['Q5'],"['Q1206012', 'Q30']",['Q3075'],['+1923-05-27T00:00:00Z'],"['Q82955', 'Q1238570', 'Q193391', 'Q36180', 'Q131524', 'Q1231865', 'Q18814623', 'Q7330070', 'Q11075015', 'Q1622272']",['OL236243A'],OL236243A,['OL236243A'],True,True
OL2804440A,Jason Fried,1,Q23795888,Jason Fried,software entrepreneur,http://www.wikidata.org/entity/Q23795888,['Q5'],[],[],['+1974-00-00T00:00:00Z'],"['Q36180', 'Q131524']",['OL2804440A'],OL2804440A,['OL2804440A'],True,True
OL39038A,Deepak Chopra,1,Q318506,Deepak Chopra,"Indian-born American author and alternative-medicine advocate, physician and public speaker",http://www.wikidata.org/entity/Q318506,['Q5'],"['Q129286', 'Q1775277', 'Q668']",['Q987'],['+1946-10-22T00:00:00Z'],"['Q15982858', 'Q36180', 'Q39631', 'Q15924224', 'Q110898124', 'Q106638245', 'Q134826510', 'Q15980158', 'Q4531850']",['OL39038A'],OL39038A,['OL39038A'],True,True
OL957796A,Richard Hughes,1,Q302433,Richard Hughes,British writer (1900–1976),http://www.wikidata.org/entity/Q302433,['Q5'],['Q145'],['Q1754096'],['+1900-04-19T00:00:00Z'],"['Q1930187', 'Q49757', 'Q6625963', 'Q36180', 'Q214917', 'Q28389']",['OL957796A'],OL957796A,['OL957796A'],True,True
OL27560A,James MacGregor Burns,1,Q1529607,James MacGregor Burns,American historian and political scientist (1918–2014),http://www.wikidata.org/entity/Q1529607,['Q5'],['Q30'],['Q54143'],['+1918-08-03T00:00:00Z'],"['Q201788', 'Q15980158', 'Q1622272', 'Q1238570']",['OL27560A'],OL27560A,['OL27560A'],True,True
OL237290A,James M. Kouzes,1,Q55865983,James M. Kouzes,1945-,http://www.wikidata.org/entity/Q55865983,['Q5'],[],[],['+1945-01-01T00:00:00Z'],"['Q1622272', 'Q832136']",['OL237290A'],OL237290A,['OL237290A'],True,True
OL222155A,Doris Kearns Goodwin,1,Q442008,Doris Kearns Goodwin,American biographer and historian (born 1943),http://www.wikidata.org/entity/Q442008,['Q5'],['Q30'],['Q18419'],['+1943-01-04T00:00:00Z'],"['Q1930187', 'Q201788', 'Q1238570', 'Q36180', 'Q1622272', 'Q864380']",['OL222155A'],OL222155A,['OL222155A'],True,True
OL2632098A,John King,1,Q671520,John King,English writer (born 1960),http://www.wikidata.org/entity/Q671520,['Q5'],['Q145'],['Q211907'],['+1960-01-01T00:00:00Z'],"['Q36180', 'Q28389']",['OL2632098A'],OL2632098A,['OL2632098A'],True,True
