openlibrary_author_key,author_name,candidate_rank,wikidata_id,wikidata_label,wikidata_description,wikidata_url,instance_of_qids,citizenship_qids,birthplace_qids,birth_dates,occupation_qids,wikidata_openlibrary_ids,source_ol_author_id,wikidata_ol_author_ids_normalized,exact_openlibrary_id_match,matched_author_identifier,instance_of_parsed,is_human,source_name_normalized,candidate_name_normalized,name_similarity,exact_normalized_name,occupation_qids_parsed,occupation_labels,leadwise_titles,leadwise_book_count,occupation_screen,identity_evidence_tier
OL400156A,Gary A. Yukl,1,Q130733922,Gary A. Yukl,"psychologist, business manager, university teacher (1940-)",http://www.wikidata.org/entity/Q130733922,['Q5'],[],[],['+1940-01-01T00:00:00Z'],"['Q212980', 'Q832136', 'Q1622272']",[],OL400156A,[],False,False,['Q5'],True,gary a yukl,gary a yukl,1.0,True,"['Q212980', 'Q832136', 'Q1622272']","['psychologist', 'business manager', 'university teacher']","['Leadership in Organizations', 'Charismatic and transformational leadership']",2,potentially_compatible,strong_secondary
OL333669A,Bernard M. Bass,1,Q52162437,Bernard M. Bass,American psychologist and leadership pioneer,http://www.wikidata.org/entity/Q52162437,['Q5'],['Q30'],['Q18426'],['+1925-06-11T00:00:00Z'],"['Q212980', 'Q1622272']",[],OL333669A,[],False,False,['Q5'],True,bernard m bass,bernard m bass,1.0,True,"['Q212980', 'Q1622272']","['psychologist', 'university teacher']","['Leadership and performance beyond expectations', 'Transformational Leadership', 'Transformation leadership', 'Improving organizational effectiveness through transformational leadership', 'Transformational leadership development']",6,potentially_compatible,strong_secondary
OL7442788A,James Comey,1,Q167607,James Comey,American lawyer and 7th director of the Federal Bureau of Investigation (born 1960),http://www.wikidata.org/entity/Q167607,['Q5'],['Q30'],['Q128114'],['+1960-12-14T00:00:00Z'],"['Q40348', 'Q1622272', 'Q82955', 'Q185351']",[],OL7442788A,[],False,False,['Q5'],True,james comey,james comey,1.0,True,"['Q40348', 'Q1622272', 'Q82955', 'Q185351']","['lawyer', 'university teacher', 'politician', 'jurist']",['A Higher Loyalty'],1,potentially_compatible,strong_secondary
OL8118723A,James B. Comey,1,Q167607,James Comey,American lawyer and 7th director of the Federal Bureau of Investigation (born 1960),http://www.wikidata.org/entity/Q167607,['Q5'],['Q30'],['Q128114'],['+1960-12-14T00:00:00Z'],"['Q40348', 'Q1622272', 'Q82955', 'Q185351']",[],OL8118723A,[],False,False,['Q5'],True,james b comey,james comey,0.9166666666666666,False,"['Q40348', 'Q1622272', 'Q82955', 'Q185351']","['lawyer', 'university teacher', 'politician', 'jurist']",['A Higher Loyalty'],1,potentially_compatible,probable_secondary
OL2762041A,Erich Joachimsthaler,1,Q5388045,Erich Joachimsthaler,American businessman,http://www.wikidata.org/entity/Q5388045,['Q5'],['Q30'],[],['+1956-12-28T00:00:00Z'],"['Q188094', 'Q16849727']",[],OL2762041A,[],False,False,['Q5'],True,erich joachimsthaler,erich joachimsthaler,1.0,True,"['Q188094', 'Q16849727']","['economist', 'business consultant']",['Brand leadership'],1,potentially_compatible,strong_secondary
OL772556A,Stephen P. Gordon,1,Q114569791,Stephen P. Gordon,American academic in educational leadership,http://www.wikidata.org/entity/Q114569791,['Q5'],[],[],['+1948-09-10T00:00:00Z'],"['Q1622272', 'Q3400985', 'Q1650915']",[],OL772556A,[],False,False,['Q5'],True,stephen p gordon,stephen p gordon,1.0,True,"['Q1622272', 'Q3400985', 'Q1650915']","['university teacher', 'academic', 'researcher']",['SuperVision and Instructional Leadership'],1,potentially_compatible,strong_secondary
OL2672226A,Jovita M. Ross-Gordon,1,Q112517260,Jovita M. Ross-Gordon,academic in adult education,http://www.wikidata.org/entity/Q112517260,['Q5'],[],[],['+1952-00-00T00:00:00Z'],"['Q1622272', 'Q3400985', 'Q1231865']",[],OL2672226A,[],False,False,['Q5'],True,jovita m ross gordon,jovita m ross gordon,1.0,True,"['Q1622272', 'Q3400985', 'Q1231865']","['university teacher', 'academic', 'pedagogue']",['SuperVision and Instructional Leadership'],1,potentially_compatible,strong_secondary
OL3714825A,Simon Western,1,Q120188564,Simon Western,British academic,http://www.wikidata.org/entity/Q120188564,['Q5'],[],[],[],['Q3400985'],[],OL3714825A,[],False,False,['Q5'],True,simon western,simon western,1.0,True,['Q3400985'],['academic'],['Leadership'],1,potentially_compatible,strong_secondary
OL7524018A,Jocko Willink,1,Q22935809,Jocko Willink,American author,http://www.wikidata.org/entity/Q22935809,['Q5'],['Q30'],['Q18389'],['+1971-09-08T00:00:00Z'],"['Q15077007', 'Q11124885', 'Q36180', 'Q11545923', 'Q2994387', 'Q482980']",[],OL7524018A,[],False,False,['Q5'],True,jocko willink,jocko willink,1.0,True,"['Q15077007', 'Q11124885', 'Q36180', 'Q11545923', 'Q2994387', 'Q482980']","['podcaster', 'martial artist', 'writer', 'military commander', 'adviser', 'author']",['Leadership Strategy and Tactics'],1,potentially_compatible,strong_secondary
OL241136A,Bruce J. Avolio,1,Q52152510,Bruce Avolio,American leadership studies scholar,http://www.wikidata.org/entity/Q52152510,['Q5'],[],[],['+1953-06-17T00:00:00Z'],['Q15980158'],[],OL241136A,[],False,False,['Q5'],True,bruce j avolio,bruce avolio,0.9230769230769232,False,['Q15980158'],['non-fiction writer'],"['Improving organizational effectiveness through transformational leadership', 'Full range leadership development', 'Leadership Development in Balance', 'Full leadership development']",5,potentially_compatible,probable_secondary
OL770456A,Ann Lieberman,1,Q112520504,Ann Lieberman,,http://www.wikidata.org/entity/Q112520504,['Q5'],[],[],['+1931-00-00T00:00:00Z'],"['Q1231865', 'Q1622272']",[],OL770456A,[],False,False,['Q5'],True,ann lieberman,ann lieberman,1.0,True,"['Q1231865', 'Q1622272']","['pedagogue', 'university teacher']",['Teacher leadership'],1,potentially_compatible,strong_secondary
OL1862946A,Lynne Miller,1,Q112542883,Lynne Miller,,http://www.wikidata.org/entity/Q112542883,['Q5'],[],[],['+1945-00-00T00:00:00Z'],['Q1622272'],[],OL1862946A,[],False,False,['Q5'],True,lynne miller,lynne miller,1.0,True,['Q1622272'],['university teacher'],['Teacher leadership'],1,potentially_compatible,strong_secondary
OL3411846A,Karen Sobel Lojeski,1,Q112554706,Karen Sobel Lojeski,,http://www.wikidata.org/entity/Q112554706,['Q5'],[],[],['+1960-00-00T00:00:00Z'],"['Q1572123', 'Q2462658', 'Q1622272', 'Q81096']",[],OL3411846A,[],False,False,['Q5'],True,karen sobel lojeski,karen sobel lojeski,1.0,True,"['Q1572123', 'Q2462658', 'Q1622272', 'Q81096']","['systems engineer', 'manager', 'university teacher', 'engineer']",['Uniting the Virtual Workforce'],1,potentially_compatible,strong_secondary
OL3237212A,Miltiadis D. Lytras,1,Q112443481,Miltiadis D. Lytras,,http://www.wikidata.org/entity/Q112443481,['Q5'],[],[],['+1973-00-00T00:00:00Z'],['Q121594'],[],OL3237212A,[],False,False,['Q5'],True,miltiadis d lytras,miltiadis d lytras,1.0,True,['Q121594'],['professor'],"['Transformative Leadership and Sustainable Innovation in Education', 'Innovation Management for a Resilient Digital Economy']",2,potentially_compatible,strong_secondary
OL1478161A,Terry Anderson,1,Q7704060,Terry Anderson,English association footballer (1944-1980),http://www.wikidata.org/entity/Q7704060,['Q5'],['Q145'],['Q646225'],['+1944-03-11T00:00:00Z'],['Q937857'],[],OL1478161A,[],False,False,['Q5'],True,terry anderson,terry anderson,1.0,True,['Q937857'],['association football player'],['Transforming Leadership'],1,potentially_incompatible,conflicting
OL390077A,Harold Kerzner,1,Q16262001,Harold Kerzner,"American engineer, management consultant",http://www.wikidata.org/entity/Q16262001,['Q5'],['Q30'],[],['+1940-01-01T00:00:00Z'],"['Q81096', 'Q1622272', 'Q832136']",[],OL390077A,[],False,False,['Q5'],True,harold kerzner,harold kerzner,1.0,True,"['Q81096', 'Q1622272', 'Q832136']","['engineer', 'university teacher', 'business manager']","['Project management', 'Project management metrics, KPIs, and dashboards']",3,potentially_compatible,strong_secondary
OL442735A,Mary Kay Ash,1,Q610716,Mary Kay Ash,entrepreneure (1918–2001),http://www.wikidata.org/entity/Q610716,['Q5'],['Q30'],['Q36379'],['+1918-05-12T00:00:00Z'],"['Q43845', 'Q131524']",[],OL442735A,[],False,False,['Q5'],True,mary kay ash,mary kay ash,1.0,True,"['Q43845', 'Q131524']","['businessperson', 'entrepreneur']",['Mary Kay on people management'],1,potentially_compatible,strong_secondary
OL2021138A,Anna Sutton,1,Q118108991,Anna Sutton,occupational psychologist in New Zealand,http://www.wikidata.org/entity/Q118108991,['Q5'],[],[],[],"['Q212980', 'Q108330379']",[],OL2021138A,[],False,False,['Q5'],True,anna sutton,anna sutton,1.0,True,"['Q212980', 'Q108330379']","['psychologist', 'business psychologist']","['People, Management and Organizations']",1,potentially_compatible,strong_secondary
OL786466A,Mick Marchington,1,Q112429200,Mick Marchington,,http://www.wikidata.org/entity/Q112429200,['Q5'],[],[],['+1949-00-00T00:00:00Z'],['Q121594'],[],OL786466A,[],False,False,['Q5'],True,mick marchington,mick marchington,1.0,True,['Q121594'],['professor'],['Human resource management at work'],1,potentially_compatible,strong_secondary
OL535417A,Donald C. Mosley,1,Q124635735,Donald C. Mosley,,http://www.wikidata.org/entity/Q124635735,['Q5'],[],[],['+1932-01-01T00:00:00Z'],['Q1622272'],[],OL535417A,[],False,False,['Q5'],True,donald c mosley,donald c mosley,1.0,True,['Q1622272'],['university teacher'],['Supervisory management'],1,potentially_compatible,strong_secondary
OL770018A,Leon C. Megginson,1,Q93253605,Leon C. Megginson,American business academic,http://www.wikidata.org/entity/Q93253605,['Q5'],[],[],['+1921-00-00T00:00:00Z'],['Q1622272'],[],OL770018A,[],False,False,['Q5'],True,leon c megginson,leon c megginson,1.0,True,['Q1622272'],['university teacher'],['Supervisory management'],1,potentially_compatible,strong_secondary
OL2847832A,John Purcell,1,Q1274635,John Purcell,American jazz saxophonist,http://www.wikidata.org/entity/Q1274635,['Q5'],['Q30'],['Q60'],['+1952-05-08T00:00:00Z'],"['Q15981151', 'Q12800682', 'Q639669']",[],OL2847832A,[],False,False,['Q5'],True,john purcell,john purcell,1.0,True,"['Q15981151', 'Q12800682', 'Q639669']","['jazz musician', 'saxophonist', 'musician']",['People Management and Performance'],2,ambiguous,ambiguous
OL953741A,Everett E. Adam,1,Q112392394,Everett E. Adam,,http://www.wikidata.org/entity/Q112392394,['Q5'],[],[],['+1941-00-00T00:00:00Z'],['Q188094'],[],OL953741A,[],False,False,['Q5'],True,everett e adam,everett e adam,1.0,True,['Q188094'],['economist'],['Production and operations management'],1,potentially_compatible,strong_secondary
OL397998A,Richard B. Chase,1,Q16902252,Richard B. Chase,American academic,http://www.wikidata.org/entity/Q16902252,['Q5'],[],[],['+1939-01-01T00:00:00Z'],['Q832136'],[],OL397998A,[],False,False,['Q5'],True,richard b chase,richard b chase,1.0,True,['Q832136'],['business manager'],"['Production and operations management', 'Fundamentals of operations management', 'Operations management for competitive advantage']",3,potentially_compatible,strong_secondary
OL589008A,Joseph G. Monks,1,Q123224797,Joseph G. Monks,American industrial engineer,http://www.wikidata.org/entity/Q123224797,['Q5'],['Q30'],[],[],"['Q2267418', 'Q1622272']",[],OL589008A,[],False,False,['Q5'],True,joseph g monks,joseph g monks,1.0,True,"['Q2267418', 'Q1622272']","['industrial engineer', 'university teacher']","['Operations management', ""Schaum's outline of theory and problems of operations management""]",2,potentially_compatible,strong_secondary
OL3278571A,Gregory Frazier,1,Q11924708,Gregory Frazier,,http://www.wikidata.org/entity/Q11924708,['Q5'],[],[],['+1947-00-00T00:00:00Z'],['Q188094'],[],OL3278571A,[],False,False,['Q5'],True,gregory frazier,gregory frazier,1.0,True,['Q188094'],['economist'],['Operations Management'],1,potentially_compatible,strong_secondary
