wikidata_geo_qid,wikidata_geo_label,wikidata_geo_description
Q1013879,Garden City,"city in Wayne County, Michigan, United States"
Q1027,Mauritius,island sovereign state off of East Africa in the Indian Ocean
Q1058775,Flushing,"neighborhood in Queens, New York City, United States"
Q1065503,Watertown,"city in and county seat of Codington County, South Dakota, United States"
Q107126,Arlington County,"county in Virginia, United States; part of Washington metropolitan area"
Q1085,Prague,capital city of the Czech Republic
Q1087121,Orange,"township in Essex County, New Jersey, United States"
Q1186937,Hazleton,"city in Luzerne County, Pennsylvania, United States"
Q12029472,Klucké Chvalovice,village in Kutná Hora District of Central Bohemian region
Q1206012,German Reich,"official name for the German nation state from 1871 to 1945, and name of Germany until 1949"
Q124184,Mayfair,"area of central London, England"
Q12439,Detroit,"city in and county seat of Wayne County, and largest city in State of Michigan, United States"
Q128114,Yonkers,"city in Westchester County, New York, United States"
Q129286,British Raj,British colonial rule on the Indian subcontinent (1858–1947)
Q1297,Chicago,"city and county seat of Cook County, and largest city in State of Illinois, United States of America"
Q133123,Patras,city in Greece
Q1342,Pittsburgh,"city and county seat in Allegheny County, Pennsylvania, United States"
Q138391,Paterson,"city in and the county seat of Passaic County, New Jersey, United States"
Q1408,New Jersey,state of the United States of America
Q142,France,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)"
Q145,United Kingdom,island country in north-west Europe
Q1456,South Carolina,state of the United States of America
Q146705,Sidcup,"suburban district of south-east London, England, primarily in the London Borough of Bexley"
Q1479,Bordeaux,"city and commune in Gironde, New Aquitaine, France"
Q15180,Soviet Union,former country in Eurasia (1922–1991)
Q16,Canada,country in North America
Q1612,Arkansas,state of the United States of America
Q16552,San Diego,"seat of San Diego County, California, United States; second-largest city in California"
Q172,Toronto,"capital and largest city of the province of Ontario, Canada"
Q1726,Munich,"capital and most populous city of Bavaria, Germany"
Q1741,Vienna,capital of and state in Austria
Q1748,Copenhagen,capital and largest city of Denmark
Q1754096,Weybridge,"town in the Elmbridge district of Surrey, England"
Q1761,Dublin,capital and largest city of Ireland
Q1775277,Dominion of India,period of Indian history between 1947 and 1950
Q1781,Budapest,capital and largest city of Hungary
Q182805,Lübbecke,"town in the Minden-Lübbecke district, in North Rhine-Westphalia, Germany"
Q182852,Kunming,"capital of Yunnan province, China"
Q183,Germany,country in Central Europe
Q18389,New England,region of the northeasternmost United States
Q1840466,Zeeland,"city in Michigan, United States"
Q18419,Brooklyn,"borough of New York City, New York, United States"
Q18426,The Bronx,"borough of New York City, New York, United States"
Q184983,Zeiskam,municipality of Germany
Q1903180,Carroll,"city in Carroll County, Iowa, United States"
Q193250,Bulawayo,city in Zimbabwe
Q203349,Poole,"town, seaport and civil parish in Bournemouth, Christchurch and Poole, Dorset, England"
Q211907,Slough,"town in Berkshire, England, UK"
Q213,Czech Republic,country in Central Europe
Q2141,Halifax,"municipality in the province of Nova Scotia, Canada"
Q2168889,Valley Station,"human settlement in Louisville, Kentucky, United States of America"
Q2229506,Tiruchengode,"Village in Namakkal District, Tamil Nadu, India"
Q2233616,Manning,"city in Carroll County, Iowa, United States"
Q2326975,Port Hawkesbury,"town in Inverness County, Nova Scotia, Canada"
Q23337,Salt Lake City,capital city of the U.S. state of Utah and seat of Salt Lake County
Q239870,Columbus,"consolidated city-county in Muscogee County, Georgia, United States"
Q249906,Águeda,municipality in Portugal
Q25395,Newark,"city in Essex County, and largest city in New Jersey, United States"
Q2655674,Kiryat Chaim,quarter in the city of Haifa
Q27,Ireland,country in Northwestern Europe
Q279890,Germantown,"neighborhood in Philadelphia, Pennsylvania, United States"
Q28,Hungary,country in Central Europe
Q28260,Lincoln,capital city of the U.S. state of Nebraska and seat of Lancaster County
