occupation_qid,occupation_label,occupation_description
Q100983844,garden writer,writers about gardening
Q101444631,English teacher,person who teaches the English language and English literature
Q1028181,painter,artist who practices painting
Q10297252,crime fiction writer,writer writing fiction about crime
Q10349745,racing automobile driver,occupation driving an automobile in competition
Q10355417,advertising person,person concerned with the creation of advertisments
Q104828277,biology teacher,teacher of biology at any level
Q10497074,military flight engineer,military aircraft crew member
Q1051798,statutory auditor,profession
Q1056391,head teacher,most senior teacher at a school
Q10660901,general economics,examines correlations in the production and distribution of goods and factors of production
Q106638245,documentary participant,person who participates in a documentary
Q106645013,organizational theorist,occupation
Q10669499,naval officer,commissioned officer serving in a navy
Q10672931,social psychologist,profession
Q10732476,art collector,person who collects art
Q107636313,master printmaker,Fine arts profession
Q10798782,television actor,actor who performs on television
Q10800557,film actor,actor who appears in films
Q108114975,naval aviator,military aircraft pilot in the navy of some country
Q108116351,movement therapist,"Dance/movement therapists focus on helping their clients improve self-esteem and body image, develop communication skills, as well as create new options for coping with problems."
Q108330379,business psychologist,person who practices business psychology
Q10833314,tennis player,sportsperson who plays tennis
Q1086863,columnist,"someone who writes for publication in a series, creating an article that usually offers commentary and opinions"
Q10871364,baseball player,person who plays games of baseball
Q1104185,coaching,"form of development in which an experienced person, called a coach, supports a learner or client in achieving a specific personal or professional goal by providing training and guidance"
Q11063,astronomer,scientist who studies celestial bodies
Q11075015,war criminal,somebody who committed acts that constitute a serious violation of the laws of war
Q110898124,Ayurveda practitioner,practitioner of Ayurveda
Q11124885,martial artist,person who practises a martial art
Q1113899,clinical psychologist,profession
Q111398859,association football executive,occupation concerned with the business side of association football
Q111724657,accounting academic,academic profession studying accounting
Q11293375,proprietor,"one who owns something, such as enterprise"
Q11338576,boxer,sportsperson taking part in boxing competitions
Q11481802,dub actor,actor or actress specialized in voice dubbing
Q11486702,architectural historian,person who is engaged in history of architecture
Q11496048,war photographer,photographer documenting a war
Q11499147,political activist,activist wanting political change
Q11513337,athletics competitor,"sportsperson that competes in athletics (track and field, running, walking)"
Q11545923,military commander,person commanding a military force
Q11569986,printmaker,person who makes prints from plates or blocks
Q11626095,public administration scholar,
Q11631,astronaut,"person who commands, pilots, or serves as a crew member of a spacecraft"
Q116695160,video game actor,actor who appears in video games
Q11762416,speech and language therapist,profession; person practicing speech-language pathology
Q11774202,essayist,person who writes essays
Q11774891,ice hockey player,sportsperson taking part in ice hockey competitions
Q11900058,explorer,person who by means of travel searches out new information
Q1208175,camera operator,professional operator of a film or video camera; filmmaker who moves the camera according to the instructions of the cameraman or director
Q12119633,immunologist,scientist or clinician who specialise in the field of immunology
Q12144794,prose writer,person who writes in prose
Q121594,professor,academic position at universities and other education and research institutions
Q121998,ambassador,highest diplomatic rank
Q1225716,ornithologist,scientist who studies birds
Q122759479,organizational psychologist,profession
Q12299841,cricketer,individual who takes part in cricket matches
Q12314916,human resource manager,occupation
Q1231865,pedagogue,person working in the academic field of pedagogy
Q1234713,theologian,scholar of theology
Q12356615,traveler,person who travels or makes voyages
Q12360214,bass guitarist,person who plays the bass guitar
Q1238570,political scientist,expert in or student of political science
Q125045641,lacrosse official,individual charged with administering the rules in a lacrosse match
Q1251687,head of mission,head of a diplomatic or consular mission
Q1265807,information scientist,profession
Q12765408,epidemiologist,researcher on how diseases are spread
Q12800682,saxophonist,musician who plays the saxophone
Q12803959,runner,sportsperson who runs
Q128124,audio engineer,"engineer who operates recording, mixing, sound reproduction equipment"
Q1281618,sculptor,artist specializing in sculpture
Q12840545,handball player,sportsperson who plays one of the different types of handball
Q12859263,orator,public speaker; for conference speaker use Q100742049
Q130857,disc jockey,person who plays recorded music for an audience
Q13141064,badminton player,sportsperson specialized in badminton
Q131512,farmer,"person engaged in agriculture, raising living organisms for food or raw materials"
Q131524,entrepreneur,person who owns and operates a business
Q132050,governor,high ranked governing official in a state
Q13218361,polo player,sportsperson that plays polo
Q13219637,cellist,musician who plays the cello
Q13235160,manufacturer,individual or organization that creates goods
Q1326886,electrical engineer,professional practicioner of electrical engineering
Q1327627,electrotechnician,profession
Q13342461,dog breeder,occupation
Q13365770,copper engraver,"artisan or artist who uses the technique of engraving images or text into a copper plate, which is then used to produce prints"
Q13381863,fencer,sportsperson taking part in fencing competitions
Q13382355,archer,sportsperson taking part in archery competitions
Q13382608,cross-country skier,sportsperson taking part in cross-country skiing competitions
Q13383011,bobsledder,sportsperson practising bobsleighing
Q13405496,Diploma of Business Administration,degree in German-speaking countries equivalent to an MBA
Q13414980,Australian rules football player,sportsperson taking part in Australian-rules football competitions
Q13418253,philologist,person who studies language history
Q134826510,wellness guru,occupation
Q13582652,civil engineer,"engineer specialising in design, construction and maintenance of the built environment"
Q136659238,organisational sociologist,type of sociologist
Q1397808,resistance fighter,fighter of a resistance movement
Q1402561,military leader,someone who leads the army and the troops in a war or battle
Q14089670,rugby union player,sportsperson who plays rugby union
Q1413170,bookbinder,person who physically creates and repairs books by attaching pages to a spine
Q1415090,film score composer,musical profession
Q1416611,postmaster,head of a post office
Q1423891,Christian minister,function of service in Christianity
Q14284,solicitor,type of legal practitioner
Q14373094,rugby league player,sportsperson who plays rugby league
Q14467526,linguist,language scholar specialized in linguistics
Q14565186,cognitive scientist,scientist specializing in cognitive science
Q1476215,human rights defender,person who acts to protect human rights
Q1493121,military historian,person whose principal occupation or training is in military history
Q1500610,community leader,person perceived to represent a community
Q15077007,podcaster,person who creates podcasts
Q152002,pastor,ordained leader of a Christian congregation
Q15214752,cabaret performer,performing artist specialized in cabaret
Q15296811,draftsperson,person who makes drawings (artist/cartoonist/drafter/illustrator)
Q15319501,social scientist,scientist working in the field of social sciences
Q15627169,trade unionist,person involved in trade unions; member or supporter of a trade union
Q1569495,lecturer,expert who is hired to teach on a full or part time basis
Q1572123,systems engineer,profession
Q15839206,molecular biologist,profession
Q158852,conductor,person who directs a musical group during a performance
Q15924224,internist,physician with medical specialty internal medicine; is skilled in the management of patients who have undifferentiated or multi-system disease processes; cares for hospitalized and ambulatory patients
Q15931838,investigative journalist,person practicing investigative journalism
Q1595570,local historian,someone who researches their local area's history
Q15972912,modern pentathlete,athlete competing in modern pentathlons
Q15976092,artificial intelligence researcher,researcher in the field of artificial intelligence
Q15978655,consultant,professional who provides advice in their specific field of expertise; for property consultant use Q124728671; for adviser who is part of leadership use Q2994387
