text,href,ean,ean_length
The Book on Leadership,https://bookshop.org/p/books/the-book-on-leadership-a-guide-to-discovering-the-characteristics-of-a-true-leader-based-on-the-ministry-of-the-apostle-paul-john-f-macarthur/59a062385f05562b?ean=9780785288381&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780785288381,13
It Worked for Me,https://bookshop.org/p/books/it-worked-for-me-in-life-and-leadership-colin-powell/2fbbd9d2f726d712?ean=9780062135131&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780062135131,13
Leadership,https://bookshop.org/p/books/leadership-in-turbulent-times-doris-kearns-goodwin/97f4d73675a59b94?ean=9781476795935&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781476795935,13
The Five Dysfunctions of a Team,https://bookshop.org/p/books/the-five-dysfunctions-of-a-team-a-leadership-fable-20th-anniversary-edition-patrick-m-lencioni/70dcd7fcaddb388d?ean=9780787960759&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780787960759,13
Leadership 2.0,https://bookshop.org/p/books/leadership-2-0-dr-travis-bradberry/b698af08537bd321?ean=9780974320694&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780974320694,13
Culturally Responsive School Leadership,https://bookshop.org/p/books/culturally-responsive-school-leadership-muhammad-khalifa/ef4d2f193998cfcf?ean=9781682532072&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781682532072,13
Leadership From Below,https://bookshop.org/p/books/leadership-from-below-paradoxes-of-submarine-leadership-jeff-flesher/f05d3e4ba054cd4d?ean=9780578888125&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780578888125,13
The Five Graces of Life and Leadership,https://bookshop.org/p/books/the-five-graces-of-life-and-leadership-gary-burnison/4b067ee7fb96c630?ean=9781119864042&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781119864042,13
On Leadership,https://bookshop.org/p/books/on-leadership-john-gardner/f4fa2dfeda545d6c?ean=9780029113127&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780029113127,13
The Heart of Business,https://bookshop.org/p/books/the-heart-of-business-leadership-principles-for-the-next-era-of-capitalism-hubert-joly/9c5a908de7ff8c91?ean=9781647820381&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781647820381,13
Trust-Based Leadership,https://bookshop.org/p/books/trust-based-leadership-marine-corps-leadership-concepts-for-today-s-business-leaders-mike-ettore/1bfb4a9cc0fb7604?ean=9780989822985&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780989822985,13
No Bullsh!t Leadership,https://bookshop.org/p/books/no-bullsh-t-leadership-martin-g-moore/6f8d959332ff2c05?ean=9781948122788&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781948122788,13
Glue,https://bookshop.org/p/books/glue-a-leadership-development-strategy-to-bond-and-unite-amy-p-kelly/0a640b2cc8d3ec8d?ean=9781637697368&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781637697368,13
Transformed Leadership,https://bookshop.org/p/books/transformed-leadership-the-role-of-spiritual-discipline-in-leadership-development-gary-l-taylor/a68102374ec1aff8?ean=9781935909705&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781935909705,13
Leadership Is an Art,https://bookshop.org/p/books/leadership-is-an-art-max-depree/212e9b4747a8cb67?ean=9780385512466&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780385512466,13
Permission to Glow,https://bookshop.org/p/books/permission-to-glow-a-spiritual-guide-to-epic-leadership-kristoffer-carter/fb9f6b4c482c90c5?ean=9781774581582&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781774581582,13
Leadership Is Leadership,https://bookshop.org/p/books/leadership-is-leadership-leadership-explained-through-the-analogy-of-a-ship-with-biblical-emphasis-and-through-project-management-concepts-tonya-freem/c3205e8d0a79af8e?ean=9781662833113&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781662833113,13
Leadership Presence,https://bookshop.org/p/books/leadership-presence-hbr-emotional-intelligence-series-harvard-business-review/f2bc43a4cde8c2d6?ean=9781633696242&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781633696242,13
Unmanageable,https://bookshop.org/p/books/unmanageable-leadership-lessons-from-an-impossible-year-johnathan-nightingale/627edf2da32528ed?ean=9780995964327&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780995964327,13
Authentic Leadership,https://bookshop.org/p/books/authentic-leadership-bill-george/65e1a1fbd4421947?ean=9781633693913&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781633693913,13
Leadership Maxims,https://bookshop.org/p/books/leadership-maxims-12-timeless-leadership-truths-and-real-life-examples-of-how-they-can-drive-success-woody-hester/e326d3fa2d7a3830?ean=9781636305936&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781636305936,13
Leadership and the One Minute Manager,https://bookshop.org/p/books/leadership-and-the-one-minute-manager-increasing-effectiveness-through-situational-leadership-ii-drea-zigarmi/96b50c7a0374baec?ean=9780062309440&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780062309440,13
How to Be Queen,https://bookshop.org/p/books/how-to-be-queen-a-leadership-fable-jennifer-magley/8757ec81d65672e8?ean=9781665702898&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781665702898,13
Leadership and the Rise of Great Powers,https://bookshop.org/p/books/leadership-and-the-rise-of-great-powers-xuetong-yan/b88ca9a36d174262?ean=9780691210223&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780691210223,13
Quiet Leadership,https://bookshop.org/p/books/quiet-leadership-six-steps-to-transforming-performance-at-work-david-rock/9fd07e0ba090503c?ean=9780060835910&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780060835910,13
Battle Leadership,https://bookshop.org/p/books/battle-leadership-adolf-von-schell/8a675f3c90a6c091?ean=9781774641545&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781774641545,13
Principle Centered Leadership,https://bookshop.org/p/books/principle-centered-leadership-stephen-r-covey/8c507700d362f235?ean=9780671792800&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780671792800,13
Undaunted,https://bookshop.org/p/books/undaunted-leadership-amid-growth-and-adversity-ed-zier/c7cf434aea5b7582?ean=9781646635382&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9781646635382,13
Leadership,https://bookshop.org/p/books/leadership-james-m-burns/5b2b9f91f94c4045?ean=9780061965579&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780061965579,13
The Leadership Secrets of Colin Powell,https://bookshop.org/p/books/the-leadership-secrets-of-colin-powell-oren-harari-ph-d/2fa05cd7d7ed0644?ean=9780071418614&listref=best-books-on-leadership-and-management&aid=565&bkshp-astro=t,9780071418614,13
