scrape_id,title,subtitle,author,format_raw,isbn,publisher,publication_date_raw,cover_url,cover_alt_raw,external_book_url,release_page,release_page_url,source,scraped_at
1,The Seismic Shift in You,: The Seven Necessary Shifts to Create Connection and Drive Results,Michelle Johnston and Marshall Goldsmith,"Hardcover, 152 pages",9798891386211,100 Coaches Publishing,"December 2, 2025",https://www.leadershipnow.com/leadershop/images/9798891386211.jpg,9798891386211,https://amzn.to/3WhDMvU,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
2,The View from Ninety,": Reflections on Living a Long, Contented Life",Charles Handy,"Hardcover, 224 pages",9781529154801,Hutchinson Heinemann,"December 2, 2025",https://www.leadershipnow.com/leadershop/images/9781529154801.jpg,9781529154801,https://amzn.to/4odQXty,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
3,In the Arena,": Theodore Roosevelt in War, Peace, and Revolution",David S. Brown,"Hardcover, 496 pages",9781668204191,Scribner,"December 2, 2025",https://www.leadershipnow.com/leadershop/images/9781668204191.jpg,9781668204191,https://amzn.to/4q2gAPO,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
4,You to the Power of Two,: Redefining Human Potential in the Age of Identic AI,Joseph Bradley and Don Tapscott,"Hardcover, 400 pages",9781637747841,BenBella Books,"December 2, 2025",https://www.leadershipnow.com/leadershop/images/9781637747841.jpg,9781637747841,https://amzn.to/3XqSEc4,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
5,One Move Makes All the Difference,: How to discover your power and transform your life,Martin R. Mendelson,"Paperback, 200 pages",9781636987897,Morgan James Publishing,"December 2, 2025",https://www.leadershipnow.com/leadershop/images/9781636987897.jpg,9781636987897,https://amzn.to/49OQSsD,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
6,How to be a Friend (In an Unfriendly World),: Lessons on Connection,Barnet Bain,"Hardcover, 208 pages",9781394388868,Wiley,"December 9, 2025",https://www.leadershipnow.com/leadershop/images/9781394388868.jpg,9781394388868,https://amzn.to/3IN7QfL,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
7,Be Astonishing,: How to Transform Ordinary Influence into Lasting Significance,Sam Silverstein and Allison Silverstein,"Paperback, 176 pages",9781640955837,Sound Wisdom,"December 9, 2025",https://www.leadershipnow.com/leadershop/images/9781640955837.jpg,9781640955837,https://amzn.to/47WByZE,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
8,Monster Transformation,": Conquer Your Digital Fears, Be AI Ready, and Focus on What Matters to Your Organization","Ari Lightman, Rafeh Masood and Gary Hirsch","Hardcover, 252 pages",9781394313709,Wiley,"December 9, 2025",https://www.leadershipnow.com/leadershop/images/9781394313709.jpg,9781394313709,https://amzn.to/4mBo7SR,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
9,How to Make a Few More Billion Dollars,,Brad Jacobs,"Hardcover, 296 pages",9798886454659,Greenleaf Book Group Press,"December 9, 2025",https://www.leadershipnow.com/leadershop/images/9798886454659.jpg,9798886454659,https://amzn.to/3XuArua,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
10,Human Edge in the AI Age,: Eight Timeless Mantras For Success,Nitin Seth,"Hardcover, 496 pages",9798216391746,Bloomsbury Academic,"December 11, 2025",https://www.leadershipnow.com/leadershop/images/9798216391746.jpg,9798216391746,https://amzn.to/47YrQpJ,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
11,Redefining Networking,: How to Lead with Your Unique Value,Monique Kelley,"Hardcover, 110 pages",9781032933863,Routledge,"December 15, 2025",https://www.leadershipnow.com/leadershop/images/9781032933863.jpg,9781032933863,https://amzn.to/4ou8ayO,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
12,The CEO Mindset,,Shiv Shivakumar,"Hardcover, 240 pages",9780143477259,Penguin Business,"December 15, 2025",https://www.leadershipnow.com/leadershop/images/9780143477259.jpg,9780143477259,https://amzn.to/43Jajzh,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
13,The Octopus Organization,: A Guide to Thriving in a World of Continuous Transformation,Phil Le-Brun and Jana Werner,"Hardcover, 368 pages",9798892791403,Harvard Business Review Press,"December 16, 2025",https://www.leadershipnow.com/leadershop/images/9798892791403.jpg,9798892791403,https://amzn.to/3KkHzGr,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
14,Break The Mold,": How To Achieve Transformational Change, Scale, And Growth Simultaneously",Alan Whitman,"Hardcover, 280 pages",9798218759681,BooksBaby,"December 16, 2025",https://www.leadershipnow.com/leadershop/images/9798218759681.jpg,9798218759681,https://amzn.to/4rrN8Ug,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
15,The Presence Principle,: Embodying Executive Presence to Lead with Impact,Alexa Chilcutt and Carl DuPont,"Hardcover, 140 pages",9781041021964,Routledge,"December 16, 2025",https://www.leadershipnow.com/leadershop/images/9781041021964.jpg,9781041021964,https://amzn.to/49vFa66,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
16,Uncompete,: Rejecting Competition to Unlock Success,Ruchika T. Malhotra,"Hardcover, 320 pages",9780593832158,Viking,"November 4, 2025",https://www.leadershipnow.com/leadershop/images/9780593832158.jpg,9780593832158,https://amzn.to/4oIZlll,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
17,De-Positioning,: The Secret Brand Strategy for Creating Competitive Advantage,Todd Irwin,"Paperback, 160 pages",9781917391184,LID Publishing,"November 4, 2025",https://www.leadershipnow.com/leadershop/images/9781917391184.jpg,9781917391184,https://amzn.to/4ocKLTb,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
18,Relationship Currency,": Five Communication Habits For Limitless Influence and Business Success Hardcover  November 4, 2025
by Ravi Rajani (",Ravi Rajani,"Paperback, 168 pages",9798891389663,Amplify Publishing,"November 4, 2025",https://www.leadershipnow.com/leadershop/images/9798891389663.jpg,9798891389663,https://amzn.to/3KbOG3S,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
19,Next Play,": How to Focus on What Matters Most and Improve Performance, Productivity, and Fulfillment",Alan Stein Jr.,"Hardcover, 232 pages",9798891386624,Amplify Publishing,"November 4, 2025",https://www.leadershipnow.com/leadershop/images/9798891386624.jpg,9798891386624,https://amzn.to/4nrrMTJ,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
20,The Means of Prediction,: How AI Really Works (and Who Benefits),Maximilian Kasy,"Hardcover, 224 pages",9780226839530,University of Chicago Press,"November 4, 2025",https://www.leadershipnow.com/leadershop/images/9780226839530.jpg,9780226839530,https://amzn.to/4hxijcc,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
21,The Future Begins with Z,: Nine Strategies to Lead Generation Z as They Disrupt the Workplace,Tim Elmore,"Hardcover, 352 pages",9781400256044,HarperCollins Leadership,"November 4, 2025",https://www.leadershipnow.com/leadershop/images/9781400256044.jpg,9781400256044,https://amzn.to/3X8digI,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
22,The Overthinker's Guide to Making Decisions,: How to Make Decisions without Losing Your Mind,Joseph Nguyen,"Hardcover, 192 pages",9798893310665,Authors Equity,"November 11, 2025",https://www.leadershipnow.com/leadershop/images/9798893310665.jpg,9798893310665,https://amzn.to/44AfHFd,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
23,Culture Design,": How to Build a High-Performing, Resilient Organization with Purpose",James D. White and Krista White,"Hardcover, 208 pages",9798892790772,Harvard Business Review Press,"November 11, 2025",https://www.leadershipnow.com/leadershop/images/9798892790772.jpg,9798892790772,https://amzn.to/3LduRcJ,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
24,Success Is a Numbers Game,: Achieve Bigger Goals by Changing the Odds,Kyle Austin Young,"Hardcover, 240 pages",9781401975425,Hay House Business,"November 11, 2025",https://www.leadershipnow.com/leadershop/images/9781401975425.jpg,9781401975425,https://amzn.to/3J5BFsp,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
25,The History of Money,: A Story of Humanity,David McWilliamswith a Forewod by Michael Lewis,"Hardcover, 416 pages",9781250408181,Henry Holt and Co.,"November 11, 2025",https://www.leadershipnow.com/leadershop/images/9781250408181.jpg,9781250408181,https://amzn.to/4hA3qG5,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
26,Quick Leadership,": Build Trust, Navigate Change, and Cultivate Unstoppable Teams",Selena Rezvani,"Hardcover, 256 pages",9781394339792,Wiley,"November 12, 2025",https://www.leadershipnow.com/leadershop/images/9781394339792.jpg,9781394339792,https://amzn.to/46TpyYi,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
27,Irresistible Change,: A Blueprint for Earning Buy-In and Breakout Success,Phil Gilbert,"Hardcover, 256 pages",9781394367757,Wiley,"November 12, 2025",https://www.leadershipnow.com/leadershop/images/9781394367757.jpg,9781394367757,https://amzn.to/3HqAG4U,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
28,Trust at a Distance,: 6 Strategies for Managing in Remote Workspaces,David Horsager and Peggy Kendall,"Hardcover, 168 pages",9798890571083,Berrett-Koehler Publishers,"November 24, 2025",https://www.leadershipnow.com/leadershop/images/9798890571083.jpg,9798890571083,https://amzn.to/4eHr9ms,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
29,Doing Meritocracy Right,: How Business Leaders Can Turn an American Aspiration into Reality (and Why They Should),Thomas A. Cole,"Paperback, 192 pages",9780226844596,University of Chicago Press,"November 24, 2025",https://www.leadershipnow.com/leadershop/images/9780226844596.jpg,9780226844596,https://amzn.to/4krzGLw,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
30,A CEO for All Seasons,: Mastering the Cycles of Leadership,"Carolyn Dewar, Scott Keller, Vikram Malhotra and Kurt Strovink","Hardcover, 224 pages",9781668098349,Scribner,"October 7, 2025",https://www.leadershipnow.com/leadershop/images/9781668098349.jpg,9781668098349,https://amzn.to/41Vnnkd,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
31,Hone,: How Purposeful Leaders Defy Drift,Geoff Tuff and Steven Goldbach,"Hardcover, 256 pages",9781394304530,Wiley,"October 7, 2025",https://www.leadershipnow.com/leadershop/images/9781394304530.jpg,9781394304530,https://amzn.to/4kCnHvC,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
32,Don't Be Yourself,: Why Authenticity Is Overrated (and What to Do Instead),Tomas Chamorro-Premuzic,"Hardcover, 256 pages",9781647829834,Harvard Business Review Press,"October 7, 2025",https://www.leadershipnow.com/leadershop/images/9781647829834.jpg,9781647829834,https://amzn.to/4dQWhPH,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
33,Team Intelligence,: How Brilliant Leaders Unlock Collective Genius,Jon Levy,"Hardcover, 256 pages",9780063399570,Harper Business,"October 7, 2025",https://www.leadershipnow.com/leadershop/images/9780063399570.jpg,9780063399570,https://amzn.to/3VPmWnW,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
34,Enshittification,: Why Everything Suddenly Got Worse and What to Do About It,Cory Doctorow,"Hardcover, 352 pages",9780374619329,MCD,"October 7, 2025",https://www.leadershipnow.com/leadershop/images/9780374619329.jpg,9780374619329,https://amzn.to/46DGbag,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
35,Perseverance Principles,": How to Unlock Confidence, Consistency, and Wealth Under Pressure",J. J. Mazzo,"Hardcover, 192 pages",9781394377527,Wiley,"October 7, 2025",https://www.leadershipnow.com/leadershop/images/9781394377527.jpg,9781394377527,https://amzn.to/3K08OFP,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
36,Question to Learn,": How Curiosity Can Transform Your Career, Team, and Organization",Joe Lalley,"Paperback, 192 pages",9798889264835,Manuscripts LLC,"October 13, 2025",https://www.leadershipnow.com/leadershop/images/9798889264835.jpg,9798889264835,https://amzn.to/4juE5OJ,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
