query,status_code,records_collected
leadership,200,50
leadership development,200,50
executive leadership,200,50
team leadership,200,50
transformational leadership,200,50
servant leadership,200,50
management,200,50
people management,200,50
strategic management,200,50
change management,200,50
operations management,200,50
project management,200,50
performance management,200,50
human resource management,200,50
organizational behavior,200,50
business strategy,200,50
decision making,200,50
communication,200,50
emotional intelligence,200,50
innovation management,200,50
