book_id,openlibrary_work_key,canonical_title,edition_key,edition_title,full_title,edition_name,publish_date,publish_country,publish_places,publishers,languages,isbn_10,isbn_13,number_of_pages,physical_format
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL32050650M,Principle-Centered Leadership,Principle-Centered Leadership,,"Apr 01, 2012",,,['Franklin Covey on Brilliance Audio'],[],['145589348X'],['9781455893485'],,audio cd
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL7951825M,Principle Centred Leadership,,,"March 7, 2005",,,['Simon & Schuster Audio'],[],['0743501551'],['9780743501552'],1.0,Audio CD
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL22138988M,Principle-centred leadership,,,1991,xxk,['London'],['Simon & Schuster'],['eng'],['068485841X'],,332.0,
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL7662929M,Principle-centred Leadership,,,"October 26, 1992",,,['Simon & Schuster (Trade Division)'],[],['0671711350'],['9780671711351'],336.0,Paperback
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL9779667M,Principle-centred Leadership,,,"March 1, 1992",,,['Simon & Schuster (Trade Division)'],[],['0671711164'],['9780671711160'],336.0,Hardcover
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL8336551M,Principle Centered Leadership,,,September 1991,,,['Summit Books'],[],['0916095312'],['9780916095314'],,Hardcover
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL8685301M,Principle-Centered Leadership,,,"October 1, 2001",,,['Covey'],['eng'],['188321906X'],['9781883219062'],,Audio Cassette
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL7722396M,Principle Centered Leadership,,New Ed edition,"January 4, 1999",,,['Simon Schuster Trade'],[],['068485841X'],['9780684858418'],332.0,Paperback
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL8685305M,Principle-Centered Leadership,,,"October 1, 2001",,,['Covey'],['eng'],['1883219248'],['9781883219246'],15.0,Audio Cassette
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL9699055M,Principle-centered Leadership,,,"January 4, 1999",,,['Simon & Schuster Audio'],[],['0671011138'],['9780671011130'],,Audio Cassette
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL7646948M,Principle Centered Leadership,,New Ed edition,"January 1, 2000",,,['Simon & Schuster Audio'],['eng'],['0671317032'],['9780671317034'],,Audio CD
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL15982823M,Principle-centered leadership,,,2003,nyu,['New York'],"['Free Press', 'Simon & Schuster']",['eng'],['0671792806'],['9780671792800'],335.0,
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL1548585M,Principle-Centered Leadership,,,1991,nyu,['New York'],['Summit Books'],['eng'],['0671749102'],,334.0,
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL8797620M,Principle-Centered Leadership,,Abridged edition,"January 1, 2002",,,['Covey'],['eng'],['1929494610'],['9781929494613'],,Audio CD
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,/books/OL7665312M,Principle Centered Leadership,,1st edition,"October 1, 1992",,,['Free Press'],['eng'],['0671792806'],['9780671792800'],336.0,Paperback
