book_id,openlibrary_work_key,status,edition_rows,reported_size,error
BOOK00001,/works/OL2630041W,success,21,21.0,
BOOK00002,/works/OL2731767W,success,26,26.0,
BOOK00003,/works/OL302757W,success,1,1.0,
BOOK00004,/works/OL450702W,success,8,8.0,
BOOK00005,/works/OL94176W,success,5,5.0,
BOOK00006,/works/OL28124W,success,12,12.0,
BOOK00007,/works/OL7956784W,success,8,8.0,
BOOK00008,/works/OL2421691W,success,1,1.0,
BOOK00009,/works/OL18146967W,success,9,9.0,
BOOK00010,/works/OL8921343W,success,31,31.0,
BOOK00011,/works/OL19982874W,success,12,12.0,
BOOK00012,/works/OL1947324W,success,11,11.0,
BOOK00013,/works/OL1807678W,success,3,3.0,
BOOK00014,/works/OL30484W,success,4,4.0,
BOOK00015,/works/OL1815713W,success,5,5.0,
BOOK00016,/works/OL1974749W,success,40,40.0,
BOOK00017,/works/OL17628850W,success,10,10.0,
BOOK00018,/works/OL16296611W,success,1,1.0,
BOOK00019,/works/OL17934890W,success,11,11.0,
BOOK00020,/works/OL1693759W,success,7,7.0,
BOOK00021,/works/OL21002118W,success,9,9.0,
BOOK00022,/works/OL11659147W,success,13,13.0,
BOOK00023,/works/OL2649476W,success,3,3.0,
BOOK00024,/works/OL30487W,success,6,6.0,
BOOK00025,/works/OL694165W,success,5,5.0,
BOOK00026,/works/OL19907717W,success,1,1.0,
BOOK00027,/works/OL1835386W,success,18,18.0,
BOOK00028,/works/OL5367479W,success,14,14.0,
BOOK00029,/works/OL1974738W,success,39,39.0,
BOOK00030,/works/OL3359455W,success,36,36.0,
BOOK00031,/works/OL7912826W,success,3,3.0,
BOOK00032,/works/OL9947459W,success,5,5.0,
BOOK00033,/works/OL2631715W,success,15,15.0,
BOOK00034,/works/OL9723833W,success,13,13.0,
BOOK00035,/works/OL20703991W,success,7,7.0,
BOOK00036,/works/OL25348188W,success,10,10.0,
BOOK00037,/works/OL18306659W,success,2,2.0,
BOOK00038,/works/OL20220610W,success,5,5.0,
BOOK00039,/works/OL18785478W,success,7,7.0,
BOOK00040,/works/OL16918034W,success,8,8.0,
BOOK00041,/works/OL9454258W,success,16,16.0,
BOOK00042,/works/OL1906630W,success,5,5.0,
BOOK00043,/works/OL66047W,success,7,7.0,
BOOK00044,/works/OL4138839W,success,7,7.0,
BOOK00045,/works/OL8051336W,success,7,7.0,
BOOK00046,/works/OL5591010W,success,2,2.0,
BOOK00047,/works/OL1854816W,success,22,22.0,
BOOK00048,/works/OL5698702W,success,1,1.0,
BOOK00049,/works/OL513860W,success,3,3.0,
BOOK00050,/works/OL18724331W,success,2,2.0,
BOOK00051,/works/OL2631027W,success,4,4.0,
BOOK00052,/works/OL2421703W,success,1,1.0,
BOOK00053,/works/OL15443861W,success,4,4.0,
BOOK00054,/works/OL2002372W,success,7,7.0,
BOOK00055,/works/OL18564486W,success,8,8.0,
BOOK00056,/works/OL20593977W,success,6,6.0,
BOOK00057,/works/OL840850W,success,3,3.0,
BOOK00058,/works/OL3419920W,success,8,8.0,
BOOK00059,/works/OL19124120W,success,5,5.0,
BOOK00060,/works/OL23199296W,success,5,5.0,
BOOK00061,/works/OL2002371W,success,1,1.0,
BOOK00062,/works/OL3744961W,success,2,2.0,
BOOK00063,/works/OL22581744W,success,1,1.0,
BOOK00064,/works/OL4655515W,success,2,2.0,
BOOK00065,/works/OL20374782W,success,4,4.0,
BOOK00066,/works/OL18787789W,success,8,8.0,
BOOK00067,/works/OL26498430W,success,4,4.0,
BOOK00068,/works/OL15452494W,success,2,2.0,
BOOK00069,/works/OL2656738W,success,2,2.0,
BOOK00070,/works/OL25704183W,success,4,4.0,
BOOK00071,/works/OL9699269W,success,5,5.0,
BOOK00072,/works/OL25180372W,success,4,4.0,
BOOK00073,/works/OL21284859W,success,6,6.0,
BOOK00074,/works/OL59396W,success,4,4.0,
BOOK00075,/works/OL20192611W,success,2,2.0,
BOOK00076,/works/OL20293708W,success,7,7.0,
BOOK00077,/works/OL21490762W,success,6,6.0,
BOOK00078,/works/OL21047950W,success,6,6.0,
BOOK00079,/works/OL25144317W,success,6,6.0,
BOOK00080,/works/OL16114022W,success,1,1.0,
BOOK00081,/works/OL25209587W,success,5,5.0,
BOOK00082,/works/OL27542534W,success,1,1.0,
BOOK00083,/works/OL15508124W,success,1,1.0,
BOOK00084,/works/OL20261418W,success,3,3.0,
BOOK00085,/works/OL21287613W,success,5,5.0,
BOOK00086,/works/OL27700028W,success,1,1.0,
BOOK00087,/works/OL3951054W,success,1,1.0,
BOOK00088,/works/OL11019317W,success,2,2.0,
BOOK00089,/works/OL19124558W,success,5,5.0,
BOOK00090,/works/OL1819729W,success,5,5.0,
BOOK00091,/works/OL11929114W,success,4,4.0,
BOOK00092,/works/OL1923307W,success,3,3.0,
BOOK00093,/works/OL36466813W,success,3,3.0,
BOOK00094,/works/OL19561785W,success,3,3.0,
BOOK00095,/works/OL18845534W,success,3,3.0,
BOOK00096,/works/OL15805280W,success,1,1.0,
BOOK00097,/works/OL20221499W,success,6,6.0,
BOOK00098,/works/OL18640373W,success,1,1.0,
BOOK00099,/works/OL73261W,success,3,3.0,
BOOK00100,/works/OL2672537W,success,5,5.0,
BOOK00101,/works/OL4294411W,success,6,6.0,
BOOK00102,/works/OL15170644W,success,6,6.0,
BOOK00103,/works/OL6357706W,success,1,1.0,
BOOK00104,/works/OL272920W,success,43,43.0,
BOOK00105,/works/OL2632000W,success,2,2.0,
BOOK00106,/works/OL21282293W,success,5,5.0,
BOOK00107,/works/OL16726909W,success,5,5.0,
BOOK00108,/works/OL20764205W,success,4,4.0,
BOOK00109,/works/OL20352066W,success,3,3.0,
BOOK00110,/works/OL9160155W,success,3,3.0,
BOOK00111,/works/OL31757099W,success,3,3.0,
BOOK00112,/works/OL178488W,success,2,2.0,
BOOK00113,/works/OL12555073W,success,2,2.0,
BOOK00114,/works/OL3346518W,success,2,2.0,
BOOK00115,/works/OL4613019W,success,2,2.0,
BOOK00116,/works/OL11150616W,success,1,1.0,
BOOK00117,/works/OL40675189W,success,2,2.0,
BOOK00118,/works/OL186153W,success,2,2.0,
BOOK00119,/works/OL19506401W,success,2,2.0,
BOOK00120,/works/OL28958132W,success,1,1.0,
BOOK00121,/works/OL37440322W,success,1,1.0,
BOOK00122,/works/OL45919298W,success,1,1.0,
BOOK00123,/works/OL17671901M,error,0,,404 Client Error: Not Found for url: https://openlibrary.org/works/OL17671901M/editions.json?limit=50&offset=0
BOOK00124,/works/OL10932218W,success,1,1.0,
BOOK00125,/works/OL34016806W,success,1,1.0,
BOOK00126,/works/OL18345228W,success,1,1.0,
BOOK00127,/works/OL25126597W,success,2,2.0,
BOOK00128,/works/OL8924498W,success,1,1.0,
BOOK00129,/works/OL3703775W,success,1,1.0,
BOOK00130,/works/OL8716894W,success,3,3.0,
BOOK00131,/works/OL21116860W,success,7,7.0,
BOOK00132,/works/OL6336195W,success,1,1.0,
BOOK00133,/works/OL21519932W,success,1,1.0,
BOOK00134,/works/OL2587520W,success,2,2.0,
BOOK00135,/works/OL5595907W,success,1,1.0,
BOOK00136,/works/OL20763513W,success,2,2.0,
BOOK00137,/works/OL4197287W,success,1,1.0,
BOOK00138,/works/OL38711582W,success,1,1.0,
BOOK00139,/works/OL31882964W,success,1,1.0,
BOOK00140,/works/OL6556608W,success,3,3.0,
BOOK00141,/works/OL12264306W,success,1,1.0,
BOOK00142,/works/OL35415246W,success,1,1.0,
BOOK00143,/works/OL37251810W,success,1,1.0,
BOOK00144,/works/OL31623052W,success,1,1.0,
BOOK00145,/works/OL24697310W,success,1,1.0,
BOOK00146,/works/OL12527724W,success,6,6.0,
BOOK00147,/works/OL5276233W,success,4,4.0,
BOOK00148,/works/OL27684096W,success,1,1.0,
BOOK00149,/works/OL2733067W,success,2,2.0,
BOOK00150,/works/OL1856010W,success,14,14.0,
BOOK00151,/works/OL21139445W,success,2,2.0,
BOOK00152,/works/OL1959738W,success,1,1.0,
BOOK00153,/works/OL2687121W,success,5,5.0,
BOOK00154,/works/OL4450508W,success,2,2.0,
BOOK00155,/works/OL15325310W,success,3,3.0,
BOOK00156,/works/OL2877876W,success,1,1.0,
BOOK00157,/works/OL21865071W,success,1,1.0,
BOOK00158,/works/OL1974742W,success,2,2.0,
BOOK00159,/works/OL19968836W,success,5,5.0,
BOOK00160,/works/OL21877448W,success,4,4.0,
BOOK00161,/works/OL21271940W,success,6,6.0,
BOOK00162,/works/OL24995476W,success,1,1.0,
BOOK00163,/works/OL21058637W,success,11,11.0,
BOOK00164,/works/OL3363246W,success,2,2.0,
BOOK00165,/works/OL29567685W,success,1,1.0,
BOOK00166,/works/OL3058217W,success,1,1.0,
BOOK00167,/works/OL16821124W,success,11,11.0,
BOOK00168,/works/OL33715638W,success,2,2.0,
BOOK00169,/works/OL2971992W,success,3,3.0,
BOOK00170,/works/OL4406543W,success,2,2.0,
