openlibrary_author_key,author_name,candidate_rank,wikidata_id,wikidata_label,wikidata_description,wikidata_url
OL383159A,Stephen R. Covey,1,Q313482,Stephen Covey,"American educator, author, businessman and motivational speaker (1932-2012)",http://www.wikidata.org/entity/Q313482
OL383159A,Stephen R. Covey,2,Q123654696,"Stephen R. Covey, Herald of Good Habits, Dies at 79","The New York Times article (July 17, 2012)",http://www.wikidata.org/entity/Q123654696
OL400156A,Gary A. Yukl,1,Q130733922,Gary A. Yukl,"psychologist, business manager, university teacher (1940-)",http://www.wikidata.org/entity/Q130733922
OL26423A,John C. Maxwell,1,Q3304739,John C. Maxwell,"American author, speaker and neopentecostal pastor",http://www.wikidata.org/entity/Q3304739
OL26423A,John C. Maxwell,2,Q60220754,John C. Maxwell,geologist,http://www.wikidata.org/entity/Q60220754
OL333669A,Bernard M. Bass,1,Q52162437,Bernard M. Bass,American psychologist and leadership pioneer,http://www.wikidata.org/entity/Q52162437
OL7442788A,James Comey,1,Q167607,James Comey,American lawyer and 7th director of the Federal Bureau of Investigation (born 1960),http://www.wikidata.org/entity/Q167607
OL8118723A,James B. Comey,1,Q167607,James Comey,American lawyer and 7th director of the Federal Bureau of Investigation (born 1960),http://www.wikidata.org/entity/Q167607
OL2762041A,Erich Joachimsthaler,1,Q5388045,Erich Joachimsthaler,American businessman,http://www.wikidata.org/entity/Q5388045
OL772556A,Stephen P. Gordon,1,Q114569791,Stephen P. Gordon,American academic in educational leadership,http://www.wikidata.org/entity/Q114569791
OL772556A,Stephen P. Gordon,2,Q7610171,Stephen P. Gordon,American activist (1962-2018),http://www.wikidata.org/entity/Q7610171
OL2672226A,Jovita M. Ross-Gordon,1,Q112517260,Jovita M. Ross-Gordon,academic in adult education,http://www.wikidata.org/entity/Q112517260
OL3714825A,Simon Western,1,Q120188564,Simon Western,British academic,http://www.wikidata.org/entity/Q120188564
OL7524018A,Jocko Willink,1,Q22935809,Jocko Willink,American author,http://www.wikidata.org/entity/Q22935809
OL7524018A,Jocko Willink,2,Q109279392,The Jordan B. Peterson Podcast - S4E13: Jocko Willink,episode of the Jordan B Peterson Podcast,http://www.wikidata.org/entity/Q109279392
OL7524018A,Jocko Willink,3,Q110188812,"Lex Fridman Podcast #197 – Jocko Willink: War, Leadership, and Discipline",podcast episode of the Lex Fridman Podcast,http://www.wikidata.org/entity/Q110188812
OL7524018A,Jocko Willink,4,Q110087557,Jocko Willink | The Ben Shapiro Show Sunday Special Ep. 23,episode of the Ben Shapiro Show,http://www.wikidata.org/entity/Q110087557
OL7524018A,Jocko Willink,5,Q110268138,The Megyn Kelly Show Ep. 77,episode of the Megyn Kelly Show,http://www.wikidata.org/entity/Q110268138
OL236243A,Henry Kissinger,1,Q66107,Henry Kissinger,"American diplomat and geopolitical advisor, served as U.S. Secretary of State from 1973 to 1977 (1923–2023)",http://www.wikidata.org/entity/Q66107
OL236243A,Henry Kissinger,2,Q47510605,Henry Kissinger,painting by James Richard Campbell,http://www.wikidata.org/entity/Q47510605
OL236243A,Henry Kissinger,3,Q47509190,Henry Kissinger,painting by Stanislaw Zagorski,http://www.wikidata.org/entity/Q47509190
OL236243A,Henry Kissinger,4,Q47512269,Henry Kissinger,painting by Gardner Cox,http://www.wikidata.org/entity/Q47512269
OL236243A,Henry Kissinger,5,Q47511912,Henry Kissinger,painting by Robert M. Peak,http://www.wikidata.org/entity/Q47511912
OL241136A,Bruce J. Avolio,1,Q52152510,Bruce Avolio,American leadership studies scholar,http://www.wikidata.org/entity/Q52152510
OL770456A,Ann Lieberman,1,Q112520504,Ann Lieberman,,http://www.wikidata.org/entity/Q112520504
OL1862946A,Lynne Miller,1,Q112542883,Lynne Miller,,http://www.wikidata.org/entity/Q112542883
OL1862946A,Lynne Miller,2,Q6709394,Lynne Miller,actress,http://www.wikidata.org/entity/Q6709394
OL1862946A,Lynne Miller,3,Q124622527,Lynne Miller Franco,researcher,http://www.wikidata.org/entity/Q124622527
OL3411846A,Karen Sobel Lojeski,1,Q112554706,Karen Sobel Lojeski,,http://www.wikidata.org/entity/Q112554706
OL3237212A,Miltiadis D. Lytras,1,Q112443481,Miltiadis D. Lytras,,http://www.wikidata.org/entity/Q112443481
OL1478161A,Terry Anderson,1,Q7704060,Terry Anderson,English association footballer (1944-1980),http://www.wikidata.org/entity/Q7704060
OL1478161A,Terry Anderson,2,Q111511944,Terry Anderson,,http://www.wikidata.org/entity/Q111511944
OL1478161A,Terry Anderson,3,Q100720908,Terry Anderson,college basketball player (2008–2008) Northern Colorado,http://www.wikidata.org/entity/Q100720908
OL1478161A,Terry Anderson,4,Q112436082,Terry Anderson,,http://www.wikidata.org/entity/Q112436082
OL1478161A,Terry Anderson,5,Q7704058,Terry Anderson,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q7704058
OL8064184A,Joan Hernandez,1,Q1455806,Joan Hernández Pijuan,Spanish painter (1931-2005),http://www.wikidata.org/entity/Q1455806
OL8064184A,Joan Hernandez,2,Q11927743,Joan Hernàndez i Baiges,Spanish composer (1911-1988),http://www.wikidata.org/entity/Q11927743
OL8064184A,Joan Hernandez,3,Q20099358,Joan Hernàndez,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q20099358
OL8064184A,Joan Hernandez,4,Q17300950,Joan Hernández Mora,Spanish historian,http://www.wikidata.org/entity/Q17300950
OL8064184A,Joan Hernandez,5,Q20003460,Joan Casellas,Catalan plastic artist and documentary photographer,http://www.wikidata.org/entity/Q20003460
OL390077A,Harold Kerzner,1,Q16262001,Harold Kerzner,"American engineer, management consultant",http://www.wikidata.org/entity/Q16262001
OL442735A,Mary Kay Ash,1,Q610716,Mary Kay Ash,entrepreneure (1918–2001),http://www.wikidata.org/entity/Q610716
OL1126608A,"Taylor, Stephen",1,Q97583345,"Taylor, Stephen Taswell","entry in Alumni Oxonienses: the Members of the University of Oxford, 1715-1886",http://www.wikidata.org/entity/Q97583345
OL1126608A,"Taylor, Stephen",2,Q108773872,"Taylor, Stephen James",entry in Men-at-the-Bar,http://www.wikidata.org/entity/Q108773872
OL2021138A,Anna Sutton,1,Q118108991,Anna Sutton,occupational psychologist in New Zealand,http://www.wikidata.org/entity/Q118108991
OL2021138A,Anna Sutton,2,Q76185562,Anna Houson,(died 1846),http://www.wikidata.org/entity/Q76185562
OL2021138A,Anna Sutton,3,Q140825617,Anna Sutton,epidemiologist at University of Washington,http://www.wikidata.org/entity/Q140825617
OL786466A,Mick Marchington,1,Q112429200,Mick Marchington,,http://www.wikidata.org/entity/Q112429200
OL535417A,Donald C. Mosley,1,Q124635735,Donald C. Mosley,,http://www.wikidata.org/entity/Q124635735
OL770018A,Leon C. Megginson,1,Q93253605,Leon C. Megginson,American business academic,http://www.wikidata.org/entity/Q93253605
OL2847832A,John Purcell,1,Q1274635,John Purcell,American jazz saxophonist,http://www.wikidata.org/entity/Q1274635
OL2847832A,John Purcell,2,Q115904093,John Purcell,,http://www.wikidata.org/entity/Q115904093
OL2847832A,John Purcell,3,Q6253553,John Purcell,"Irish soldier in the British Army, recipient of the Victoria Cross",http://www.wikidata.org/entity/Q6253553
OL2847832A,John Purcell,4,Q131732834,John Purcell,1 Jan 1744 - 9 Nov 1806,http://www.wikidata.org/entity/Q131732834
OL2847832A,John Purcell,5,Q112421994,John Purcell,,http://www.wikidata.org/entity/Q112421994
OL2804440A,Jason Fried,1,Q23795888,Jason Fried,software entrepreneur,http://www.wikidata.org/entity/Q23795888
OL2804440A,Jason Fried,2,Q936338,Jason Friedberg,"American screenwriter and film director, primarily in joint work with Aaron Seltzer",http://www.wikidata.org/entity/Q936338
OL2804440A,Jason Fried,3,Q48257524,Jason Friedman,researcher,http://www.wikidata.org/entity/Q48257524
OL2804440A,Jason Fried,4,Q117457265,Jason Friedman,"Managing Director, J.M.Friedman&Co.",http://www.wikidata.org/entity/Q117457265
OL2804440A,Jason Fried,5,Q15410499,Jason Friedberg and Aaron Seltzer,American and Canadian screenwriter and filmmaker duo,http://www.wikidata.org/entity/Q15410499
OL953741A,Everett E. Adam,1,Q112392394,Everett E. Adam,,http://www.wikidata.org/entity/Q112392394
OL397998A,Richard B. Chase,1,Q16902252,Richard B. Chase,American academic,http://www.wikidata.org/entity/Q16902252
OL589008A,Joseph G. Monks,1,Q123224797,Joseph G. Monks,American industrial engineer,http://www.wikidata.org/entity/Q123224797
OL3278571A,Gregory Frazier,1,Q11924708,Gregory Frazier,,http://www.wikidata.org/entity/Q11924708
OL236061A,Jack R. Meredith,1,Q15429284,Jack R. Meredith,American engineer,http://www.wikidata.org/entity/Q15429284
OL392324A,Andrew Greasley,1,Q4757168,Andrew Greasley,English cricketer (born 1960),http://www.wikidata.org/entity/Q4757168
OL392324A,Andrew Greasley,2,Q132949377,Andrew Greasley,,http://www.wikidata.org/entity/Q132949377
OL38917A,Robert Kreitner,1,Q139463390,Robert Kreitner,,http://www.wikidata.org/entity/Q139463390
OL342981A,John W. Slocum,1,Q110085635,John W. Slocum,American lawyer and politician,http://www.wikidata.org/entity/Q110085635
OL342981A,John W. Slocum,2,Q106292601,John W. Slocum,,http://www.wikidata.org/entity/Q106292601
OL491328A,Nancy J. Adler,1,Q61783042,Nancy J. Adler,Canadian academic,http://www.wikidata.org/entity/Q61783042
OL128085A,Keith Davis,1,Q64831603,Keith Davis,,http://www.wikidata.org/entity/Q64831603
OL128085A,Keith Davis,2,Q104585662,Keith Davis,American economist (1918-2002),http://www.wikidata.org/entity/Q104585662
OL128085A,Keith Davis,3,Q112387200,Keith Davis,,http://www.wikidata.org/entity/Q112387200
OL128085A,Keith Davis,4,Q134737877,Keith Davis,badminton player,http://www.wikidata.org/entity/Q134737877
OL128085A,Keith Davis,5,Q120924673,Keith Davis,African American person killed due to interaction with a California Law Enforcement Agency,http://www.wikidata.org/entity/Q120924673
OL2639584A,Robert Konopaske,1,Q111365302,Rob Konopaske,International Business Management Academic,http://www.wikidata.org/entity/Q111365302
OL3038563A,James Campbell Quick,1,Q95993783,James Campbell Quick,researcher,http://www.wikidata.org/entity/Q95993783
OL2178985A,Alan Barker,1,Q37838941,Alan R. Barker,researcher,http://www.wikidata.org/entity/Q37838941
OL2178985A,Alan Barker,2,Q116475235,Alan Barker,rugby league footballer,http://www.wikidata.org/entity/Q116475235
OL2178985A,Alan Barker,3,Q109854460,Alan Barker,,http://www.wikidata.org/entity/Q109854460
OL2178985A,Alan Barker,4,Q112423913,Alan Barker,,http://www.wikidata.org/entity/Q112423913
OL2178985A,Alan Barker,5,Q19932758,Alan Robert Barker,British general,http://www.wikidata.org/entity/Q19932758
OL219084A,Stephen W. Littlejohn,1,Q139003122,Stephen W. Littlejohn,American communication researcher,http://www.wikidata.org/entity/Q139003122
OL228612A,Karen A. Foss,1,Q29833555,Karen A. Foss,American communication scholar,http://www.wikidata.org/entity/Q29833555
OL39038A,Deepak Chopra,1,Q318506,Deepak Chopra,"Indian-born American author and alternative-medicine advocate, physician and public speaker",http://www.wikidata.org/entity/Q318506
OL39038A,Deepak Chopra,2,Q80189305,Deepak Chopra,researcher (ORCID 0000-0002-0018-6007),http://www.wikidata.org/entity/Q80189305
OL39038A,Deepak Chopra,3,Q91122244,Deepak Chopra,researcher (ORCID 0000-0002-8493-8930),http://www.wikidata.org/entity/Q91122244
OL39038A,Deepak Chopra,4,Q98648389,Deepak Chopra,researcher ORCID 0000-0001-5817-3551,http://www.wikidata.org/entity/Q98648389
OL39038A,Deepak Chopra,5,Q5250497,Deepak Chopra,Canadian businessman,http://www.wikidata.org/entity/Q5250497
OL2763830A,Rosenberg,1,Q1159003,Rosenberg,family name,http://www.wikidata.org/entity/Q1159003
OL2763830A,Rosenberg,2,Q2167017,Rosenberg,noble family (Franconia),http://www.wikidata.org/entity/Q2167017
OL2763830A,Rosenberg,3,Q27541,Ružomberok,town in Slovakia,http://www.wikidata.org/entity/Q27541
OL2763830A,Rosenberg,4,Q4396534,Rosenberg,noble family (Kurland),http://www.wikidata.org/entity/Q4396534
OL2763830A,Rosenberg,5,Q65657138,Rosenberg,"village in Sund, Åland Islands, Finland",http://www.wikidata.org/entity/Q65657138
OL342495A,Theodore S. Rappaport,1,Q18619463,Theodore Rappaport,American electrical engineering professor,http://www.wikidata.org/entity/Q18619463
OL2974978A,Rappaport,1,Q21469784,Rappaport,family name,http://www.wikidata.org/entity/Q21469784
OL2974978A,Rappaport,2,Q6582199,Rappaport Prize,Israeli award,http://www.wikidata.org/entity/Q6582199
OL2974978A,Rappaport,3,Q12406897,Rappaport Faculty of Medicine,medical facility in Haifa,http://www.wikidata.org/entity/Q12406897
OL2974978A,Rappaport,4,Q106113303,Rappaportová,family name,http://www.wikidata.org/entity/Q106113303
OL2974978A,Rappaport,5,Q89641940,"Rappaport, Moriz (BLKÖ)","entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 24, p. 365)",http://www.wikidata.org/entity/Q89641940
OL39286A,Behrouz A. Forouzan,1,Q4880998,Behrouz A. Forouzan,American academic,http://www.wikidata.org/entity/Q4880998
OL5318188A,Xi Zhang,1,Q100737136,Xi Zhang,researcher ORCID 0000-0002-8548-2832,http://www.wikidata.org/entity/Q100737136
OL5318188A,Xi Zhang,2,Q104065548,Xi Zhang,researcher ORCID 0000-0003-0815-4007,http://www.wikidata.org/entity/Q104065548
OL5318188A,Xi Zhang,3,Q102350706,Xi Zhang,Ph.D. Kungliga Tekniska Högskolan 2008,http://www.wikidata.org/entity/Q102350706
OL5318188A,Xi Zhang,4,Q102308832,Xi Zhang,Ph.D. Columbia University 2006,http://www.wikidata.org/entity/Q102308832
OL5318188A,Xi Zhang,5,Q102361564,Xi Zhang,Ph.D. State University of New York at Buffalo 2010,http://www.wikidata.org/entity/Q102361564
OL7964852A,James Comey,1,Q167607,James Comey,American lawyer and 7th director of the Federal Bureau of Investigation (born 1960),http://www.wikidata.org/entity/Q167607
OL3010393A,Dick Ruhe,1,Q123247117,Dick Ruhe,,http://www.wikidata.org/entity/Q123247117
OL233688A,Richard L. Hughes,1,Q127751718,Richard Hughes,United States academic,http://www.wikidata.org/entity/Q127751718
OL957796A,Richard Hughes,1,Q302433,Richard Hughes,British writer (1900–1976),http://www.wikidata.org/entity/Q302433
OL957796A,Richard Hughes,2,Q137049093,Richard Hughes,Chair of the Office for Budget Responsibility,http://www.wikidata.org/entity/Q137049093
OL957796A,Richard Hughes,3,Q132574107,Richard Hughes,Australian director and reality television contestant,http://www.wikidata.org/entity/Q132574107
OL957796A,Richard Hughes,4,Q42533857,Richard K Hughes,researcher,http://www.wikidata.org/entity/Q42533857
OL957796A,Richard Hughes,5,Q20734280,Richard Hughes,Welsh printer and publisher,http://www.wikidata.org/entity/Q20734280
OL2639184A,Robert Ginnett,1,Q64011255,Robert Ginnetti,Canadian-born Italian ice hockey player,http://www.wikidata.org/entity/Q64011255
OL216820A,Donald T. Phillips,1,Q5295213,Donald T. Phillips,American writer,http://www.wikidata.org/entity/Q5295213
OL216820A,Donald T. Phillips,2,Q102270729,Don T. Phillips,Ph.D. University of Arkansas 1969,http://www.wikidata.org/entity/Q102270729
OL27560A,James MacGregor Burns,1,Q1529607,James MacGregor Burns,American historian and political scientist (1918–2014),http://www.wikidata.org/entity/Q1529607
OL27560A,James MacGregor Burns,2,Q123599451,"James MacGregor Burns, Scholar of Presidents and Leadership, Dies at 95","The New York Times article (July 16, 2014)",http://www.wikidata.org/entity/Q123599451
OL217763A,Robert N. Lussier,1,Q112485435,Robert N. Lussier,,http://www.wikidata.org/entity/Q112485435
OL237290A,James M. Kouzes,1,Q55865983,James M. Kouzes,1945-,http://www.wikidata.org/entity/Q55865983
OL2648679A,Barry Z. Posner,1,Q16137225,Barry Posner,American leadership academic,http://www.wikidata.org/entity/Q16137225
OL218730A,Elaine Biech,1,Q112444018,Elaine Biech,,http://www.wikidata.org/entity/Q112444018
OL4148975A,Barry Posner,1,Q16137225,Barry Posner,American leadership academic,http://www.wikidata.org/entity/Q16137225
OL4148975A,Barry Posner,2,Q4864617,Barry Posner,Canadian physician,http://www.wikidata.org/entity/Q4864617
OL4148975A,Barry Posner,3,Q16859272,Barry Posner,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q16859272
OL8082877A,Peter Schein,1,Q119582967,Peter A. Schein,,http://www.wikidata.org/entity/Q119582967
OL8082877A,Peter Schein,2,Q102213292,Peter Scheinost,Ph.D. Ludwig-Maximilians-Universität München 1992,http://www.wikidata.org/entity/Q102213292
OL8082877A,Peter Schein,3,Q113811846,Peter Scheinpflug,,http://www.wikidata.org/entity/Q113811846
OL8082877A,Peter Schein,4,Q55875946,Peter Scheiner,1554-1603; Superintendent in Oschatz,http://www.wikidata.org/entity/Q55875946
OL8082877A,Peter Schein,5,Q139150011,Peter Scheiner,,http://www.wikidata.org/entity/Q139150011
OL222155A,Doris Kearns Goodwin,1,Q442008,Doris Kearns Goodwin,American biographer and historian (born 1943),http://www.wikidata.org/entity/Q442008
OL222155A,Doris Kearns Goodwin,2,Q22980266,Doris Kearns Goodwin: Lessons from past presidents,TED2008,http://www.wikidata.org/entity/Q22980266
OL9310463A,Doris Kearns Goodwin,1,Q442008,Doris Kearns Goodwin,American biographer and historian (born 1943),http://www.wikidata.org/entity/Q442008
OL9310463A,Doris Kearns Goodwin,2,Q22980266,Doris Kearns Goodwin: Lessons from past presidents,TED2008,http://www.wikidata.org/entity/Q22980266
OL659144A,Ronald E. Riggio,1,Q72594844,Ronald E. Riggio,researcher,http://www.wikidata.org/entity/Q72594844
OL4929480A,David Logan,1,Q509794,David Logan,American basketball player,http://www.wikidata.org/entity/Q509794
OL4929480A,David Logan,2,Q57891506,David Logan,"British diplomat (-1943). Counsellor and Head of Chancery, Embassy, Norway 1982-1986, Head of Personnel Operations Department, Foreign and Commonwealth Office 1986-1988, Minister, U.S.S.R./Russia 1989-1992, Assistant Under-Secretary for Foreign and C",http://www.wikidata.org/entity/Q57891506
OL4929480A,David Logan,3,Q124200926,David Logan,,http://www.wikidata.org/entity/Q124200926
OL4929480A,David Logan,4,Q120416079,David Logan,1780 - est. 1821,http://www.wikidata.org/entity/Q120416079
OL4929480A,David Logan,5,Q43170241,David C Logan,researcher,http://www.wikidata.org/entity/Q43170241
OL2632097A,Dave Logan,1,Q16731592,Dave Logan,American author and professor,http://www.wikidata.org/entity/Q16731592
OL2632097A,Dave Logan,2,Q5229217,Dave Logan,American football player (born 1954),http://www.wikidata.org/entity/Q5229217
OL2632097A,Dave Logan,3,Q5236735,David Logan,American football player (1956-1999),http://www.wikidata.org/entity/Q5236735
OL2632097A,Dave Logan,4,Q5229218,Dave Logan,Canadian ice hockey defenceman,http://www.wikidata.org/entity/Q5229218
OL2632097A,Dave Logan,5,Q137681686,David Logan,Canadian political candidate,http://www.wikidata.org/entity/Q137681686
OL2632098A,John King,1,Q671520,John King,English writer (born 1960),http://www.wikidata.org/entity/Q671520
OL2632098A,John King,2,Q6243132,John King,American music producer (born 1953),http://www.wikidata.org/entity/Q6243132
OL2632098A,John King,3,Q6243110,John King Jr.,American politician (born 1975); 10th United States Secretary of Education,http://www.wikidata.org/entity/Q6243110
OL2632098A,John King,4,Q6243129,John King,American journalist (born 1963),http://www.wikidata.org/entity/Q6243129
OL2632098A,John King,5,Q1700706,John King,Irish soldier and Australian explorer (1838–1872),http://www.wikidata.org/entity/Q1700706
OL2632099A,Halee Fischer-Wright,1,Q43110878,Halee Fischer-Wright,American physician,http://www.wikidata.org/entity/Q43110878
OL386286A,Joe D. Batten,1,Q112373371,Joe D. Batten,,http://www.wikidata.org/entity/Q112373371
OL54602A,Rudolph W. Giuliani,1,Q212648,Rudy Giuliani,American attorney and politician (born 1944),http://www.wikidata.org/entity/Q212648
OL219764A,Patrick Lencioni,1,Q7147004,Patrick Lencioni,American writer,http://www.wikidata.org/entity/Q7147004
OL1236399A,John Heider,1,Q112418595,John Heider,,http://www.wikidata.org/entity/Q112418595
OL9507985A,Martin Tan,1,Q113503900,Martin Tank,- 1627 Wismar,http://www.wikidata.org/entity/Q113503900
OL9507985A,Martin Tan,2,Q100366657,Martín Tanaka,Peruvian sociologist and political scientist,http://www.wikidata.org/entity/Q100366657
OL9507985A,Martin Tan,3,Q62058462,Martin Tancer,Czech computer scientist,http://www.wikidata.org/entity/Q62058462
OL9507985A,Martin Tan,4,Q12326315,Martin Tancke,Danish diplomat,http://www.wikidata.org/entity/Q12326315
OL9507985A,Martin Tan,5,Q114326700,Martin Tancar,researcher,http://www.wikidata.org/entity/Q114326700
OL545889A,Lee G. Bolman,1,Q93239421,Lee G. Bolman,,http://www.wikidata.org/entity/Q93239421
OL2637309A,John Wooden,1,Q551032,John Wooden,American basketball coach (1910–2010),http://www.wikidata.org/entity/Q551032
OL2637309A,John Wooden,2,Q1702215,UCLA John Wooden Center,"building on the University of California, Los Angeles campus",http://www.wikidata.org/entity/Q1702215
OL2637309A,John Wooden,3,Q105695192,UCLA John Wooden Center West,"building on the University of California, Los Angeles campus",http://www.wikidata.org/entity/Q105695192
OL2637309A,John Wooden,4,Q22992234,John Wooden: The difference between winning and succeeding,TED2001,http://www.wikidata.org/entity/Q22992234
OL2637309A,John Wooden,5,Q11928245,John Woodenlegs,American Indian chief,http://www.wikidata.org/entity/Q11928245
OL220279A,David A. Aaker,1,Q1173491,David Allen Aaker,American economist,http://www.wikidata.org/entity/Q1173491
OL3480923A,Jill Barr,1,Q65018279,Jill Barrie,badminton player,http://www.wikidata.org/entity/Q65018279
OL3480923A,Jill Barr,2,Q57571533,Jill Barr-Walker,researcher ORCID ID = 0000-0002-8448-1184,http://www.wikidata.org/entity/Q57571533
OL3480923A,Jill Barr,3,Q105199208,Jill Barry,American politician from Connecticut (born 1973),http://www.wikidata.org/entity/Q105199208
OL3480923A,Jill Barr,4,Q75338767,Jill Kathleen Barrett-Lennard,(born 1946),http://www.wikidata.org/entity/Q75338767
OL3480923A,Jill Barr,5,Q43095225,Jill Barrow,British company director and public administrator,http://www.wikidata.org/entity/Q43095225
OL21502A,Kenneth H. Blanchard,1,Q320595,Kenneth Hartley Blanchard,American business writer,http://www.wikidata.org/entity/Q320595
OL2623346A,Patricia Zigarmi,1,Q120602364,Patricia Zigarmi,,http://www.wikidata.org/entity/Q120602364
OL2623347A,Drea Zigarmi,1,Q120602365,Drea Zigarmi,,http://www.wikidata.org/entity/Q120602365
OL778253A,Richard A. Gorton,1,Q139446157,Richard A. Gorton,,http://www.wikidata.org/entity/Q139446157
