openlibrary_author_key,author_name,status,candidate_count,error
OL383159A,Stephen R. Covey,success,2,
OL400156A,Gary A. Yukl,success,1,
OL1268A,Karjadi M.,no_candidate,0,
OL25389A,J. Oswald Sanders,no_candidate,0,
OL32040A,Peter Guy Northouse,no_candidate,0,
OL26423A,John C. Maxwell,success,2,
OL2655012A,Peter G. Northouse,no_candidate,0,
OL333669A,Bernard M. Bass,success,1,
OL7442788A,James Comey,success,1,
OL8118723A,James B. Comey,success,1,
OL2762041A,Erich Joachimsthaler,success,1,
OL383429A,Carl D. Glickman,no_candidate,0,
OL772556A,Stephen P. Gordon,success,2,
OL2672226A,Jovita M. Ross-Gordon,success,1,
OL3714825A,Simon Western,success,1,
OL7524018A,Jocko Willink,success,5,
OL236243A,Henry Kissinger,success,5,
OL241136A,Bruce J. Avolio,success,1,
OL770456A,Ann Lieberman,success,1,
OL1862946A,Lynne Miller,success,3,
OL10639050A,Halima Kabara,no_candidate,0,
OL8306843A,Jacklyn A. Bruce,no_candidate,0,
OL8306844A,Katherine E. McKee,no_candidate,0,
OL13197949A,Darcia Ann-Marie Roache,no_candidate,0,
OL3411846A,Karen Sobel Lojeski,success,1,
OL450844A,Mary K. Kohles,no_candidate,0,
OL3237212A,Miltiadis D. Lytras,success,1,
OL398134A,Terry D. Anderson,no_candidate,0,
OL1478161A,Terry Anderson,success,5,
OL8064183A,May Khadem,no_candidate,0,
OL8064184A,Joan Hernandez,success,5,
OL890886A,Donald W. Fogarty,no_candidate,0,
OL390077A,Harold Kerzner,success,1,
OL442735A,Mary Kay Ash,success,1,
OL1126608A,"Taylor, Stephen",success,2,
OL2021138A,Anna Sutton,success,3,
OL786466A,Mick Marchington,success,1,
OL535417A,Donald C. Mosley,success,1,
OL2629484A,Paul H. Pietri,no_candidate,0,
OL770018A,Leon C. Megginson,success,1,
OL2847832A,John Purcell,success,5,
OL2804440A,Jason Fried,success,5,
OL953741A,Everett E. Adam,success,1,
OL397998A,Richard B. Chase,success,1,
OL589008A,Joseph G. Monks,success,1,
OL3278571A,Gregory Frazier,success,1,
OL236061A,Jack R. Meredith,success,1,
OL392324A,Andrew Greasley,success,2,
OL5172814A,Alistair Brandon-Jones,no_candidate,0,
OL381502A,Roberta S. Russell,no_candidate,0,
OL2740534A,Roberta (Robin) Russell,no_candidate,0,
OL38917A,Robert Kreitner,success,1,
OL227214A,Don Hellriegel,no_candidate,0,
OL342981A,John W. Slocum,success,2,
OL491328A,Nancy J. Adler,success,1,
OL128085A,Keith Davis,success,5,
OL2639584A,Robert Konopaske,success,1,
OL228002A,John R. Schermerhorn,no_candidate,0,
