author_id,author_name,author_normalized
AUTHOR00001,A. Brem,a brem
AUTHOR00002,A. J. Strickland,a j strickland
AUTHOR00003,A. S. Kohli,a s kohli
AUTHOR00004,Aaron Antonovsky,aaron antonovsky
AUTHOR00005,Aaron Salko,aaron salko
AUTHOR00006,Abdullahi Sheikh Ali,abdullahi sheikh ali
AUTHOR00007,abraham holtzman,abraham holtzman
AUTHOR00008,Adam Alter,adam alter
AUTHOR00009,Adam Bryant,adam bryant
AUTHOR00010,Adam Christing,adam christing
AUTHOR00011,Adam Galinsky,adam galinsky
AUTHOR00012,Adam Grant,adam grant
AUTHOR00013,Adam Markel,adam markel
AUTHOR00014,Aditya Agashe,aditya agashe
AUTHOR00015,Adler; Elmhorst,adler elmhorst
AUTHOR00016,Admiral Bob Harward,admiral bob harward
AUTHOR00017,Admiral James Stavridis USN,admiral james stavridis usn
AUTHOR00018,Admiral Sandy Winnefeld,admiral sandy winnefeld
AUTHOR00019,Admiral William H. McRaven,admiral william h mcraven
AUTHOR00020,Adrian Kelly,adrian kelly
AUTHOR00021,Adrian Wilkinson,adrian wilkinson
AUTHOR00022,Afnan Alkhaldi,afnan alkhaldi
AUTHOR00023,Afsaneh Nahavandi,afsaneh nahavandi
AUTHOR00024,Agency for Instructional Technology,agency for instructional technology
AUTHOR00025,Ahmet Bozer,ahmet bozer
AUTHOR00026,Aixa A. Ritz,aixa a ritz
AUTHOR00027,"Ajay Agrawal, Joshua Gans and Avi Goldfarb",ajay agrawal joshua gans and avi goldfarb
AUTHOR00028,Al Bolea,al bolea
AUTHOR00029,Alain Verbeke,alain verbeke
AUTHOR00030,Alan B. Eisner,alan b eisner
AUTHOR00031,Alan Barker,alan barker
AUTHOR00032,Alan C. Walter,alan c walter
AUTHOR00033,Alan Ebenstein,alan ebenstein
AUTHOR00034,Alan J. Patricof,alan j patricof
AUTHOR00035,Alan M. Rugman,alan m rugman
AUTHOR00036,Alan Mortiboys,alan mortiboys
AUTHOR00037,Alan O. Ebenstein,alan o ebenstein
AUTHOR00038,Alan Rafael Seid Llamas,alan rafael seid llamas
AUTHOR00039,Alan Stein Jr.,alan stein jr
AUTHOR00040,Alan Weiss,alan weiss
AUTHOR00041,Alan Whitman,alan whitman
AUTHOR00042,Alan Ying and Doug Schneider,alan ying and doug schneider
AUTHOR00043,Albert Ellis,albert ellis
AUTHOR00044,Albert Mehrabian,albert mehrabian
AUTHOR00045,Albert Mohler,albert mohler
AUTHOR00046,Albie Brooks,albie brooks
AUTHOR00047,Alden Mills,alden mills
AUTHOR00048,Alec Ingold,alec ingold
AUTHOR00049,Alec Nevala-Lee,alec nevala lee
AUTHOR00050,Alejandro Reyes,alejandro reyes
AUTHOR00051,Alex Brueckmann,alex brueckmann
AUTHOR00052,Alex Budak,alex budak
AUTHOR00053,Alex Edmans,alex edmans
AUTHOR00054,Alex Toussaint,alex toussaint
AUTHOR00055,Alexa Chilcutt and Carl DuPont,alexa chilcutt and carl dupont
AUTHOR00056,Alexander Brem,alexander brem
AUTHOR00057,Alexandra Nicole Nolan,alexandra nicole nolan
