book_id,author_id
BOOK00001,AUTHOR02055
BOOK00002,AUTHOR00679
BOOK00003,AUTHOR01157
BOOK00004,AUTHOR00828
BOOK00005,AUTHOR01667
BOOK00006,AUTHOR01030
BOOK00007,AUTHOR01665
BOOK00008,AUTHOR00189
BOOK00009,AUTHOR00862
BOOK00009,AUTHOR00855
BOOK00010,AUTHOR02129
BOOK00010,AUTHOR00521
BOOK00011,AUTHOR00586
BOOK00012,AUTHOR01801
BOOK00012,AUTHOR01831
BOOK00012,AUTHOR00724
BOOK00012,AUTHOR01798
BOOK00012,AUTHOR01842
BOOK00012,AUTHOR00723
BOOK00013,AUTHOR00540
BOOK00014,AUTHOR00873
BOOK00015,AUTHOR01862
BOOK00016,AUTHOR00871
BOOK00016,AUTHOR00173
BOOK00016,AUTHOR00583
BOOK00016,AUTHOR00171
BOOK00017,AUTHOR01966
BOOK00017,AUTHOR01679
BOOK00018,AUTHOR01801
BOOK00019,AUTHOR00545
BOOK00020,AUTHOR01471
BOOK00020,AUTHOR00379
BOOK00021,AUTHOR00189
BOOK00021,AUTHOR01892
BOOK00022,AUTHOR00466
BOOK00022,AUTHOR00433
BOOK00022,AUTHOR01047
BOOK00022,AUTHOR00759
BOOK00022,AUTHOR01221
BOOK00022,AUTHOR01048
BOOK00023,AUTHOR01002
BOOK00024,AUTHOR00873
BOOK00025,AUTHOR01911
BOOK00026,AUTHOR00189
BOOK00026,AUTHOR01892
BOOK00027,AUTHOR01603
BOOK00028,AUTHOR01041
BOOK00029,AUTHOR00871
BOOK00029,AUTHOR00173
BOOK00029,AUTHOR00195
BOOK00029,AUTHOR00689
BOOK00029,AUTHOR01379
BOOK00030,AUTHOR01262
BOOK00031,AUTHOR01074
BOOK00032,AUTHOR00437
BOOK00032,AUTHOR00622
BOOK00033,AUTHOR00269
BOOK00033,AUTHOR02053
BOOK00033,AUTHOR01116
BOOK00034,AUTHOR02019
BOOK00035,AUTHOR00999
BOOK00036,AUTHOR00785
BOOK00037,AUTHOR00189
BOOK00037,AUTHOR00248
