book_id,category_id
BOOK00001,CAT01180
BOOK00001,CAT01688
BOOK00001,CAT01969
BOOK00001,CAT01680
BOOK00001,CAT00407
BOOK00001,CAT01970
BOOK00001,CAT00143
BOOK00001,CAT00065
BOOK00001,CAT01973
BOOK00002,CAT01447
BOOK00002,CAT01618
BOOK00002,CAT00744
BOOK00002,CAT01180
BOOK00002,CAT01487
BOOK00002,CAT01466
BOOK00002,CAT00576
BOOK00002,CAT01236
BOOK00002,CAT00746
BOOK00002,CAT01592
BOOK00002,CAT00637
BOOK00002,CAT00846
BOOK00002,CAT01617
BOOK00002,CAT00043
BOOK00002,CAT00853
BOOK00002,CAT01461
BOOK00002,CAT01203
BOOK00002,CAT00155
BOOK00002,CAT00778
BOOK00002,CAT01479
BOOK00002,CAT01270
BOOK00002,CAT01448
BOOK00002,CAT01197
BOOK00002,CAT01457
BOOK00002,CAT01459
BOOK00002,CAT01460
BOOK00002,CAT00209
BOOK00002,CAT01470
BOOK00003,CAT01180
BOOK00004,CAT00367
BOOK00004,CAT01180
BOOK00004,CAT01920
BOOK00005,CAT00342
BOOK00005,CAT01203
BOOK00005,CAT01180
BOOK00005,CAT00345
BOOK00005,CAT00853
BOOK00005,CAT01191
BOOK00005,CAT00980
BOOK00005,CAT00014
BOOK00006,CAT01180
BOOK00006,CAT01020
BOOK00006,CAT00605
BOOK00006,CAT01210
BOOK00006,CAT01013
BOOK00006,CAT00873
BOOK00007,CAT01180
BOOK00007,CAT00345
BOOK00007,CAT01904
BOOK00007,CAT00853
BOOK00007,CAT01191
BOOK00007,CAT00979
BOOK00007,CAT00014
BOOK00008,CAT01180
BOOK00008,CAT01210
BOOK00009,CAT01582
BOOK00009,CAT01430
BOOK00009,CAT02101
BOOK00009,CAT02084
BOOK00009,CAT01180
BOOK00009,CAT00231
BOOK00009,CAT01567
BOOK00009,CAT01566
BOOK00009,CAT02141
BOOK00009,CAT02099
BOOK00009,CAT00678
BOOK00009,CAT01607
BOOK00009,CAT01174
BOOK00009,CAT01515
BOOK00009,CAT02087
BOOK00009,CAT02092
BOOK00009,CAT02093
BOOK00009,CAT02091
BOOK00009,CAT01177
BOOK00009,CAT02095
BOOK00009,CAT01420
BOOK00009,CAT01385
BOOK00009,CAT01386
BOOK00009,CAT02094
BOOK00009,CAT00233
BOOK00009,CAT01574
BOOK00009,CAT00973
BOOK00009,CAT02086
BOOK00010,CAT00206
BOOK00010,CAT00250
BOOK00010,CAT01395
BOOK00010,CAT01180
BOOK00010,CAT01813
BOOK00010,CAT00623
BOOK00010,CAT00251
BOOK00010,CAT01236
BOOK00010,CAT01255
BOOK00010,CAT00640
BOOK00011,CAT01180
BOOK00011,CAT01020
BOOK00011,CAT00873
BOOK00011,CAT00272
BOOK00011,CAT00277
BOOK00011,CAT00278
BOOK00011,CAT00283
BOOK00011,CAT00276
BOOK00012,CAT01180
BOOK00012,CAT01236
BOOK00012,CAT01203
BOOK00012,CAT01237
