book_id,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count
BOOK00001,4.5,2.0,21.0,145.0,15.0,6.0
BOOK00002,5.0,1.0,26.0,110.0,12.0,0.0
BOOK00003,1.0,1.0,1.0,41.0,2.0,18.0
BOOK00004,5.0,3.0,8.0,74.0,7.0,2.0
BOOK00005,3.6666667,3.0,5.0,67.0,4.0,3.0
BOOK00006,4.1666665,12.0,12.0,274.0,13.0,14.0
BOOK00007,5.0,3.0,8.0,50.0,2.0,2.0
BOOK00008,3.0,2.0,1.0,141.0,14.0,9.0
BOOK00009,4.3,10.0,9.0,20.0,0.0,14.0
BOOK00010,4.1666665,6.0,31.0,65.0,4.0,10.0
BOOK00011,5.0,1.0,12.0,32.0,3.0,1.0
BOOK00012,,,11.0,37.0,6.0,2.0
BOOK00013,4.75,4.0,3.0,92.0,5.0,4.0
BOOK00014,5.0,1.0,4.0,59.0,3.0,0.0
BOOK00015,4.5,4.0,5.0,48.0,4.0,1.0
BOOK00016,5.0,1.0,40.0,33.0,3.0,1.0
BOOK00017,5.0,1.0,10.0,41.0,1.0,2.0
BOOK00018,,,1.0,72.0,8.0,0.0
BOOK00019,,,11.0,35.0,3.0,2.0
BOOK00020,4.0,1.0,7.0,32.0,3.0,1.0
BOOK00021,5.0,1.0,9.0,28.0,1.0,2.0
BOOK00022,,,13.0,31.0,2.0,4.0
BOOK00023,5.0,1.0,3.0,32.0,2.0,1.0
BOOK00024,1.0,1.0,6.0,28.0,2.0,1.0
BOOK00025,,,5.0,21.0,2.0,1.0
BOOK00026,,,1.0,40.0,0.0,0.0
BOOK00027,3.6,10.0,18.0,78.0,1.0,13.0
BOOK00028,5.0,1.0,14.0,42.0,5.0,1.0
BOOK00029,,,39.0,12.0,1.0,0.0
BOOK00030,,,36.0,27.0,1.0,1.0
BOOK00031,5.0,1.0,3.0,36.0,1.0,2.0
BOOK00032,,,5.0,31.0,1.0,0.0
BOOK00033,5.0,2.0,15.0,19.0,1.0,3.0
BOOK00034,,,13.0,13.0,0.0,0.0
BOOK00035,4.0,1.0,7.0,26.0,0.0,2.0
BOOK00036,,,10.0,26.0,0.0,1.0
BOOK00037,5.0,2.0,2.0,37.0,2.0,3.0
BOOK00038,,,5.0,28.0,0.0,0.0
BOOK00039,,,7.0,12.0,1.0,0.0
BOOK00040,,,8.0,12.0,0.0,0.0
BOOK00041,,,16.0,12.0,0.0,0.0
BOOK00042,4.0,1.0,5.0,22.0,4.0,1.0
BOOK00043,4.3333335,3.0,7.0,23.0,2.0,4.0
BOOK00044,5.0,2.0,7.0,15.0,3.0,2.0
BOOK00045,,,7.0,14.0,1.0,1.0
BOOK00046,5.0,1.0,2.0,23.0,1.0,0.0
BOOK00047,3.6666667,3.0,22.0,63.0,7.0,4.0
BOOK00048,3.5,2.0,1.0,102.0,5.0,5.0
BOOK00049,,,3.0,17.0,2.0,0.0
BOOK00050,,,2.0,15.0,2.0,1.0
BOOK00051,,,4.0,10.0,2.0,0.0
BOOK00052,1.0,1.0,1.0,11.0,1.0,0.0
BOOK00053,,,4.0,5.0,1.0,0.0
BOOK00054,,,7.0,2.0,0.0,0.0
BOOK00055,,,8.0,2.0,0.0,0.0
BOOK00056,,,6.0,1.0,0.0,0.0
BOOK00057,,,3.0,2.0,0.0,0.0
BOOK00058,,,8.0,,,
BOOK00059,,,5.0,2.0,0.0,0.0
BOOK00060,,,5.0,1.0,0.0,0.0
BOOK00061,,,1.0,4.0,0.0,0.0
BOOK00062,,,2.0,3.0,0.0,0.0
BOOK00063,,,1.0,2.0,1.0,0.0
BOOK00064,5.0,1.0,2.0,5.0,1.0,3.0
BOOK00065,2.0,1.0,4.0,0.0,0.0,1.0
BOOK00066,,,8.0,,,
BOOK00067,,,4.0,1.0,0.0,0.0
BOOK00068,,,2.0,2.0,0.0,0.0
BOOK00069,,,2.0,1.0,0.0,0.0
BOOK00070,,,4.0,2.0,0.0,0.0
BOOK00071,,,5.0,,,
BOOK00072,,,4.0,2.0,0.0,0.0
BOOK00073,,,6.0,,,
BOOK00074,,,4.0,2.0,0.0,0.0
BOOK00075,,,2.0,2.0,0.0,0.0
BOOK00076,,,7.0,,,
BOOK00077,,,6.0,3.0,0.0,0.0
BOOK00078,,,6.0,,,
BOOK00079,,,6.0,,,
BOOK00080,,,1.0,3.0,0.0,0.0
BOOK00081,,,5.0,,,
BOOK00082,,,1.0,2.0,0.0,0.0
BOOK00083,,,1.0,2.0,0.0,0.0
BOOK00084,,,3.0,4.0,0.0,0.0
BOOK00085,,,5.0,,,
BOOK00086,,,1.0,2.0,0.0,0.0
BOOK00087,,,1.0,1.0,0.0,0.0
BOOK00088,,,2.0,1.0,0.0,0.0
BOOK00089,,,5.0,1.0,0.0,0.0
BOOK00090,,,5.0,1.0,0.0,0.0
BOOK00091,,,4.0,1.0,0.0,0.0
BOOK00092,,,3.0,1.0,0.0,0.0
BOOK00093,,,3.0,,,
BOOK00094,,,3.0,,,
BOOK00095,,,3.0,0.0,1.0,0.0
BOOK00096,,,1.0,1.0,0.0,0.0
BOOK00097,,,6.0,1.0,0.0,0.0
BOOK00098,,,1.0,1.0,0.0,0.0
BOOK00099,5.0,1.0,3.0,8.0,2.0,2.0
BOOK00100,,,5.0,3.0,0.0,0.0
BOOK00101,,,6.0,1.0,0.0,0.0
BOOK00102,,,6.0,,,
BOOK00103,,,1.0,1.0,0.0,0.0
BOOK00104,3.625,8.0,43.0,145.0,10.0,15.0
BOOK00105,,,2.0,1.0,0.0,0.0
BOOK00106,,,5.0,,,
BOOK00107,,,5.0,,,
BOOK00108,,,4.0,0.0,0.0,0.0
BOOK00109,,,3.0,,,
BOOK00110,,,3.0,0.0,0.0,0.0
BOOK00111,,,3.0,,,
BOOK00112,,,2.0,0.0,0.0,0.0
BOOK00113,,,2.0,,,
BOOK00114,,,2.0,,,
BOOK00115,,,2.0,,,
BOOK00116,,,1.0,0.0,0.0,1.0
BOOK00117,,,2.0,,,
BOOK00118,,,2.0,,,
BOOK00119,0.0,0.0,2.0,0.0,0.0,0.0
BOOK00120,,,1.0,2.0,0.0,0.0
BOOK00121,,,1.0,0.0,0.0,0.0
BOOK00122,0.0,0.0,1.0,0.0,0.0,0.0
BOOK00123,,,1.0,,,
BOOK00124,,,1.0,,,
BOOK00125,,,1.0,,,
BOOK00126,,,1.0,,,
BOOK00127,,,2.0,,,
BOOK00128,,,1.0,,,
BOOK00129,,,1.0,,,
BOOK00130,,,3.0,1.0,0.0,0.0
BOOK00131,,,7.0,,,
BOOK00132,,,1.0,,,
BOOK00133,,,1.0,,,
BOOK00134,,,2.0,,,
BOOK00135,,,1.0,,,
BOOK00136,,,2.0,,,
BOOK00137,,,1.0,,,
BOOK00138,,,1.0,,,
BOOK00139,,,1.0,,,
BOOK00140,,,3.0,,,
