book_id,title,description,first_publish_year,publication_year_observed,cover_url,openlibrary_key,source_openlibrary,source_leadershipnow
BOOK00001,Principle-Centered Leadership,"How do we as individuals and organizations survive and thrive amid tremendous change? Why are efforts to improve falling so short in real results despite the millions of dollars in time, capital, and human effort being spent on them? How do we unleash the creativity, talent, and energy within ourselves and others in the midst of pressure? Is it realistic to believe that balance among personal, family, and professional life is possible? The answer to these and other dilemmas is Principle-Centered Leadership, a long-term, inside-out approach to developing people and organizations. The key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations. Dr. Covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity, but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced, more rewarding, more effective life.",1989.0,,https://covers.openlibrary.org/b/id/10858615-L.jpg,/works/OL2630041W,True,False
BOOK00002,Leadership in Organizations,,1981.0,,https://covers.openlibrary.org/b/id/87719-L.jpg,/works/OL2731767W,True,False
BOOK00003,Kepemimpinan =,,1977.0,,https://covers.openlibrary.org/b/id/14420782-L.jpg,/works/OL302757W,True,False
BOOK00004,Spiritual leadership,,1967.0,,https://covers.openlibrary.org/b/id/570509-L.jpg,/works/OL450702W,True,False
BOOK00005,Leadership,,1997.0,,https://covers.openlibrary.org/b/id/3859675-L.jpg,/works/OL94176W,True,False
BOOK00006,The 21 Irrefutable Laws of Leadership,,1998.0,,https://covers.openlibrary.org/b/id/1465659-L.jpg,/works/OL28124W,True,False
BOOK00007,Leadership,"""The Third Edition of this bestselling text reviews and analyzes the foremost leadership theories, giving special attention to how each theoretical approach can be applied in real-world organizations. For anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced, Leadership: Theory and Practice is an indispensable tool. Adopted as a textbook at over 250 colleges and universities, this bestselling volume is equally useful for private-sector leadership development training programs.""--Jacket.",2000.0,,https://covers.openlibrary.org/b/id/511761-L.jpg,/works/OL7956784W,True,False
BOOK00008,Leadership and performance beyond expectations,,1985.0,,https://covers.openlibrary.org/b/id/18608-L.jpg,/works/OL2421691W,True,False
BOOK00009,A Higher Loyalty,The former FBI director shares his experiences over the past two decades working in the American government and explores ethical leadership and how it drives sound decision-making.,2018.0,,https://covers.openlibrary.org/b/id/10597437-L.jpg,/works/OL18146967W,True,False
BOOK00010,Leadership and Self Deception,"This phenomenal bestseller * over 700,000 copies sold * changes readers? lives and helps them transform their organizations. In this new edition, the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book.",2000.0,,https://covers.openlibrary.org/b/id/831276-L.jpg,/works/OL8921343W,True,False
BOOK00011,Leadership,,2013.0,,https://covers.openlibrary.org/b/id/13806636-L.jpg,/works/OL19982874W,True,False
BOOK00012,Leadership,,1993.0,,https://covers.openlibrary.org/b/id/63396-L.jpg,/works/OL1947324W,True,False
