category_id,category_name,category_normalized
CAT00001,0 Gesamtdarstellung,0 gesamtdarstellung
CAT00002,005.1,005.1
CAT00003,152.4,152.4
CAT00004,152.4 bra,152.4 bra
CAT00005,153.8/3,153.8/3
CAT00006,158,158
CAT00007,174/.4,174/.4
CAT00008,1860 Republican National Convention,1860 republican national convention
CAT00009,1864 presidential election,1864 presidential election
CAT00010,19th Century,19th century
CAT00011,2013 d-645,2013 d-645
CAT00012,3-D printing,3-d printing
CAT00013,302.3/5,302.3/5
CAT00014,303.3/4,303.3/4
CAT00015,320.5/4,320.5/4
CAT00016,320.54,320.54
CAT00017,320.6,320.6
CAT00018,352.34,352.34
CAT00019,353.007/2,353.007/2
CAT00020,362.1068,362.1068
CAT00021,378.1/01,378.1/01
CAT00022,621.382,621.382
CAT00023,658,658
CAT00024,658.15/1,658.15/1
CAT00025,658.3,658.3
CAT00026,658.4,658.4
CAT00027,658.4/012,658.4/012
CAT00028,658.4/03,658.4/03
CAT00029,658.4/036,658.4/036
CAT00030,658.4/038,658.4/038
CAT00031,658.4/038011,658.4/038011
CAT00032,658.4/04,658.4/04
CAT00033,658.4/063,658.4/063
CAT00034,658.4/09/019,658.4/09/019
CAT00035,658.4/092,658.4/092
CAT00036,658.402,658.402
CAT00037,658.406,658.406
CAT00038,658.7,658.7
CAT00039,658.8/7,658.8/7
CAT00040,77.63 social interaction and relations,77.63 social interaction and relations
CAT00041,81.40 educational organization on meso-level: general,81.40 educational organization on meso-level: general
CAT00042,85.08,85.08
CAT00043,85.08 organizational sociology and psychology,85.08 organizational sociology and psychology
CAT00044,85.10,85.10
CAT00045,85.10 strategic management,85.10 strategic management
CAT00046,85.62 personnel management,85.62 personnel management
CAT00047,"86.43 criminal procedure law, criminal law sanctions","86.43 criminal procedure law, criminal law sanctions"
CAT00048,88.20,88.20
CAT00049,[manuel],[manuel]
CAT00050,A Industrial management,a industrial management
CAT00051,A Management science,a management science
CAT00052,abolitionism in the United States,abolitionism in the united states
CAT00053,Academic-industrial collaboration,academic-industrial collaboration
CAT00054,Accountancy,accountancy
CAT00055,Accountants,accountants
CAT00056,Accountants -- Certification -- Great Britain -- Examinations -- Study guides,accountants -- certification -- great britain -- examinations -- study guides
CAT00057,Accounting,accounting
CAT00058,Accounting -- Examinations,accounting -- examinations
CAT00059,Accounting -- Great Britain -- Examinations -- Study guides,accounting -- great britain -- examinations -- study guides
CAT00060,"Accounting, auditing","accounting, auditing"
CAT00061,"Accounting, examinations, questions, etc.","accounting, examinations, questions, etc."
CAT00062,"Accounting, problems, exercises, etc.","accounting, problems, exercises, etc."
CAT00063,"Accounting, standards","accounting, standards"
CAT00064,Accounting.,accounting.
CAT00065,Achievement,achievement
CAT00066,Achievement motivation,achievement motivation
CAT00067,Acting,acting
CAT00068,"Acting, vocational guidance","acting, vocational guidance"
CAT00069,Activity-based costing,activity-based costing
CAT00070,Actualización de sí mismo (Psicología),actualización de sí mismo (psicología)
CAT00071,Adaptation au changement,adaptation au changement
CAT00072,Additive manufacturing,additive manufacturing
CAT00073,"Addresses, essays, lectures","addresses, essays, lectures"
CAT00074,Adjustment (Psychology),adjustment (psychology)
CAT00075,Administracao,administracao
CAT00076,Administracao Da Producao,administracao da producao
CAT00077,Administracao De Empresas,administracao de empresas
CAT00078,Administracao De Pessoal,administracao de pessoal
CAT00079,Administracao financeira,administracao financeira
CAT00080,ADMINISTRACION,administracion
CAT00081,Administracion de proyectos industriales,administracion de proyectos industriales
CAT00082,Administracion de riesgos,administracion de riesgos
CAT00083,Administracion del tiempo,administracion del tiempo
CAT00084,Administración,administración
CAT00085,Administración de la producción,administración de la producción
CAT00086,Administración de personal,administración de personal
CAT00087,Administración de proyectos,administración de proyectos
CAT00088,Administración industrial,administración industrial
CAT00089,Administracʹao da producʹao,administracʹao da producʹao
CAT00090,Administracʹao estrategica (gerenciamento),administracʹao estrategica (gerenciamento)
CAT00091,Administradores,administradores
CAT00092,Administrateurs scolaires,administrateurs scolaires
CAT00093,Administration,administration
CAT00094,Administration - General,administration - general
CAT00095,Administration and management,administration and management
CAT00096,Administration of Criminal justice,administration of criminal justice
CAT00097,Administration of justice,administration of justice
CAT00098,Administration publique (Science),administration publique (science)
CAT00099,Administration scolaire,administration scolaire
CAT00100,Administrative agencies,administrative agencies
CAT00101,Administrative Personnel,administrative personnel
CAT00102,Administração,administração
CAT00103,Administração da produção,administração da produção
CAT00104,Administração de empresas,administração de empresas
CAT00105,Administração de projetos,administração de projetos
CAT00106,Administração estratégica,administração estratégica
CAT00107,Administração estratégica (gerenciamento),administração estratégica (gerenciamento)
CAT00108,Administração financeira,administração financeira
CAT00109,Administração florestal,administração florestal
CAT00110,Administração florestal (aspectos sociais),administração florestal (aspectos sociais)
CAT00111,Adult education,adult education
CAT00112,Advertising,advertising
CAT00113,Advertising & Promotion,advertising & promotion
CAT00114,Affaires,affaires
CAT00115,Affective education,affective education
CAT00116,Affektive Bindung,affektive bindung
CAT00117,African American Studies,african american studies
CAT00118,African Americans,african americans
CAT00119,Afro-Americans,afro-americans
CAT00120,Agile software development,agile software development
CAT00121,Agile software development--management,agile software development--management
CAT00122,Agriculture,agriculture
CAT00123,Alienation (Social psychology),alienation (social psychology)
CAT00124,Allied health & medical -> medical -> urology,allied health & medical -> medical -> urology
CAT00125,Ambtenaren,ambtenaren
CAT00126,American Civil War,american civil war
CAT00127,American fiction (fictional works by one author),american fiction (fictional works by one author)
CAT00128,American literature,american literature
CAT00129,Amis et relations,amis et relations
CAT00130,Analog electronic systems,analog electronic systems
CAT00131,Analog-to-digital converters,analog-to-digital converters
CAT00132,Analyse,analyse
CAT00133,Analyse financière,analyse financière
CAT00134,Analytische Methode,analytische methode
CAT00135,and relationship management,and relationship management
