epoch,training_mse,validation_mse
1,0.0026690639987201,0.0021750652748677
2,0.0020591190067858,0.0021497596517886
3,0.0020246893840552,0.0021070977718587
4,0.0019531280499509,0.0020325695776252
5,0.0018481717576045,0.0019344977419701
6,0.0017468973013366,0.0018393125193303
7,0.0016633374655634,0.0017752147339028
8,0.001597994858926,0.0017253700331815
9,0.0015428230265567,0.0016800699652069
10,0.0014949167207279,0.0016414360995434
11,0.0014554142710004,0.0016073576339027
12,0.0014197300882822,0.0015817326455517
13,0.0013846810535379,0.0015632145561801
14,0.0013605065562916,0.0015537452152047
15,0.0013332498398105,0.0015283876077387
16,0.0013054094667982,0.0015088600567633
17,0.0012821343121528,0.0014919357388006
18,0.0012592847973593,0.0014762349055434
19,0.001235322379481,0.0014584361654675
20,0.0012157987376038,0.0014460388269713
21,0.0011950652222657,0.0014284910943079
22,0.0011769900827587,0.0014203220828028
23,0.001158213178648,0.0014020857900332
24,0.0011391233071079,0.0013907642698743
25,0.0011241013433325,0.0013807414927416
26,0.0011101974763304,0.001371985961823
27,0.0010943870658201,0.001365378947192
28,0.0010788475834381,0.0013513258632479
29,0.0010628712413107,0.0013452158073645
30,0.001047774498463,0.0013339715215432
31,0.0010357732145658,0.0013283364302813
32,0.0010233304185495,0.0013226099682095
33,0.0010126984478639,0.0013150479005394
34,0.0010003858785267,0.0013054883924732
35,0.0009926083052259,0.0013025530410041
36,0.0009830860331059,0.0012976459137717
37,0.0009724836045203,0.0012917719298998
38,0.0009626527947858,0.0012848057717182
39,0.0009546459436283,0.0012840934050592
40,0.0009465659577242,0.0012784966129164
41,0.0009390827583368,0.0012739461175549
42,0.0009321618690846,0.0012711805764743
43,0.0009235783065317,0.0012686796238329
44,0.0009159526157685,0.0012595661979753
45,0.0009066855478823,0.0012563223915564
46,0.0008977614773609,0.0012508345466545
47,0.0008925667240646,0.0012503189530856
48,0.000886657092158,0.0012452773463735
49,0.0008821795072996,0.0012425677029087
50,0.0008760453514879,0.0012403903863837
