book_id,canonical_title,authors,source_group,source_openlibrary,source_leadershipnow,first_publish_year,publication_year_observed,book_age_from_first_publish,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count,total_reader_engagement,format,page_count,has_authors,has_description,has_subjects,has_cover,has_rating,has_engagement,has_first_publish_year,has_observed_publication_year,has_edition_metadata,has_page_count,content_component_count,content_depth,core_word_count,enriched_word_count,additional_semantic_words,topic_cluster,cluster_label,cluster_status,cluster_label_display,cover_url
BOOK00001,Principle-Centered Leadership,['Stephen R. Covey'],Open Library only,True,False,1989,,37.0,4.5,2.0,21.0,145.0,15.0,6.0,166.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,5,199,194,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,https://covers.openlibrary.org/b/id/10858615-L.jpg
BOOK00002,Leadership in Organizations,['Gary A. Yukl'],Open Library only,True,False,1981,,45.0,5.0,1.0,26.0,110.0,12.0,0.0,122.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,6,51,45,4,Decision Making,Clustered,Decision Making,https://covers.openlibrary.org/b/id/87719-L.jpg
BOOK00003,Kepemimpinan =,['Karjadi M.'],Open Library only,True,False,1977,,49.0,1.0,1.0,1.0,41.0,2.0,18.0,61.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,4,5,1,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/14420782-L.jpg
BOOK00004,Spiritual leadership,['J. Oswald Sanders'],Open Library only,True,False,1967,,59.0,5.0,3.0,8.0,74.0,7.0,2.0,83.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,5,10,5,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/570509-L.jpg
BOOK00005,Leadership,['Peter Guy Northouse'],Open Library only,True,False,1997,,29.0,3.6666667,3.0,5.0,67.0,4.0,3.0,74.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,4,18,14,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/3859675-L.jpg
BOOK00006,The 21 Irrefutable Laws of Leadership,['John C. Maxwell'],Open Library only,True,False,1998,,28.0,4.1666665,12.0,12.0,274.0,13.0,14.0,301.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,9,19,10,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/1465659-L.jpg
BOOK00007,Leadership,['Peter G. Northouse'],Open Library only,True,False,2000,,26.0,5.0,3.0,8.0,50.0,2.0,2.0,54.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,4,93,89,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/511761-L.jpg
BOOK00008,Leadership and performance beyond expectations,['Bernard M. Bass'],Open Library only,True,False,1985,,41.0,3.0,2.0,1.0,141.0,14.0,9.0,164.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,8,10,2,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/18608-L.jpg
BOOK00009,A Higher Loyalty,"['James Comey', 'James B. Comey', 'James Comey']",Open Library only,True,False,2018,,8.0,4.3,10.0,9.0,20.0,0.0,14.0,34.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,10,145,135,3,Future Thinking and Personal Development,Clustered,Future Thinking and Personal Development,https://covers.openlibrary.org/b/id/10597437-L.jpg
BOOK00010,Leadership and Self Deception,"['The Arbinger Institute', 'Dick Ruhe']",Open Library only,True,False,2000,,26.0,4.1666665,6.0,31.0,65.0,4.0,10.0,79.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,9,84,75,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/831276-L.jpg
