query_book_id,recommendations_returned,recommendations_with_cluster,unique_topic_clusters,cluster_diversity_ratio,query_title,query_authors,query_source_group,query_topic
BOOK00001,10,10,7,0.7,Principle-Centered Leadership,['Stephen R. Covey'],Open Library only,Broad Leadership and Success
BOOK00002,10,10,4,0.4,Leadership in Organizations,['Gary A. Yukl'],Open Library only,Decision Making
BOOK00003,10,10,5,0.5,Kepemimpinan =,['Karjadi M.'],Open Library only,Transformational Leadership
BOOK00004,10,9,3,0.3333333333333333,Spiritual leadership,['J. Oswald Sanders'],Open Library only,Transformational Leadership
BOOK00005,10,9,4,0.4444444444444444,Leadership,['Peter Guy Northouse'],Open Library only,Transformational Leadership
BOOK00006,10,10,7,0.7,The 21 Irrefutable Laws of Leadership,['John C. Maxwell'],Open Library only,Transformational Leadership
BOOK00007,10,10,3,0.3,Leadership,['Peter G. Northouse'],Open Library only,Leadership Development
BOOK00008,10,10,4,0.4,Leadership and performance beyond expectations,['Bernard M. Bass'],Open Library only,Transformational Leadership
BOOK00009,10,10,3,0.3,A Higher Loyalty,"['James Comey', 'James B. Comey', 'James Comey']",Open Library only,Future Thinking and Personal Development
BOOK00010,10,10,5,0.5,Leadership and Self Deception,"['The Arbinger Institute', 'Dick Ruhe']",Open Library only,General Business and Management
BOOK00011,10,10,3,0.3,Leadership,['Elesa Zehndorfer'],Open Library only,General Business and Management
BOOK00012,10,7,5,0.7142857142857143,Leadership,"['Richard L. Hughes', 'Robert C. Ginnett', 'Gordon J Curphy', 'Richard Hughes', 'Robert Ginnett', 'Gordon Curphy', 'Gordon J. Curphy']",Open Library only,General Business and Management
BOOK00013,10,10,5,0.5,Lincoln on Leadership,['Donald T. Phillips'],Open Library only,Future Thinking and Personal Development
BOOK00014,10,10,6,0.6,Leadership,['James MacGregor Burns'],Open Library only,Transformational Leadership
BOOK00015,10,10,3,0.3,Leadership,['Robert N. Lussier'],Open Library only,Leadership Development
BOOK00016,10,10,6,0.6,The leadership challenge,"['James M. Kouzes', 'Barry Z. Posner', 'Elaine Biech', 'Barry Posner']",Both,Broad Leadership and Success
BOOK00017,10,10,5,0.5,ORGANIZATIONAL CULTURE AND LEADERSHIP,"['Schein, Edgar H.', 'Peter Schein']",Open Library only,Organizational Culture and Trust
BOOK00018,10,7,3,0.4285714285714285,Leadership,['Richard L. Hughes'],Open Library only,Transformational Leadership
BOOK00019,10,10,6,0.6,Leadership In Turbulent Times,"['Doris Kearns Goodwin', 'Doris Kearns Goodwin']",Open Library only,Future Thinking and Personal Development
BOOK00020,10,10,5,0.5,Leadership,"['Michael Z. Hackman', 'Craig E. Johnson']",Open Library only,General Business and Management
BOOK00021,10,10,2,0.2,Transformational Leadership,"['Bernard M. Bass', 'Ronald E. Riggio']",Open Library only,Transformational Leadership
BOOK00022,10,9,5,0.5555555555555556,Tribal leadership,"['David Logan', 'Dave Logan', 'John King', 'Halee Fischer-Wright', 'King, John, III', 'John King (undifferentiated)']",Open Library only,Broad Leadership and Success
BOOK00023,10,10,4,0.4,Tough Minded Leadership,['Joe D. Batten'],Open Library only,Transformational Leadership
BOOK00024,10,10,3,0.3,Transforming Leadership,['James MacGregor Burns'],Open Library only,Transformational Leadership
BOOK00025,10,10,6,0.6,Leadership,['Rudolph W. Giuliani'],Open Library only,Future Thinking and Personal Development
BOOK00026,10,10,4,0.4,Transformation leadership,"['Bernard M. Bass', 'Ronald E. Riggio']",Open Library only,Change Management
BOOK00027,10,10,3,0.3,Las cinco disfunciones de un equipo,['Patrick Lencioni'],Open Library only,Leadership Development
BOOK00028,10,10,4,0.4,The Tao of leadership,['John Heider'],Open Library only,Transformational Leadership
BOOK00029,10,10,7,0.7,The student leadership challenge,"['James M. Kouzes', 'Barry Z. Posner', 'Beth High', 'Gary M. Morgan', 'Martin Tan']",Open Library only,Broad Leadership and Success
BOOK00030,10,10,3,0.3,Reframing Organizations,['Lee G. Bolman'],Open Library only,Organizational Behavior
BOOK00031,10,9,4,0.4444444444444444,Wooden on Leadership,['John Wooden'],Open Library only,Broad Leadership and Success
BOOK00032,10,10,6,0.6,Brand leadership,"['David A. Aaker', 'Erich Joachimsthaler']",Open Library only,General Business and Management
BOOK00033,10,10,3,0.3,SuperVision and Instructional Leadership,"['Carl D. Glickman', 'Stephen P. Gordon', 'Jovita M. Ross-Gordon']",Open Library only,Transformational Leadership
BOOK00034,10,8,2,0.25,Leadership,['Simon Western'],Open Library only,Transformational Leadership
BOOK00035,10,10,4,0.4,Leadership Strategy and Tactics,['Jocko Willink'],Open Library only,Strategic Management and Planning
BOOK00036,10,9,6,0.6666666666666666,Leadership,['Henry Kissinger'],Both,Future Thinking and Personal Development
BOOK00037,10,10,3,0.3,Improving organizational effectiveness through transformational leadership,"['Bernard M. Bass', 'Bruce J. Avolio']",Open Library only,Transformational Leadership
BOOK00038,10,9,5,0.5555555555555556,Introduction to Leadership,['Peter G. Northouse'],Open Library only,Transformational Leadership
BOOK00039,10,9,4,0.4444444444444444,Teacher leadership,"['Ann Lieberman', 'Lynne Miller']",Open Library only,Transformational Leadership
BOOK00040,10,10,7,0.7,HR leadership,['Linda Holbeche'],Open Library only,Broad Leadership and Success
BOOK00041,10,10,7,0.7,Leadership in health care,"['Jill Barr', 'Lesley L Dowding']",Open Library only,Organizational Culture and Trust
BOOK00042,10,10,4,0.4,Organizational culture and leadership,"['Schein, Edgar H.']",Open Library only,Organizational Behavior
BOOK00043,10,10,5,0.5,Leadership and the one minute manager,"['Kenneth H. Blanchard', 'Patricia Zigarmi', 'Drea Zigarmi']",Open Library only,Broad Leadership and Success
BOOK00044,10,10,7,0.7,School leadership and administration,"['Richard A. Gorton', 'Judy A. Alston', 'Petra E. Snowden']",Open Library only,Future Thinking and Personal Development
BOOK00045,10,9,4,0.4444444444444444,Leadership Is an Art,['Max DePree'],Open Library only,Transformational Leadership
BOOK00046,10,10,6,0.6,Small unit leadership,['Dandridge M. Malone'],Open Library only,Transformational Leadership
BOOK00047,10,10,5,0.5,Leadership Wisdom from the Monk Who Sold His Ferrari,['Robin S. Sharma'],Open Library only,General Business and Management
BOOK00048,10,10,6,0.6,Monday morning leadership,['David Cottrell'],Open Library only,Transformational Leadership
BOOK00049,10,10,3,0.3,Leadership for dummies,['Marshall Loeb'],Open Library only,Executive Leadership
BOOK00050,10,9,7,0.7777777777777778,Leadership,['Peter Guy Northouse'],Open Library only,Broad Leadership and Success
BOOK00051,10,10,6,0.6,Curriculum leadership,"['Allan A. Glatthorn', 'Floyd Boschee', 'Bruce M. Whitehead']",Open Library only,Future Thinking and Personal Development
BOOK00052,10,10,5,0.5,Transformational leadership development,['Bernard M. Bass'],Open Library only,Leadership Development
BOOK00053,10,10,3,0.3,Full range leadership development,['Bruce J. Avolio'],Open Library only,Leadership Development
BOOK00054,10,10,3,0.3,Leadership Development in Balance,['Bruce J. Avolio'],Open Library only,Leadership Development
BOOK00055,10,10,5,0.5,Full range leadership development,['John J. Sosik'],Open Library only,General Business and Management
BOOK00056,10,10,3,0.3,Leadership Development,['Kevin Flinn'],Open Library only,General Business and Management
BOOK00057,10,10,4,0.4,Leadership development basics,['Karen Lawson'],Open Library only,Leadership Development
BOOK00058,10,10,4,0.4,Leadership development,['Rosemary Ryan'],Open Library only,Leadership Development
BOOK00059,10,10,5,0.5,The Center for Creative Leadership handbook of leadership development,"['Cynthia D. McCauley', 'Ellen Van Velsor']",Open Library only,Leadership Development
BOOK00060,10,10,3,0.3,Applied leadership development,['Al Bolea'],Open Library only,Leadership Development
BOOK00061,10,10,4,0.4,Full leadership development,['Bruce J. Avolio'],Open Library only,Leadership Development
BOOK00062,10,10,6,0.6,Implementing problem-based learning in leadership development,['Edwin M. Bridges'],Open Library only,Leadership Development
BOOK00063,10,10,2,0.2,Leadership Development Studies,"['Monika Byrd', 'Susan Edwards']",Open Library only,Leadership Development
BOOK00064,10,9,5,0.5555555555555556,The making of a leader,['J. Robert Clinton'],Open Library only,Leader Identity and Practice
BOOK00065,10,10,4,0.4,Accelerating Leadership Development,['Jocelyn Berard'],Open Library only,General Business and Management
BOOK00066,10,10,7,0.7,Innovations in public leadership development,['Terry F. Buss'],Open Library only,Leadership Development
BOOK00067,10,10,5,0.5,College Student Leadership Development,['Valerie I. Sessa'],Open Library only,Leadership Development
BOOK00068,10,10,3,0.3,The Center for Creative Leadership handbook of leadership development,['Ellen Van Velsor'],Open Library only,Leadership Development
BOOK00069,10,10,2,0.2,Leadership development program,['Frances A. Karnes'],Open Library only,Leadership Development
BOOK00070,10,10,1,0.1,Servant Leadership,"['Dirk van Dierendonck', 'K. Patterson']",Open Library only,Servant Leadership
BOOK00071,10,10,4,0.4,Real time leadership development,['Paul R. Yost'],Open Library only,Leadership Development
