cluster,cluster_label,cluster_size,rank,book_id,title,authors,distance_to_centroid,source_group,first_publish_year,publication_year_observed,average_rating,ratings_count,cover_url
0,Entrepreneurial and Growth Mindset,82,1,BOOK02062,A Platform Mindset,['Marcus Fontoura'],0.379655207798998,LeadershipNow only,,2025,,,https://www.leadershipnow.com/leadershop/images/9798991762328.jpg
0,Entrepreneurial and Growth Mindset,82,2,BOOK01663,Unstoppable Mindset,['Alden Mills'],0.379655207798998,LeadershipNow only,,2024,,,https://www.leadershipnow.com/leadershop/images/9781637744840.jpg
0,Entrepreneurial and Growth Mindset,82,3,BOOK01664,The Hacker Mindset,['Garrett Gee'],0.379655207798998,LeadershipNow only,,2024,,,https://www.leadershipnow.com/leadershop/images/9781637744864.jpg
0,Entrepreneurial and Growth Mindset,82,4,BOOK01631,Aliveness Mindset,['Jack Craven'],0.379655207798998,LeadershipNow only,,2024,,,https://www.leadershipnow.com/leadershop/images/9781637632611.jpg
0,Entrepreneurial and Growth Mindset,82,5,BOOK01670,The Entrepreneurial Mindset Advantage,['Gary G. Schoeniger'],0.5248351718326929,LeadershipNow only,,2024,,,https://www.leadershipnow.com/leadershop/images/9781637745779.jpg
1,Organizational Behavior,56,1,BOOK00674,Organizational Behavior,"['Christopher P. Neck', 'Jeffery D. Houghton', 'Emma L. Murray']",0.0918318583036126,Open Library only,2015,,,,https://covers.openlibrary.org/b/id/8904889-L.jpg
1,Organizational Behavior,56,2,BOOK00703,Organizational behavior,"['Afsaneh Nahavandi', 'Ali R. Malekzadeh']",0.0918318583036126,Open Library only,1998,,,,https://covers.openlibrary.org/b/id/90010-L.jpg
1,Organizational Behavior,56,3,BOOK00688,Organizational Behavior,['Ricky W. Griffin'],0.0918318583036126,Open Library only,1986,,,,https://covers.openlibrary.org/b/id/1325242-L.jpg
1,Organizational Behavior,56,4,BOOK00679,Organizational behavior,"['Angelo Kinicki', 'Robert Kreitner']",0.0918318583036126,Open Library only,2003,,,,https://covers.openlibrary.org/b/id/8271863-L.jpg
1,Organizational Behavior,56,5,BOOK00706,Organizational Behavior,"['Mary Uhl-Bien', 'Ronald F. Piccolo', 'Schermerhorn, John R., Jr.']",0.0988526970701203,Open Library only,2013,,,,https://covers.openlibrary.org/b/id/13985922-L.jpg
2,Team Leadership,33,1,BOOK00146,Team leadership,['John Apps'],0.0890972977631574,Open Library only,1999,,,,
2,Team Leadership,33,2,BOOK00157,Team Leadership,['Drikus Kriek'],0.0890972977631574,Open Library only,2018,,,,
2,Team Leadership,33,3,BOOK00172,Team Leadership,"['Geoff Ribbens', 'Mark Abraham', 'Alistair Cumming']",0.0890972977631574,Open Library only,2024,,,,
2,Team Leadership,33,4,BOOK00187,Team Leadership Questionnaire,"['D. Kayes', 'Anna Kayes']",0.1355849517779157,Open Library only,2011,,,,
2,Team Leadership,33,5,BOOK00170,Strategic Team Leadership,['Peter Saul'],0.1864428805196867,Open Library only,1992,,,,
3,Future Thinking and Personal Development,70,1,BOOK01924,Stewards of the Future,['Helle Bank Jorgensen'],0.4682012757224728,LeadershipNow only,,2022,,,https://www.leadershipnow.com/leadershop/images/9781988025766.jpg
3,Future Thinking and Personal Development,70,2,BOOK00961,Future Tense,['Tracy Dennis-Tiwary'],0.4682012757224728,LeadershipNow only,,2022,,,https://www.leadershipnow.com/leadershop/images/9780063062108.jpg
3,Future Thinking and Personal Development,70,3,BOOK00954,Inventor of the Future,['Alec Nevala-Lee'],0.4682012757224728,LeadershipNow only,,2022,,,https://www.leadershipnow.com/leadershop/images/9780062947222.jpg
3,Future Thinking and Personal Development,70,4,BOOK01444,Be Your Future Self Now,['Dr. Benjamin Hardy'],0.5406086107886696,LeadershipNow only,,2022,,,https://www.leadershipnow.com/leadershop/images/9781401967574.jpg
3,Future Thinking and Personal Development,70,5,BOOK01058,Your Future Self,['Hal Hershfield'],0.5406086107886696,LeadershipNow only,,2023,,,https://www.leadershipnow.com/leadershop/images/9780316421256.jpg
4,Decision Making,33,1,BOOK00785,DECISION MAKING,['Irving L. Janis'],0.0941026347649047,Open Library only,1979,,,,https://covers.openlibrary.org/b/id/18888-L.jpg
