cluster,cluster_label,cluster_size,cluster_share_pct,top_terms,representative_titles,average_centroid_distance,mean_distance_to_centroid,median_distance_to_centroid,max_distance_to_centroid,cohesion_group,leadershipnow_books,openlibrary_books,both_source_books,leadershipnow_share_pct,openlibrary_share_pct,both_source_share_pct
0,Entrepreneurial and Growth Mindset,82,4.35244161358811,"mindset, art, new, advantage, startup, entrepreneurs, kind, commanders, entrepreneurship, breaking",A Platform Mindset | Unstoppable Mindset | The Hacker Mindset | Aliveness Mindset | The Entrepreneurial Mindset Advantage,0.409,0.7945081179082609,0.8366191955143266,1.0,Broadest,72,10,0,87.8048780487805,12.195121951219512,0.0
1,Organizational Behavior,56,2.9723991507431,"behavior, organizational behavior, organizational, behavior organizational, management, economics, industrial, comportement organisationnel, comportement, organisationsverhalten",Organizational Behavior | Organizational behavior | Organizational Behavior | Organizational behavior | Organizational Behavior,0.093,0.3964427613408779,0.4133533580456104,0.6932451879706902,Moderately compact,0,56,0,0.0,100.0,0.0
2,Team Leadership,33,1.7515923566878981,"team, team leadership, leadership, effective team, nursing, remote team, effective, remote, elevate, unicorn",Team leadership | Team Leadership | Team Leadership | Team Leadership Questionnaire | Strategic Team Leadership,0.118,0.4469140610416011,0.4930520557232468,0.710623296267958,Moderately compact,11,22,0,33.33333333333333,66.66666666666666,0.0
3,Future Thinking and Personal Development,70,3.715498938428875,"future, think, self, excellence, war, want, states, century, united states, united",Stewards of the Future | Future Tense | Inventor of the Future | Be Your Future Self Now | Your Future Self,0.497,0.7758387657501972,0.8023435513528191,0.9331483370853904,Broadest,50,19,1,71.42857142857143,27.142857142857142,1.4285714285714286
4,Decision Making,33,1.7515923566878981,"decision, making, decision making, prise, judgment, judgment decision, statistics, décision, search, management",DECISION MAKING | Creative decision making | Judgment and decision making | The managerial decision-making process | The psychology of judgment and decision making,0.242,0.5108348744291733,0.4604451858936637,0.9302475867626534,Moderately broad,8,25,0,24.242424242424242,75.75757575757575,0.0
5,Leader Identity and Practice,33,1.7515923566878981,"leader, driven leader, strong leader, strong, driven, visionary, toolbox, steady, turnaround, ice",You're the Leader. Now What? | We the Leader | Reinventing the Leader | The Relatable Leader | The Secure Leader,0.027,0.3806519588083015,0.4455157042815516,0.5997451406010406,Moderately compact,32,1,0,96.96969696969697,3.0303030303030303,0.0
6,Communication,47,2.494692144373673,"communication, language, communication communication, business, business communication, interpersonal, mass, media, interpersonal communication, communication skills",InCredible Communication | Communication | Corporate communication | Communication between cultures | Business communication today,0.293,0.5342478691642155,0.5438053284638319,0.7756279902971666,Moderately broad,5,42,0,10.638297872340425,89.36170212765957,0.0
7,Broad Leadership and Success,185,9.819532908704884,"right, win, time, man, success, digital, build, code, organization, leader","Right Leader, Right Time | Get Pay Right | The Right Call | Left and Right of the Boom | Servant-leadership across cultures",0.684,0.877948349828548,0.8913223023865855,1.0,Broadest,142,42,1,76.75675675675676,22.702702702702705,0.5405405405405406
8,Servant Leadership,42,2.229299363057325,"servant, servant leadership, leadership, leadership leadership, leadership servant, christianity, christian, religion, leadership christianity, leadership organizational",Servant Leadership | Servant Leadership | Servant leadership | Servant Leadership | The spirit of servant-leadership,0.1,0.3998670424800926,0.3686861368207911,0.7720926485375916,Moderately compact,1,41,0,2.380952380952381,97.61904761904762,0.0
9,Change Management,42,2.229299363057325,"change, change management, management, organizational, organizational change, management organizational, changement organisationnel, changement, change organizational, organisationnel",Change management | Change Management | Change | Change Proof | Strategic Change Management Strategic Change Management,0.207,0.4782476738889371,0.4810778063335658,0.832631933584548,Moderately broad,11,31,0,26.190476190476193,73.80952380952381,0.0
