openlibrary_author_key,author_name,wikidata_id,wikidata_label,wikidata_description,identity_evidence_tier,tier_priority,citizenship_qids,birthplace_qids,birth_dates,citizenship_qids_parsed,birthplace_qids_parsed,has_citizenship,has_birthplace
OL1003227A,Bernard Burnes,Q112444995,Bernard Burnes,,strong_secondary,2,[],[],['+1953-00-00T00:00:00Z'],[],[],False,False
OL10188240A,Janine Williams,Q112574706,Janine Williams,marketing and international business lecturer in New Zealand,strong_secondary,2,[],[],[],[],[],False,False
OL10520311A,Jordi Diaz,Q57413095,Jordi Diaz,researcher ORCID id 0000-0003-1801-0541,strong_secondary,2,[],[],[],[],[],False,False
OL1076211A,R. Edward Freeman,Q3938264,R. Edward Freeman,American philosopher (1951-),strong_secondary,2,['Q30'],['Q239870'],['+1951-12-18T00:00:00Z'],['Q30'],['Q239870'],True,True
OL1078587A,Michael T. Matteson,Q139482667,Michael T. Matteson,,strong_secondary,2,[],[],['+1943-01-01T00:00:00Z'],[],[],False,False
OL1080210A,Alonzo J. Strickland,Q140330104,Alonzo J. Strickland,,strong_secondary,2,[],[],[],[],[],False,False
OL10856242A,Cyril O'Donnell,Q5200774,Cyril J. O'Donnell,American professor,probable_secondary,3,['Q30'],['Q28260'],['+1900-12-00T00:00:00Z'],['Q30'],['Q28260'],True,True
OL10997841A,Glenn Walter,Q91890750,Glenn A Walter,researcher (ORCID 0000-0002-7346-2244),probable_secondary,3,[],[],[],[],[],False,False
OL1101366A,Mahmoud Ezzamel,Q16728891,Mahmoud Ezzamel,British academic,strong_secondary,2,[],[],['+1942-10-24T00:00:00Z'],[],[],False,False
OL1121414A,Young Yun Kim,Q122582777,Young Yun Kim,,strong_secondary,2,[],['Q8684'],[],[],['Q8684'],False,True
OL1122332A,Timothy Pratt,Q112358326,Timothy Pratt,researcher in New Zealand,strong_secondary,2,[],[],[],[],[],False,False
OL11510748A,JAMES FREDERICK BENDER,Q112464590,James Frederick Bender,,strong_secondary,2,[],['Q34739'],['+1905-00-00T00:00:00Z'],[],['Q34739'],False,True
OL11546536A,abraham holtzman,Q23722834,Abraham Holtzman,American political scientist,strong_secondary,2,['Q30'],['Q12439'],['+1921-11-03T00:00:00Z'],['Q30'],['Q12439'],True,True
OL1171623A,Kent M. Keith,Q11301302,Kent M. Keith,American writer and sociologist,strong_secondary,2,['Q30'],['Q18419'],['+1949-00-00T00:00:00Z'],['Q30'],['Q18419'],True,True
OL1193811A,Elwood Spencer Buffa,Q59627441,Elwood Spencer Buffa,"born:1923|died:2005|; Buffa, Elwood S.; Buffa, Elwood Spencer; Buffa, Elwood S. 1923-; Buffa, Elwood Spencer, 1923-2005; Buffa, Elwood S. (Elwood Spencer), 1923-",identifier_verified,1,[],[],['+1923-01-01T00:00:00Z'],[],[],False,False
OL1193951A,Aaron Antonovsky,Q301653,Aaron Antonovsky,Israeli American sociologist,strong_secondary,2,"['Q30', 'Q801']",['Q18419'],['+1923-12-19T00:00:00Z'],"['Q30', 'Q801']",['Q18419'],True,True
OL119802A,George Leland Bach,Q59629195,George Leland Bach,American economist (1915-1994),identifier_verified,1,[],[],['+1915-04-28T00:00:00Z'],[],[],False,False
OL1207541A,Chris Brewster,Q56954539,Chris Brewster,researcher,strong_secondary,2,[],[],['+1947-01-13T00:00:00Z'],[],[],False,False
OL1236399A,John Heider,Q112418595,John Heider,,strong_secondary,2,[],[],['+1936-00-00T00:00:00Z'],[],[],False,False
OL1237529A,Shlomo Globerson,Q30527030,Shlomo Globerson,Israeli university teacher,strong_secondary,2,['Q801'],['Q2655674'],"['+1941-01-13T00:00:00Z', '+1941-00-00T00:00:00Z']",['Q801'],['Q2655674'],True,True
OL1239241A,Judith A. Hall,Q89263098,Judith A. Hall,American social psychologist,identifier_verified,1,['Q30'],[],['+1946-00-00T00:00:00Z'],['Q30'],[],True,False
OL12578562A,Edward McDonnell,Q1292980,Edward McDonnell,producer,strong_secondary,2,['Q27'],['Q1761'],['+1806-01-01T00:00:00Z'],['Q27'],['Q1761'],True,True
OL12915435A,Diana Dias,Q87106585,Diana Dias,researcher (ORCID 0000-0002-5065-8068),strong_secondary,2,[],[],[],[],[],False,False
OL12915436A,Carla Magalhães,Q87884221,Carla Magalhães,researcher,strong_secondary,2,[],[],[],[],[],False,False
OL129765A,Irving Lester Janis,Q3080462,Irving Janis,American psychologist (1918–1990),identifier_verified,1,['Q30'],['Q40435'],['+1918-05-26T00:00:00Z'],['Q30'],['Q40435'],True,True
OL1326651A,Ted Johns,Q7693343,Ted Johns,Canadian writer,strong_secondary,2,['Q16'],['Q7440408'],['+1942-01-01T00:00:00Z'],['Q16'],['Q7440408'],True,True
OL1346979A,Abraham Holtzman,Q23722834,Abraham Holtzman,American political scientist,strong_secondary,2,['Q30'],['Q12439'],['+1921-11-03T00:00:00Z'],['Q30'],['Q12439'],True,True
OL13696132A,Andreea Claudia Serban,Q140137286,Andreea Claudia Şerban,,strong_secondary,2,[],[],['+1980-01-01T00:00:00Z'],[],[],False,False
OL1386640A,David Cottrell,Q112509983,David Cottrell,psychiatrist (born 1956),strong_secondary,2,[],[],['+1956-00-00T00:00:00Z'],[],[],False,False
OL1424745A,Peter Fewings,Q139478043,Peter Fewings,,strong_secondary,2,[],[],[],[],[],False,False
OL1427230A,Esther Cameron,Q6895576,Esther Cameron,Israeli-American writer (born 1941),strong_secondary,2,"['Q801', 'Q30']",['Q60'],['+1941-09-00T00:00:00Z'],"['Q801', 'Q30']",['Q60'],True,True
