wikidata_id,wikidata_label,wikidata_description,instance_of_qids,citizenship_qids,birthplace_qids,birth_dates,occupation_qids,external_id_claims
Q313482,Stephen Covey,"American educator, author, businessman and motivational speaker (1932-2012)",['Q5'],['Q30'],['Q23337'],['+1932-10-24T00:00:00Z'],"['Q121594', 'Q43845', 'Q36180', 'Q1622272']","{'P214': ['19730461'], 'P213': ['000000008098533X'], 'P373': ['Stephen Covey'], 'P434': ['0fe743cd-f2a2-40e2-96a7-6a46ef5d8fee'], 'P244': ['n83042188'], 'P227': ['12895647X'], 'P345': ['nm1760969'], 'P18': ['StephenCoveyinhisHome (cropped).jpg'], 'P349': ['00464995'], 'P691': ['xx0009262'], 'P646': ['/m/01jtkg'], 'P1005': ['1409141'], 'P856': ['http://www.stephencovey.com/'], 'P1006': ['106979302'], 'P1953': ['1502596'], 'P1728': ['mn0003259221'], 'P2002': ['stephenrcovey'], 'P2163': ['110621'], 'P1417': ['biography/Stephen-Richards-Covey'], 'P2013': ['stephenrcovey'], 'P2949': ['Covey-981'], 'P648': ['OL383159A'], 'P535': ['93704004'], 'P3430': ['w64753k7'], 'P3762': ['73122'], 'P950': ['XX896947'], 'P1280': ['10592099'], 'P269': ['030962021'], 'P1015': ['90411846'], 'P3987': ['280129'], 'P268': ['12227345p'], 'P3280': ['0000436229'], 'P1368': ['000045135'], 'P409': ['35031701'], 'P1375': ['000070356'], 'P1207': ['n96019367'], 'P5034': ['KAC199605841'], 'P949': ['000184590'], 'P3846': ['87097968225930'], 'P271': ['DA05034666'], 'P4619': ['000283590'], 'P1315': ['804444'], 'P1580': ['a1035037'], 'P5469': ['stephen-r-covey'], 'P5739': ['19639'], 'P7029': ['777479', '77102663'], 'P6394': ['a11589036', 'a11589048'], 'P3065': ['A003141166'], 'P1670': ['1006K2638'], 'P2600': ['6000000017199218874'], 'P1309': ['vtls002983601'], 'P2963': ['1538'], 'P8849': ['5183845'], 'P3630': ['192587'], 'P8851': ['4347239', '4809319'], 'P7293': ['9810636020905606'], 'P2889': ['KWHD-HJ2'], 'P1695': ['a0000001038438'], 'P9141': ['3603'], 'P9984': ['981058509887306706'], 'P8189': ['987007310547905171'], 'P8313': ['Stephen_R._Covey'], 'P9247': ['283241'], 'P3368': ['235455'], 'P7400': ['coveystephenr'], 'P7502': ['Stephen_Covey-Y8Z89'], 'P11496': ['1140563741528889984'], 'P11249': ['13941566'], 'P11686': ['981058509887306706'], 'P7369': ['000064131'], 'P8179': ['ncf10444031'], 'P7699': ['LNB:V*375574;=BR'], 'P7700': ['vtls008034304'], 'P10021': ['a10000627'], 'P1607': ['2644024'], 'P3417': ['Stephen-R-Covey-author'], 'P2734': ['CoveyStephenR'], 'P5695': ['84652'], 'P9802': ['2174874', '38718'], 'P5731': ['93006'], 'P8848': ['811878'], 'P9871': ['23579'], 'P10844': ['14791'], 'P9251': ['57890'], 'P3348': ['178423'], 'P11158': ['2704'], 'P2188': ['25526'], 'P11182': ['89072'], 'P12098': ['1443509'], 'P12458': ['272789', '17064'], 'P10832': ['E39PBJqbrkgkRK6WvY8QD9kdQq'], 'P13049': ['12895647X'], 'P10387': ['3719'], 'P6640': ['369981'], 'P13591': ['person/92932e5f-7310-4b8a-8792-da159e231544'], 'P396': ['CFIV104120'], 'P10400': ['2614'], 'P14177': ['xx0009262'], 'P14178': ['xx0009262'], 'P14225': ['981005669041009366'], 'P9322': ['p0069389-Covey-Stephen-R-19322012'], 'P14750': ['FBE5-E82F-038D-D22F-61E9'], 'P13772': ['stephen-r-covey']}"
Q123654696,"Stephen R. Covey, Herald of Good Habits, Dies at 79","The New York Times article (July 17, 2012)",['Q309481'],[],[],[],[],"{'P953': ['https://www.nytimes.com/2012/07/17/business/stephen-r-covey-herald-of-good-habits-dies-at-79.html'], 'P2322': ['100000001666390']}"
Q130733922,Gary A. Yukl,"psychologist, business manager, university teacher (1940-)",['Q5'],[],[],['+1940-01-01T00:00:00Z'],"['Q212980', 'Q832136', 'Q1622272']","{'P1315': ['1019842'], 'P1280': ['15938915'], 'P214': ['41948679'], 'P213': ['0000000108916564'], 'P244': ['n80148949'], 'P268': ['12520276h'], 'P269': ['073265470'], 'P227': ['140438564'], 'P1015': ['90085687'], 'P1207': ['n97010961'], 'P1006': ['068496559'], 'P5034': ['KAC199630824'], 'P8189': ['987007454871905171'], 'P11182': ['87938'], 'P12458': ['628161'], 'P409': ['35625519'], 'P9984': ['981061054233306706'], 'P691': ['xx0329622'], 'P13591': ['person/ae3c6022-7717-43f1-b725-65e1c1364128'], 'P13906': ['152736'], 'P13951': ['67115'], 'P13204': ['xgtfhsun']}"
Q3304739,John C. Maxwell,"American author, speaker and neopentecostal pastor",['Q5'],['Q30'],['Q1013879'],['+1947-02-20T00:00:00Z'],"['Q36180', 'Q15982858', 'Q152002', 'Q6051619', 'Q12859263', 'Q15978655', 'Q955464']","{'P214': ['85316958'], 'P213': ['0000000081609950'], 'P646': ['/m/0dd6vj'], 'P1006': ['156611880'], 'P227': ['12345736X'], 'P244': ['n87914935'], 'P2163': ['210128'], 'P3430': ['w64q9s07'], 'P3417': ['John-C-Maxwell'], 'P349': ['00839043'], 'P906': ['267851'], 'P1015': ['1035051'], 'P1207': ['n95402008'], 'P1368': ['000237343'], 'P269': ['034959912'], 'P5587': ['tr57b8zc4vjrv3l'], 'P268': ['12565622q'], 'P691': ['xx0001713'], 'P18': ['John C. Maxwell (cropped).jpg'], 'P5034': ['KAC200302063'], 'P1309': ['vtls003523969'], 'P2002': ['johncmaxwell', 'JohnCMaxwell'], 'P2013': ['JohnCMaxwell'], 'P2003': ['johncmaxwell'], 'P856': ['http://www.johnmaxwell.com/'], 'P3630': ['178937'], 'P7293': ['9810622913305606'], 'P3987': ['604944'], 'P9807': ['157883'], 'P3348': ['178406'], 'P9743': ['107ZztKKIN'], 'P3280': ['0000345911'], 'P4619': ['000572861'], 'P7369': ['000261380'], 'P8179': ['ncf10385447'], 'P3846': ['87097968690951'], 'P6394': ['a12166248'], 'P7699': ['LNB:1j6;=BH'], 'P271': ['DA13521210'], 'P409': ['42149804'], 'P1375': ['000255969'], 'P1005': ['614838'], 'P3065': ['A003576041'], 'P7700': ['vtls005493446'], 'P648': ['OL26423A'], 'P10553': ['082567026'], 'P434': ['77d9d8f8-c326-4d35-94b8-e73985ec5db2'], 'P373': ['John C. Maxwell'], 'P11496': ['1140845216756372224'], 'P11182': ['37497'], 'P12458': ['177830'], 'P8189': ['987007305261405171'], 'P10832': ['E39PBJqkbXbKhXW8B8MWdwxYyd'], 'P13049': ['12345736X'], 'P10387': ['46717'], 'P1315': ['1456973'], 'P2963': ['68'], 'P13591': ['person/77e286d8-0999-4b2d-a924-79ffcef31782'], 'P11892': ['johncmaxwell'], 'P13951': ['552684'], 'P10400': ['34635'], 'P14225': ['981005773706609366'], 'P9322': ['p0005588-Maxwell-John-C-1947']}"
Q60220754,John C. Maxwell,geologist,['Q5'],[],[],['+1914-01-01T00:00:00Z'],['Q520549'],{'P8367': ['16480022']}
Q52162437,Bernard M. Bass,American psychologist and leadership pioneer,['Q5'],['Q30'],['Q18426'],['+1925-06-11T00:00:00Z'],"['Q212980', 'Q1622272']","{'P214': ['79339367'], 'P213': ['0000000109193863'], 'P269': ['059911263'], 'P227': ['170563316'], 'P244': ['n79059906'], 'P2163': ['36484'], 'P950': ['XX1019436'], 'P1006': ['067545440'], 'P691': ['vse2008462662'], 'P1960': ['mr77kVoAAAAJ'], 'P1207': ['n2005002591'], 'P646': ['/m/05vd2pc'], 'P3987': ['106932'], 'P271': ['DA00875582'], 'P1015': ['90211917'], 'P8179': ['ncf12090970'], 'P8189': ['987007279713705171'], 'P5034': ['KAC2020P6635'], 'P7699': ['LNB:CCsl;=B1'], 'P1368': ['000237003'], 'P1375': ['000319761'], 'P3368': ['1697526'], 'P11496': ['1140282266698166016'], 'P9871': ['739'], 'P11182': ['15138'], 'P12458': ['550912'], 'P10832': ['E39PBJjHc6k6BbpJC8Xy76xCcP'], 'P13049': ['170563316'], 'P13166': ['210818'], 'P6394': ['a12666518'], 'P3065': ['A002974866'], 'P13591': ['person/1c475f21-664f-4c20-bafc-9089ba2a7a30'], 'P14225': ['981005771325209366'], 'P13204': ['xxcbpd8j']}"
Q167607,James Comey,American lawyer and 7th director of the Federal Bureau of Investigation (born 1960),['Q5'],['Q30'],['Q128114'],['+1960-12-14T00:00:00Z'],"['Q40348', 'Q1622272', 'Q82955', 'Q185351']","{'P373': ['James Comey'], 'P244': ['no2004077346'], 'P214': ['16938946'], 'P646': ['/m/06r04p'], 'P18': ['James Comey official portrait.jpg'], 'P1263': ['624/000110294'], 'P3417': ['James-Comey-government-official'], 'P1417': ['biography/James-Comey', 'biography/James-B-Comey'], 'P3106': ['us-news/james-comey'], 'P3479': ['2b8fa1a81f0b76e38a99d3cf02686603ace1754f'], 'P213': ['0000000048220337'], 'P2190': ['jamescomey'], 'P345': ['nm2202811'], 'P2002': ['Comey', 'FormerBu'], 'P3509': ['james-comey'], 'P227': ['1154658813'], 'P1741': ['256762'], 'P2163': ['1593806'], 'P1284': ['00000029557'], 'P691': ['pna2018994258'], 'P109': ['James B. Comey Signature Autograph.png'], 'P1207': ['n2019146554'], 'P8094': ['comeyjames'], 'P7293': ['9810591591005606'], 'P1695': ['a0000003102591'], 'P4985': ['1642417'], 'P5421': ['113226'], 'P9743': ['107Zzr4uQt'], 'P8189': ['987007403867705171'], 'P3368': ['1459177'], 'P10632': ['Q167607'], 'P10660': ['87614'], 'P2600': ['6000000055765612134'], 'P7502': ['James_Comey-6ARVRG'], 'P2003': ['comey'], 'P8879': ['1418352'], 'P2604': ['3086498'], 'P10302': ['james-comey'], 'P269': ['227424042'], 'P11249': ['20850595'], 'P8462': ['comeau-compromiser.html#568.65.78'], 'P2949': ['Comey-24'], 'P10832': ['E39PBJhCHc6X9wjy6P7PgQDg8C'], 'P13049': ['1154658813'], 'P2390': ['James_Comey'], 'P8445': ['77937'], 'P9346': ['james-comey'], 'P10387': ['126294'], 'P1617': ['83e351cf-a2b5-450a-8f51-f7b165ff0bac'], 'P12854': ['5d776c2e594b2b001e6ed02a'], 'P13591': ['person/ea689b08-adc2-4e9c-b965-7d3a3726364f'], 'P12997': ['james-comey'], 'P9937': ['447349'], 'P8309': ['18-141669'], 'P13295': ['179910'], 'P6200': ['c4e8v183v3yt'], 'P13300': ['james-comey'], 'P13634': ['who/james-comey'], 'P10234': ['james_comey'], 'P13661': ['james-b-comey'], 'P7284': ['fbi-director-james-comey', 'james-comey'], 'P13526': ['james-comey'], 'P13797': ['james-comey'], 'P12361': ['jamescomey.bsky.social'], 'P3630': ['467443'], 'P973': ['https://youtube.com/watch?v=uSUO7DyQfIQ'], 'P7902': ['1154658813'], 'P11892': ['comey'], 'P13974': ['james-comey'], 'P14003': ['james-comey'], 'P2605': ['593070'], 'P13568': ['jamescomey'], 'P9322': ['0396243-Comey-James-B-1960'], 'P268': ['177480301']}"
Q5388045,,American businessman,['Q5'],['Q30'],[],['+1956-12-28T00:00:00Z'],"['Q188094', 'Q16849727']","{'P227': ['12301865X'], 'P214': ['67362759'], 'P244': ['n99280447'], 'P1006': ['191606863'], 'P349': ['00823367'], 'P1015': ['20299'], 'P1207': ['n2006113893'], 'P1368': ['000063717'], 'P213': ['0000000109826966'], 'P1280': ['199201891'], 'P269': ['085602159'], 'P3987': ['437556'], 'P5034': ['KAC200103640'], 'P8189': ['987007460926205171'], 'P11686': ['981058617511906706'], 'P9984': ['981058617511906706'], 'P10832': ['E39PBJcKPrGCPDCRwkDHKtQpfq'], 'P13049': ['12301865X'], 'P13591': ['person/df906921-eb3b-4615-bb0c-a21a0fb27270']}"
Q114569791,Stephen P. Gordon,American academic in educational leadership,['Q5'],[],[],['+1948-09-10T00:00:00Z'],"['Q1622272', 'Q3400985', 'Q1650915']","{'P856': ['https://www.txst.edu/clas/Educational-Leadership/Program-Faculty/Stephen-Gordon.html'], 'P6023': ['2026468767'], 'P244': ['n91106296'], 'P271': ['DA15922325'], 'P1207': ['n2012078452'], 'P1005': ['957275'], 'P214': ['48412289'], 'P8189': ['987007452555705171'], 'P11496': ['1140282266594565760'], 'P5034': ['KAC201605021'], 'P13591': ['person/f7997e28-b1b0-4237-8356-b1681ca4dc4b']}"
Q7610171,Stephen P. Gordon,American activist (1962-2018),['Q5'],['Q30'],[],['+1962-07-31T00:00:00Z'],[],"{'P2190': ['stephengordon'], 'P646': ['/m/0dh1t5'], 'P10660': ['1012424']}"
